0,"Barre de raccourcis 1","racc1","hot1"
1,"Barre de raccourcis 2","racc2","hot2"
2,"Barre de raccourcis 3","racc3","hot3"
3,"Barre de raccourcis 4","racc4","hot4"
4,"Barre de raccourcis 5","racc5","hot5"
5,"Barre de raccourcis 6","racc6","hot6"
6,"Barre de raccourcis 7","racc7","hot7"
7,"Barre de raccourcis 8","racc8","hot8"
8,"Barre de raccourcis 9","racc9","hot9"
9,"Barre de raccourcis 10","racc10","hot10"
10,"Barre des familiers","bfam","hotex"
11,"Croix de raccourcis","cxracc","cross"
12,"Barre de progression","bprog","cast"
13,"Cible","cible","target"
14,"Cible focalis\xc3\xa9e","focal","focus"
15,"\xc3\x89quipe","\xc3\xa9quipe","plist"
16,"Liste d'inimiti\xc3\xa9","inim","elist"
17,"Attributs","attri","param"
18,"Messages","mess","notice"
19,"Boussole","bouss","mmap"
20,"Menu principal","mprinc","mmenu"
21,"Infos du serveur","infoserv","server"
22,"Gils","gils","gil"
23,"Inventaire","invent","bag"
24,"Liste des objectifs","listeobj","todo"
25,"D\xc3\xa9tails de l'objet","d\xc3\xa9tobjet","item"
26,"D\xc3\xa9tails de l'action","d\xc3\xa9taction","action"
27,"Jauge de Transcendance","jgtrans","limit"
28,"Exp\xc3\xa9rience","exp","ebar"
29,"Alt\xc3\xa9rations d'\xc3\xa9tat","alt\xc3\xa9r\xc3\xa9tat","buff"
30,"Liste d'alliance 1","alliance1","alist1"
31,"Liste d'alliance 2","alliance2","alist2"
32,"\xe7\x9b\xae\xe7\x9a\x84\xe3\x83\xaa\xe3\x82\xb9\xe3\x83\x88","DutyList","dlist"
33,"\xe3\x82\xb3\xe3\x83\xb3\xe3\x83\x86\xe3\x83\xb3\xe3\x83\x84\xe6\x83\x85\xe5\xa0\xb1","ContentsInfo","cinfo"
34,"Barre de combos","bcombo",
35,"Cible secondaire","csec",
36,"<nil>",,
37,"Aide active","aide",
38,,,
39,,,
40,,,
