0,,,0,0,0,0,0
1,"Auto-Attacke","Du f\xc3\xbchrst automatisch Angriffe auf das anvisierte Ziel aus, wobei das Intervall zwischen den Angriffen von deiner Waffe abh\xc3\xa4ngt.",101,0,0,0,1
2,"Springen","Du springst und kannst auf diese Weise niedrige Hindernisse \xc3\xbcberwinden.",102,0,0,0,2
3,"Limitrausch","Du verbrauchst den gesamten Limitbalken, um f\xc3\xbcr die ganze Gruppe eine m\xc3\xa4chtige Fertigkeit zu entfesseln. Die Fertigkeit wird von der Rolle dessen bestimmt, der sie startet.\x02\x10\x01\x03Verteidiger: Schadensminderung f\xc3\xbcr die Gruppe.\x02\x10\x01\x03Nahangreifer: Attacke auf Einzelziel.\x02\x10\x01\x03Fernangreifer: Attacke auf alle Gegner in gerader Linie.\x02\x10\x01\x03Magischer Angreifer: Fl\xc3\xa4chenangriff um anvisierten Ort auf dem Boden.\x02\x10\x01\x03Heiler: Wiederherstellung von LP der Gruppe (Wiederbeleben ab Stufe 3).",103,0,0,0,3
4,"Sprint","Du verbrauchst alle TP, um die eigene Bewegungsgeschwindigkeit zu erh\xc3\xb6hen.\x02\x10\x01\x03Wirkungsdauer in Sekunden = verbrauchte TP / 50",104,3,0,56,4
5,"Materialverwertung","Du zerlegst einen Gegenstand, um Materialien zu erhalten.",120,0,95,0,21
6,"Reparatur","Du reparierst besch\xc3\xa4digte Ausr\xc3\xbcstung und stellst ihren Zustand wieder her. Als Katalysator wird Dunkelmaterie ben\xc3\xb6tigt, die der Stufe der Ausr\xc3\xbcstung entspricht.",106,0,0,0,5
7,"Teleport","Du bezahlst einen Gilbetrag, um dich durch den \xc3\x84therstrom zu einem beliebigen \xc3\x84theryten zu teleportieren, mit dem du dich zuvor harmonisiert hast.",111,5,4,0,6
8,"R\xc3\xbcckf\xc3\xbchrung","Du kehrst zu deinem zuvor festgelegten Heimatpunkt zur\xc3\xbcck.",112,6,1,57,7
9,"Reittier-Roulette","Ruft ein zuf\xc3\xa4llig ausgew\xc3\xa4hltes Reittier herbei.",118,0,0,0,17
10,"Begleiter-Roulette","Ruft einen zuf\xc3\xa4llig ausgew\xc3\xa4hlten Begleiter herbei.",117,0,0,0,18
11,,,0,0,0,0,0
12,"Materia einsetzen","Du setzt Materia mit Hilfe von karbonisierter Materie als Katalysator in Ausr\xc3\xbcstungsgegenst\xc3\xa4nde ein.",107,0,11,0,8
13,"Materia einsetzen II","Du setzt mit Hilfe von karbonisierter Materie als Katalysator Materia in Ausr\xc3\xbcstungsgegenst\xc3\xa4nde ein. Auch Gegenst\xc3\xa4nde ohne freie Materia-Slots sind m\xc3\xb6glich, aber die Erfolgsaussichten hierbei sind schlecht.",108,0,12,0,9
14,"Materia-Synthese","Du reduzierst Gegenst\xc3\xa4nde mit vollst\xc3\xa4ndiger emotionaler Bindung zu \xc3\x84ther und kristallisierst den darin zur\xc3\xbcckbleibenden Willen des Besitzers in die Substanz \xe2\x80\x9eMateria\xe2\x80\x9c.",109,0,13,0,10
15,"F\xc3\xa4rben","Du verbrauchst einen Farbstoff, um die Farbe eines Ausr\xc3\xbcstungsgegenstands zu ver\xc3\xa4ndern.",110,0,14,0,11
16,"N\xc3\xa4chstes Ziel","Angefangen beim n\xc3\xa4chststehenden visierst du der Reihe nach alle Gegner an.",113,0,0,0,12
17,"Voriges Ziel","Angefangen beim n\xc3\xa4chststehenden visierst du in umgekehrter Reihenfolge alle Gegner an.",114,0,0,0,13
18,"Abstellen","Du stellst den Gegenstand ab, den du gerade in der Hand hast.",61112,0,0,0,0
19,"Entziffern","Du entschl\xc3\xbcsselst vorsichtig eine vergilbte Schatzkarte.",115,1694,25,0,15
20,"Ausgraben","Du durchk\xc3\xa4mmst das auf der alten Karte angegebene Gebiet nach einem Schatz.\x02\x10\x01\x03Radius: 30y",116,1695,25,67,16
21,"Raffinieren","Du reduzierst ein Sammlerst\xc3\xbcck auf seine Essenz, um einen anderen Gegenstand zu erhalten.",121,0,256,0,22
22,"Projizieren","Du verbrauchst ein Projektionsprisma, um das Aussehen eines Ausr\xc3\xbcstungsgegenstandes zu ver\xc3\xa4ndern.",119,0,15,0,20
23,"Absteigen","Du steigst von deinem Reittier ab.",61128,0,0,0,0
24,,,0,0,0,0,0
25,,,0,0,0,0,0
