131072,,,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,2,2,0,0,False
131074,,"Proceed to the Seat of the First Bow?",3884000,590352,590353,0,3,1,0,0,False
131075,,"Leave the Seat of the First Bow?",3884182,0,0,0,1,1,0,0,False
131076,,"Leave the Lotus Stand?",3878860,0,0,0,1,1,0,0,False
131077,"Purchase passage to Sweetbloom Pier","Board the ferry to Sweetbloom Pier?",1381039,590354,590355,0,4,1,0,0,False
131078,,"Board the ferry to Old Gridania?",1381038,590356,590259,0,4,1,0,0,False
131079,,,4124796,0,0,0,5,3,0,0,False
131080,,,1359058,0,0,0,5,4,0,0,False
131081,,,4124801,0,0,0,5,5,0,0,False
131082,,"Exit room?",4125264,0,0,0,1,1,0,0,False
131083,,"Exit room?",2232680,0,0,0,1,1,0,0,False
131084,,"Exit room?",4125288,0,0,0,1,1,0,0,False
131085,,"Leave the Heart of the Sworn?",4107979,0,0,0,1,1,0,0,False
131086,,"Take the ferry to Crescent Cove for 40 gil?",4143657,590441,590620,590448,6,1,0,0,False
131087,,"Take the ferry to the Silver Bazaar for 40 gil?",4143677,590442,590621,590449,6,1,0,0,False
131088,,"Enter the Waking Sands?",4107477,0,590450,0,7,1,0,0,False
131089,,"Leave the Waking Sands?",4132388,0,0,0,1,1,0,0,False
131090,,"Enter the solar?",4148347,0,590564,0,21,1,0,0,False
131091,,"Leave the solar?",4148350,0,0,0,1,1,0,0,False
131092,"Ride lift to the airship landing","Proceed to the airship landing?",4158063,0,0,0,1,1,0,0,False
131093,"Ride lift to the Drowning Wench","Proceed to the Drowning Wench?",4158069,0,0,0,1,1,0,0,False
131094,"Ride lift to Bulwark Hall","Proceed to Bulwark Hall?",4161445,0,0,0,1,1,0,0,False
131095,"Ride lift to the airship landing","Proceed to the airship landing?",4164411,0,0,0,1,1,0,0,False
131096,"Ride lift to the Hustings Strip","Proceed to the Hustings Strip?",4164414,0,0,0,1,1,0,0,False
