0,,0,0,0
1,"Arme de pugiliste",60101,1,1
2,"Arme de gladiateur",60102,0,1
3,"Arme de maraudeur",60103,2,1
4,"Arme d'archer",60105,4,1
5,"Arme d'hast",60104,3,1
6,"Arme d'occultiste",60108,10,1
7,"Arme \xc3\xa0 deux mains d'occultiste",60108,11,1
8,"Arme d'\xc3\xa9l\xc3\xa9mentaliste",60107,8,1
9,"Arme \xc3\xa0 deux mains d'\xc3\xa9l\xc3\xa9mentaliste",60107,9,1
10,"Grimoire",60109,12,1
11,"Bouclier",60110,0,3
12,"Outil principal de menuisier",60112,0,2
13,"Outil secondaire de menuisier",60112,1,2
14,"Outil principal de forgeron",60113,2,2
15,"Outil secondaire de forgeron",60113,3,2
16,"Outil principal d'armurier",60114,4,2
17,"Outil secondaire d'armurier",60114,5,2
18,"Outil principal d'orf\xc3\xa8vre",60115,6,2
19,"Outil secondaire d'orf\xc3\xa8vre",60115,7,2
20,"Outil principal de tanneur",60116,8,2
21,"Outil secondaire de tanneur",60116,9,2
22,"Outil principal de couturier",60117,10,2
23,"Outil secondaire de couturier",60117,11,2
24,"Outil principal d'alchimiste",60118,12,2
25,"Outil secondaire d'alchimiste",60118,13,2
26,"Outil principal de cuisinier",60119,14,2
27,"Outil secondaire de cuisinier",60119,15,2
28,"Outil principal de mineur",60120,16,2
29,"Outil secondaire de mineur",60120,17,2
30,"Outil principal de botaniste",60121,18,2
31,"Outil secondaire de botaniste",60121,19,2
32,"Outil principal de p\xc3\xaacheur",60122,20,2
33,"App\xc3\xa2t de p\xc3\xaache",60123,28,7
34,"T\xc3\xaate",60124,1,3
35,"Torse",60126,2,3
36,"Jambes",60128,5,3
37,"Mains",60129,3,3
38,"Pieds",60130,6,3
39,"Ceinture",60131,4,3
40,"Collier",60132,0,4
41,"Boucle d'oreille",60133,1,4
42,"Bracelet",60134,2,4
43,"Bague",60135,3,4
44,"M\xc3\xa9dicament",60136,0,5
45,"Ingr\xc3\xa9dient",60137,0,6
46,"Plat ou boisson",60146,1,5
47,"Produit de la p\xc3\xaache",60138,1,6
48,"Pierre",60139,2,6
49,"M\xc3\xa9tal",60140,3,6
50,"Bois",60141,4,6
51,"Tissu",60142,5,6
52,"Cuir",60143,6,6
53,"Os",60144,7,6
54,"R\xc3\xa9actif",60145,8,6
55,"Teinture",60147,10,6
56,"Composant",60148,9,6
57,"Meuble",60164,20,7
58,"Mat\xc3\xa9ria",60150,0,7
59,"Cristal",60151,1,7
60,"Catalyseur",60152,2,7
61,"Divers",60153,3,7
62,"Cristal de jo",60157,4,4
63,"Autre",60159,6,7
64,"Titre immobilier",60160,7,7
65,"Toit",60160,8,7
66,"\xc3\x89l\xc3\xa9ment de fa\xc3\xa7ade",60160,9,7
67,"Fen\xc3\xaatre",60160,10,7
68,"Porte",60160,11,7
69,"D\xc3\xa9coration de toit",60160,12,7
70,"D\xc3\xa9coration de fa\xc3\xa7ade",60160,13,7
71,"Panneau",60160,14,7
72,"Muret",60160,15,7
73,"Tapisserie",60161,16,7
74,"Sol",60161,17,7
75,"Luminaire",60161,18,7
76,"Meuble de jardin",60168,19,7
77,"Table",60162,21,7
78,"Mobilier de table",60163,22,7
79,"Mobilier mural",60166,23,7
80,"Tapis",60167,24,7
81,"Mascotte",60155,5,7
82,"Jardinage",60153,25,7
83,"Demi-mat\xc3\xa9ria",60150,26,7
84,"Arme de surineur",60106,5,1
85,"Divers (\xc3\xa9v\xc3\xa9nements)",60154,4,7
86,"Carte de Triple Triade",60156,27,7
87,"Arme de chevalier noir",60170,6,1
88,"Arme de machiniste",60172,7,1
89,"Arme d'astromancien",60171,13,1
90,bxc3\x89l\xc3\xa9ment d'a\xc3\xa9ronef (coque)",60169,11,6
91,bxc3\x89l\xc3\xa9ment d'a\xc3\xa9ronef (gr\xc3\xa9ement)",60169,12,6
92,bxc3\x89l\xc3\xa9ment d'a\xc3\xa9ronef (poupe)",60169,14,6
93,bxc3\x89l\xc3\xa9ment d'a\xc3\xa9ronef (proue)",60169,13,6
94,,0,0,0
95,,0,0,0
96,,0,0,0
97,,0,0,0
98,,0,0,0
99,,0,0,0
100,,0,0,0
