0,,,0,0,0,0,0,0,0,0,0,0,False,False
1,"Petrification","Stone-like rigidity is preventing the execution of actions.",15001,0,0,2,6,122,100,0,0,0,True,False
2,"Stun","Unable to execute actions.",15004,0,0,2,3,125,100,0,0,0,True,False
3,"Sleep","Overwhelming drowsiness is preventing the execution of actions.",15013,0,0,2,2,123,100,0,0,3,True,False
4,"Daze","Scattered senses are preventing the execution of actions.",15003,0,0,2,8,0,100,0,0,0,True,False
5,"Amnesia","Unable to use abilities.",15015,0,0,2,15,0,100,0,0,0,False,False
6,"Pacification","Unable to use weaponskills.",15017,0,0,2,14,0,100,0,0,0,False,False
7,"Silence","A stifling magic is preventing casts.",15005,0,0,2,7,0,100,0,0,0,False,False
8,"Haste","Weaponskill recast time, spell recast time, and auto-attack delay are reduced.",15008,0,0,1,16,0,1,0,0,0,False,False
9,"Slow","Weaponskill recast time, spell recast time, and auto-attack delay are increased.",15009,0,0,2,13,0,50,0,0,0,False,False
10,"Slow","Weaponskill recast time, spell recast time, and auto-attack delay are increased.",15545,0,0,2,13,0,50,0,0,0,True,False
11,"Confused","Attacking allies instead of the enemy.",15603,0,0,2,17,0,100,0,0,0,True,False
12,"Levitation","Floating several ilms off the ground, defying the universal laws of gravity.",15037,0,0,1,16,128,1,0,0,0,True,False
13,"Bind","Unable to move.",15003,0,0,2,12,124,100,0,0,0,True,False
14,"Heavy","Movement speed is reduced.",15002,0,0,2,4,126,100,1,0,0,False,False
15,"Blind","Encroaching darkness is lowering accuracy.",15012,0,0,2,10,0,50,0,0,0,False,False
16,,,0,0,0,0,0,0,0,0,0,0,False,False
17,"Paralysis","Deadened nerves are sometimes preventing the execution of actions.",15006,0,0,2,5,0,100,0,0,0,False,False
18,"Poison","Toxins are causing damage over time.",15007,0,0,2,1,0,10,0,0,0,False,False
19,"Pollen","Deadly pollen has filled the lungs, causing damage over time.",15517,0,0,2,1,0,10,0,0,0,True,False
20,"TP Bleed","Bleeding TP over time.",15025,0,0,2,17,0,10,0,0,0,False,False
21,"HP Boost","Maximum HP is increased.",15075,0,0,1,16,0,1,0,0,0,False,False
22,"HP Penalty","Maximum HP is reduced.",15076,0,0,2,17,0,50,0,0,0,False,False
23,"MP Boost","Maximum MP is increased.",15077,0,0,1,16,0,1,0,0,0,False,False
24,"MP Penalty","Maximum MP is reduced.",15078,0,0,2,17,0,50,0,0,0,False,False
25,"Attack Up","Attack power is enhanced.",15050,0,0,1,16,0,1,0,0,0,False,False
26,"Attack Down","Attack power is reduced.",15051,0,0,2,17,0,50,0,0,0,False,False
27,"Accuracy Up","Accuracy is enhanced.",15060,0,0,1,16,0,1,0,0,0,False,False
28,"Accuracy Down","Accuracy is reduced.",15061,0,0,2,17,0,50,0,0,0,False,False
29,"Defense Up","Defense is enhanced.",15052,0,0,1,16,0,1,0,0,0,False,False
30,"Defense Down","Defense is reduced.",15053,0,0,2,17,0,50,0,0,0,False,False
31,"Evasion Up","Evasion is enhanced.",15062,0,0,1,16,0,1,0,0,0,False,False
32,"Evasion Down","Evasion is reduced.",15063,0,0,2,17,0,50,0,0,0,False,False
33,"Attack Magic Potency Up","Attack magic potency is enhanced.",15054,0,0,1,16,0,1,0,0,0,False,False
34,"Attack Magic Potency Down","Attack magic potency is reduced.",15055,0,0,2,17,0,50,0,0,0,False,False
35,"Healing Potency Up","Healing magic potency is enhanced.",15058,0,0,1,16,0,1,0,0,0,False,False
36,"Healing Potency Down","Healing magic potency is reduced.",15059,0,0,2,17,0,50,0,0,0,False,False
37,"Magic Defense Up","Magic defense is enhanced.",15056,0,0,1,16,0,1,0,0,0,False,False
38,"Magic Defense Down","Magic defense is reduced.",15057,0,0,2,17,0,50,0,0,0,False,False
39,"Stun Resistance","Immune to stun effects.",15566,0,0,1,16,0,100,0,0,0,True,False
40,"Silence Resistance","Immune to silence effects.",15567,0,0,1,16,0,100,0,0,0,True,False
41,"Crafting Facility","Maximum CP is increased for crafters level 50 or below.",16107,0,0,1,16,0,0,0,0,0,False,False
42,"The Echo","Maximum HP, damage dealt, and HP recovered via healing magic are increased.",16207,0,0,1,16,0,0,0,0,0,True,False
43,"Weakness","All attributes are reduced by 15%.",15010,0,0,2,0,0,100,0,0,0,False,False
44,"Brink of Death","All attributes are reduced by 30%.",15011,0,0,2,0,0,100,0,0,0,False,False
45,"Crafter's Grace","Chance of increased experience point gains as a Disciple of the Hand.",16106,0,0,1,16,0,0,0,0,0,False,False
46,"Gatherer's Grace","Chance of increased experience point gains as a Disciple of the Land.",16006,0,0,1,16,0,0,0,0,0,False,False
47,"Stealth","Cannot be detected by enemies. Movement speed is reduced.",16001,0,0,1,16,0,2,0,0,0,True,True
48,"Well Fed","Enjoying the benefits of a full belly.",16202,0,0,1,16,0,0,0,0,0,False,False
