0,"None",,65535,65535,0,0,0,0
1,"Dire","Squall Leonhart\x02\x1d\x01\x03: Salut\x02\x1d\x01\x03!",65535,65535,10,1,1,1
2,"Hurler","Butz Klauser\x02\x1d\x01\x03: Hello\x02\x1d\x01\x03!",65535,65535,11,1,3,1
3,"Murmurer",">> Cloud Strife\x02\x1d\x01\x03: Salut la compagnie\x02\x1d\x01\x03!\x02\x10\x01\x03Tifa Lockhart >> Salut la compagnie\x02\x1d\x01\x03!",65535,65535,12,1,4,1
4,"\xc3\x89quipe","(Cecil Harvey) Salut la compagnie\x02\x1d\x01\x03!",65535,65535,14,1,5,1
5,"Emotes standard","Rinoa Heartilly se montre du doigt.",65535,65535,29,1,16,1
6,"Emotes personnalis\xc3\xa9es","Celes Chere se recoiffe.",65535,65535,28,1,17,1
7,"Compagnie libre","[FC]<Tina Branford> Salut\x02\x1d\x01\x03!",65535,65535,24,1,7,1
8,"Linkshell [1]","[1]<Rosa Farrell> Bonsoir\x02\x1d\x01\x03!",65535,65535,16,1,8,1
9,"Linkshell [2]","[2]<Kain Highwind> Bonjour\x02\x1d\x01\x03!",65535,65535,17,1,9,1
10,"Linkshell [3]","[3]<Lenna Tycoon> Salut la compagnie\x02\x1d\x01\x03!",65535,65535,18,1,10,1
11,"Linkshell [4]","[4]<Faris Scherwiz> Hello\x02\x1d\x01\x03!",65535,65535,19,1,11,1
12,"Linkshell [5]","[5]<Vivi Ornitier> Salut la compagnie\x02\x1d\x01\x03!",65535,65535,20,1,12,1
13,"Linkshell [6]","[6]<Serah Farron> Bonsoir\x02\x1d\x01\x03!",65535,65535,21,1,13,1
14,"Linkshell [7]","[7]<Semih Lafihna> Salut la compagnie\x02\x1d\x01\x03!",65535,65535,22,1,14,1
15,"Linkshell [8]","[8]<Nanaa Mihgo> Coucou\x02\x1d\x01\x03!",65535,65535,23,1,15,1
16,"Crier","Lock Cole\x02\x1d\x01\x03: Salut la compagnie\x02\x1d\x01\x03!",65535,65535,30,1,2,1
