0,"C'est un dummy, vous savez\x02\x1d\x01\x03?","Je le savais\x02\x1d\x01\x03!","Ah bon\x02\x1d\x01\x03!?"
1,"Prendre la cellule magitek\x02\x1d\x01\x03?","Oui","Non"
2,"Quitter \x02)\x03\xeb9\x03\x02\x1d\x01\x03?","Oui","Non"
3,"Quitter \x02)\x03\xeb9\x03\x02\x1d\x01\x03?","Oui","Non"
4,"D\xc3\xa9truire le rosaire de culte\x02\x1d\x01\x03?","Oui","Non"
5,"Utiliser les cellules magitek\x02\x1d\x01\x03?","Oui","Non"
6,"Voulez-vous vraiment quitter \x02)\x03\xeb9\x03\x02\x1d\x01\x03?\x02\x10\x01\x03* Vous abandonnerez la mission et quitterez l'\xc3\xa9quipe.\x02\x10\x01\x03* Consultez le calendrier de l'outil de mission pour savoir quand vous pourrez retenter la mission.","Oui","Non"
7,"Voulez-vous vraiment quitter \x02)\x03\xeb9\x03 avec votre \xc3\xa9quipe\x02\x1d\x01\x03?\x02\x10\x01\x03* L'\xc3\xa9quipe enti\xc3\xa8re sera \xc3\xa9vacu\xc3\xa9e.\x02\x10\x01\x03* N'oubliez pas de prendre votre r\xc3\xa9compense si vous en avez.\x02\x10\x01\x03* Consultez le calendrier de l'outil de mission  pour savoir quand vous pourrez retenter la mission.","Oui","Non"
8,"Voulez-vous quitter la mission\x02\x1d\x01\x03?","Oui","Non"
9,"Ouvrir la porte au moyen de la petite clef\x02\x1d\x01\x03?","Oui","Non"
10,"Activer la grue\x02\x1d\x01\x03?","Oui","Non"
11,"D\xc3\xa9clencher l'explosion\x02\x1d\x01\x03?","Oui","Non"
12,"Il y a un interrupteur. L'activer\x02\x1d\x01\x03?","Oui","Non"
13,"Ramasser la clef\x02\x1d\x01\x03?","Oui","Non"
14,"Ramasser la clef de type A\x02\x1d\x01\x03?","Oui","Non"
15,"Ramasser la clef de type B\x02\x1d\x01\x03?","Oui","Non"
16,"Ramasser la clef de type C\x02\x1d\x01\x03?","Oui","Non"
17,"Ramasser la clef de type D\x02\x1d\x01\x03?","Oui","Non"
18,"Ouvrir la porte au moyen de la petite clef\x02\x1d\x01\x03?","Oui","Non"
19,"Ouvrir la porte du gui\x02\x1d\x01\x03?","Oui","Non"
20,"Ouvrir la porte de l'\xc5\x93illet\x02\x1d\x01\x03?","Oui","Non"
21,"Ouvrir la porte du lys\x02\x1d\x01\x03?","Oui","Non"
22,"Ouvrir la porte de la rose\x02\x1d\x01\x03?","Oui","Non"
23,"\xc3\x89teindre la torche\x02\x1d\x01\x03?","Oui","Non"
24,"D\xc3\xa9truire l'orbe\x02\x1d\x01\x03?","Oui","Non"
25,"\xc3\x89teindre la lampe\x02\x1d\x01\x03?","Oui","Non"
26,"Activer le levier et ouvrir la porte\x02\x1d\x01\x03?","Oui","Non"
27,"(\xe4\xbb\xae)\xe6\x80\xaa\xe6\xa8\xb9\xe3\x81\xae\xe6\xa0\xb9\xe3\x81\xab\xe8\xa7\xa6\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","Oui","Non"
28,"(\xe4\xbb\xae)\xe6\x80\xaa\xe6\xa8\xb9\xe3\x81\xae\xe5\xae\x9f\xe3\x81\xab\xe8\xa7\xa6\xe3\x82\x8c\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","Oui","Non"
29,"Utiliser le rosaire de culte\x02\x1d\x01\x03?","Oui","Non"
30,"Utiliser le transporteur magitek\x02\x1d\x01\x03?","Oui","Non"
31,"Utiliser le parchemin ensanglant\xc3\xa9\x02\x1d\x01\x03?","Oui","Non"
32,"Utiliser le levier du monte-charge\x02\x1d\x01\x03?","Oui","Non"
33,"Utiliser le levier du monte-charge\x02\x1d\x01\x03?","Oui","Non"
34,"Utiliser le d\xc3\xa9tonateur\x02\x1d\x01\x03?","Oui","Non"
35,"Placer 12 onz de poudre dans le fourneau\x02\x1d\x01\x03?","Oui","Non"
36,"Utiliser le raccourci\x02\x1d\x01\x03?","Oui","Non"
37,"Ouvrir la porte frontale de l'Arr\xc3\xaat\x02\x1d\x01\x03?","Oui","Non"
38,"Utiliser \x023\x11\xff\nEventItem\x02\xe8\x02\x02\x02\x03\x02\x1d\x01\x03?","Oui","Non"
39,"Vous trouvez une sorte d'interrupteur. L'activer\x02\x1d\x01\x03?","Oui","Non"
40,"Se jeter dans le flux \xc3\xa9th\xc3\xa9r\xc3\xa9\x02\x1d\x01\x03?","Oui","Non"
41,"Se jeter dans le flux \xc3\xa9th\xc3\xa9r\xc3\xa9\x02\x1d\x01\x03?","Oui","Non"
42,"D\xc3\xa9clencher le pi\xc3\xa8ge\x02\x1d\x01\x03?","Oui","Non"
43,"Tirer sur le levier et ouvrir la porte\x02\x1d\x01\x03?","Oui","Non"
44,"Ouvrir la porte de la cabine du capitaine\x02\x1d\x01\x03?","Oui","Non"
45,"Ouvrir la porte des bourlingueurs\x02\x1d\x01\x03?","Oui","Non"
46,"Ouvrir la porte du Trou\x02\x1d\x01\x03?","Oui","Non"
47,"Pousser la balance de la justice\x02\x1d\x01\x03?","Oui","Non"
48,"Sauter dans les sables mouvants\x02\x1d\x01\x03?","Oui","Non"
49,"Utiliser la clef d'identification imp\xc3\xa9riale pour d\xc3\xa9sactiver le verrouillage\x02\x1d\x01\x03?","Oui","Non"
50,"Sauter dans le vide-ordures\x02\x1d\x01\x03?","Oui","Non"
51,"Se d\xc3\xa9placer vers la prochaine zone\x02\x1d\x01\x03?","Oui","Non"
52,"Utiliser la clef d'identification imp\xc3\xa9riale\x02\x1d\x01\x03?","Oui","Non"
53,"Utiliser l'explosif type XXXVII\x02\x1d\x01\x03?","Oui","Non"
54,"Activer l'\xc3\x89chelon\x02\x1d\x01\x03?\x02\x10\x01\x03(Tous les \xc3\xa9quipiers suivront.)","Oui","Non"
55,"Ouvrir la porte pour Porta decumana\x02\x1d\x01\x03?\x02\x10\x01\x03(Tous les \xc3\xa9quipiers suivront.)","Oui","Non"
56,"Appeler l'ascenseur\x02\x1d\x01\x03?","Oui","Non"
57,"Activer l'ascenseur\x02\x1d\x01\x03?","Oui","Non"
58,"Monter dans l'armure magitek\x02\x1d\x01\x03?","Oui","Non"
59,"Utiliser l'huile d'\xc3\xa9clairage\x02\x1d\x01\x03?","Oui","Non"
60,"Se t\xc3\xa9l\xc3\xa9porter\x02\x1d\x01\x03?","Oui","Non"
61,"Se d\xc3\xa9placer vers la prochaine zone\x02\x1d\x01\x03?","Oui","Non"
62,"Prendre le raccourci de Brayflox\x02\x1d\x01\x03?","Oui","Non"
63,"Ouvrir la barri\xc3\xa8re temporaire\x02\x1d\x01\x03?","Oui","Non"
64,"Se laisser aspirer par l'orbe lugubre\x02\x1d\x01\x03?","Oui","Non"
65,"Se laisser aspirer par l'orbe lugubre\x02\x1d\x01\x03?","Oui","Non"
66,"Ouvrir la porte du lys\x02\x1d\x01\x03?","Oui","Non"
67,"Ouvrir la porte de la rose\x02\x1d\x01\x03?","Oui","Non"
68,"Ouvrir la porte verrouill\xc3\xa9e\x02\x1d\x01\x03?","Oui","Non"
69,"Se d\xc3\xa9placer vers le point de d\xc3\xa9part de l'aire d'entra\xc3\xaenement n\xc2\xb02\x02\x1d\x01\x03?","Oui","Non"
70,"Se d\xc3\xa9placer vers le point de d\xc3\xa9part de l'aire d'entra\xc3\xaenement n\xc2\xb03\x02\x1d\x01\x03?","Oui","Non"
71,"Ins\xc3\xa9rer la tablette dans le pi\xc3\xa9destal\x02\x1d\x01\x03?","Oui","Non"
72,"Ouvrir la porte du fenil\x02\x1d\x01\x03?","Oui","Non"
73,"Activer le levier d'\xc3\xa9vacuation des eaux\x02\x1d\x01\x03?","Oui","Non"
74,"Enfoncer la pierre du soleil dans l'emplacement de la porte\x02\x1d\x01\x03?","Oui","Non"
75,"Tourner la vanne\x02\x1d\x01\x03?","Oui","Non"
76,"Ouvrir la porte\x02\x1d\x01\x03?","Oui","Non"
77,"Enfoncer la pierre de la lune dans l'emplacement de la porte\x02\x1d\x01\x03?","Oui","Non"
78,"Placer la pierre du soleil sur le pi\xc3\xa9destal\x02\x1d\x01\x03?","Oui","Non"
79,"Placer la pierre de la lune sur le pi\xc3\xa9destal\x02\x1d\x01\x03?","Oui","Non"
80,"Placer la pierre de l'\xc3\xa9toile sur le pi\xc3\xa9destal\x02\x1d\x01\x03?","Oui","Non"
81,"Ouvrir la porte du tunnel de l'h\xc3\xa9r\xc3\xa9sie\x02\x1d\x01\x03?","Oui","Non"
82,"Ouvrir la porte du cirque aux stalactites\x02\x1d\x01\x03?","Oui","Non"
83,"Se d\xc3\xa9placer vers la prochaine zone\x02\x1d\x01\x03?","Oui","Non"
84,"Sortir de la chapelle d'ivoire\x02\x1d\x01\x03?","Oui","Non"
85,,,
86,"Utiliser la clef d'identification imp\xc3\xa9riale\x02\x1d\x01\x03?","Oui","Non"
87,"Voulez-vous vraiment sortir de \x02)\x03\xeb9\x03\x02\x1d\x01\x03?","Oui","Non"
88,"(\xe4\xbb\xae)\xe6\x9c\xac\xe6\xa3\x9a\xe3\x81\xab\xe9\xad\x94\xe9\x81\x93\xe6\x9b\xb8\xe3\x82\x92\xe6\x8c\xbf\xe3\x81\x97\xe8\xbe\xbc\xe3\x81\xbf\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8b\xef\xbc\x9f","\xe3\x81\xaf\xe3\x81\x84","\xe3\x81\x84\xe3\x81\x84\xe3\x81\x88"
89,"Donner un \xc5\x93uf du tonnerre en offrande\x02\x1d\x01\x03?","Oui","Non"
90,"Utiliser le levier en acier pour actionner le m\xc3\xa9canisme\x02\x1d\x01\x03?","Oui","Non"
91,"Ouvrir la porte de la caserne des chevaliers\x02\x1d\x01\x03?","Oui","Non"
92,"Ouvrir la porte de porte de la salle de commandement\x02\x1d\x01\x03?","Oui","Non"
93,"Activer le monte-charge\x02\x1d\x01\x03?","Oui","Non"
