393216,1,65756,65756,0,False
393217,2,65756,65756,0,False
393218,3,65757,65757,0,False
393219,4,65979,65979,0,False
393220,5,65756,65756,0,False
393221,6,66229,66229,0,False
393222,7,66223,66223,0,False
393223,8,66223,66223,0,False
393224,9,66224,66224,0,False
393225,10,66229,66229,0,False
393226,11,66230,66230,0,False
393227,12,65756,65536,0,False
393228,13,66228,66228,0,False
393229,14,65550,65550,0,False
393230,15,65552,65552,0,False
393231,16,65553,65553,0,False
393232,17,65980,65980,0,False
393233,18,65551,65551,0,False
393234,19,66223,65536,0,False
393235,20,66229,65536,0,False
393236,21,66232,66232,0,False
393237,22,66231,66231,0,False
393238,23,65554,65554,0,False
393239,24,66229,65536,1,True
393240,25,66229,65536,5,True
393241,26,65756,65536,1,True
393242,27,65756,65536,5,True
393243,28,66223,65536,1,True
393244,29,66223,65536,5,True
393245,30,65756,65536,5,True
393246,31,65756,65536,5,True
393247,32,66223,65536,8,True
393248,33,67642,67642,0,True
