0,,,0
1,"\xe5\xbf\xab\xe6\x99\xb4",,60201
2,"\xe6\x99\xb4\xe3\x82\x8c",,60202
3,"\xe6\x9b\x87\xe3\x82\x8a",,60203
4,"\xe9\x9c\xa7",,60204
5,"\xe9\xa2\xa8",,60205
6,"\xe6\x9a\xb4\xe9\xa2\xa8",,60206
7,"\xe9\x9b\xa8",,60207
8,"\xe6\x9a\xb4\xe9\x9b\xa8",,60208
9,"\xe9\x9b\xb7",,60209
10,"\xe9\x9b\xb7\xe9\x9b\xa8",,60210
11,"\xe7\xa0\x82\xe5\xa1\xb5",,60211
12,"\xe7\xa0\x82\xe5\xb5\x90",,60212
13,"\xe7\x86\xb1\xe6\xb3\xa2",,60213
14,"\xe7\x81\xbc\xe7\x86\xb1\xe6\xb3\xa2",,60214
15,"\xe9\x9b\xaa",,60215
16,"\xe5\x90\xb9\xe9\x9b\xaa",,60216
17,"\xe5\xa6\x96\xe9\x9c\xa7",,60218
18,"\xe3\x82\xaa\xe3\x83\xbc\xe3\x83\xad\xe3\x83\xa9",,60217
19,"\xe9\x97\x87",,60251
20,"\xe9\x97\x98\xe6\xb0\x97",,60255
21,"\xe6\x9b\x87\xe3\x82\x8a",,60203
22,"\xe9\x9b\xb7\xe9\x9b\xb2",,60259
23,"\xe6\x99\x82\xe5\x8c\x96",,60258
24,"\xe6\x99\x82\xe5\x8c\x96",,60258
25,"\xe6\x9b\x87\xe5\xa4\xa9",,60257
26,"\xe7\x81\xbc\xe7\x86\xb1\xe6\xb3\xa2",,60252
27,"\xe5\xa6\x96\xe9\x9c\xa7",,60256
28,"\xe6\x9a\xb4\xe9\xa2\xa8",,60253
29,"\xe5\x99\xb4\xe7\x85\x99",,60254
30,"\xe6\x99\xb4\xe3\x82\x8c",,60202
31,"\xe6\x99\xb4\xe3\x82\x8c",,60202
32,"\xe6\x99\xb4\xe3\x82\x8c",,60202
33,"\xe6\x99\xb4\xe3\x82\x8c",,60202
34,"\xe6\x99\xb4\xe3\x82\x8c",,60202
35,"\xe6\xa5\xb5\xe5\x85\x89",,60260
36,"\xe9\xbe\x8d\xe6\xa0\xb8",,60261
37,"\xe9\xbe\x8d\xe6\xa0\xb8",,60261
38,"\xe9\xbe\x8d\xe6\xa0\xb8",,60261
39,"\xe9\xbe\x8d\xe6\xa0\xb8",,60261
40,"\xe7\xbe\xa4\xe9\x9b\xb2",,60262
41,"\xe7\xbe\xa4\xe9\x9b\xb2",,60262
42,"\xe7\xbe\xa4\xe9\x9b\xb2",,60262
43,"\xe7\xbe\xa4\xe9\x9b\xb2",,60262
44,"\xe7\xa5\x9e\xe6\x84\x8f",,60264
45,"\xe7\xa5\x9e\xe6\x84\x8f",,60264
46,"\xe7\xa5\x9e\xe6\x84\x8f",,60264
47,"\xe7\xa5\x9e\xe6\x84\x8f",,60264
48,"\xe7\xa5\x9e\xe6\x84\x8f",,60264
49,"\xe9\x9c\x8a\xe9\xa2\xa8",,60219
50,"\xe6\x94\xbe\xe9\x9b\xb",,60220
51,"\xe7\x85\x99\xe9\x9c\xa7",,60263
52,"\xe6\x99\xb4\xe3\x82\x8c",,60202
53,"\xe7\x8d\xa3\xe9\x9b\xb7",,60226
54,"\xe9\x9b\xb7\xe6\xb3\xa2",,60227
55,"\xe7\x8d\xa3\xe9\x9b\xb7",,60226
