0,"None",,65535,65535,0,0,0,0
1,"Say","Squall Leonhart : \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,10,1,1,1
2,"Shout","Butz Klauser : \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,11,1,3,1
3,"Tell",">> Cloud Strife : \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81\x02\x10\x01\x03Tifa Lockhart >> \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,12,1,4,1
4,"Party","(Cecil Harvey) \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,14,1,5,1
5,"\xe6\x84\x9f\xe6\x83\x85\xe8\xa1\xa8\xe7\x8f\xbe/\xe3\x82\xa8\xe3\x83\xa2\xe3\x83\xbc\xe3\x83\x88","Rinoa Heartilly\xe3\x81\xaf\xe3\x82\xa2\xe3\x83\x94\xe3\x83\xbc\xe3\x83\xab\xe3\x81\x97\xe3\x81\xa6\xe3\x81\xbf\xe3\x81\x9b\xe3\x81\x9f\xe3\x80\x82",65535,65535,29,1,16,1
6,"\xe3\x82\xaa\xe3\x83\xaa\xe3\x82\xb8\xe3\x83\x8a\xe3\x83\xab\xe3\x81\xae\xe6\x84\x9f\xe6\x83\x85\xe8\xa1\xa8\xe7\x8f\xbe","Celes Chere\xe3\x81\xaf\xe8\x87\xaa\xe5\x88\x86\xe3\x81\xae\xe9\xa1\x94\xe3\x82\x92\xe3\x83\x90\xe3\x82\xb7\xe3\x83\x83\xe3\x81\xa8\xe3\x81\x9f\xe3\x81\x9f\xe3\x81\x84\xe3\x81\x9f\xe3\x80\x82",65535,65535,28,1,17,1
7,"\xe3\x83\x95\xe3\x83\xaa\xe3\x83\xbc\xe3\x82\xab\xe3\x83\xb3\xe3\x83\x91\xe3\x83\x8b\xe3\x83\xbc","[FC]<Tina Branford> \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,24,1,7,1
8,"Linkshell[1]","[1]<Rosa Farrell> \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,16,1,8,1
9,"Linkshell[2]","[2]<Kain Highwind> \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,17,1,9,1
10,"Linkshell[3]","[3]<Lenna Tycoon> \xe3\x81\x93\xe3\x82\x93\xe3\x81\xab\xe3\x81\xa1\xe3\x81\xaf\xef\xbc\x81",65535,65535,18,1,10,1
