#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
0,,0,0,0,0,0,0,0,0,False
1,ＶＩＴアップ,0,0,0,0,0,0,0,0,False
2,ＶＩＴアップII,0,0,0,0,0,0,0,0,False
3,ＶＩＴアップIII,0,0,0,0,0,0,0,0,False
4,ＶＩＴアップ,0,0,0,0,0,0,0,0,False
5,ＶＩＴアップII,0,0,0,0,0,0,0,0,False
6,ＶＩＴアップIII,0,0,0,0,0,0,0,0,False
7,ＳＴＲアップ,0,0,0,0,0,0,0,0,False
8,ＳＴＲアップII,0,0,0,0,0,0,0,0,False
9,ＳＴＲアップIII,0,0,0,0,0,0,0,0,False
10,疾風迅雷効果アップ,0,0,0,0,0,0,0,0,False
11,疾風迅雷効果アップII,0,0,0,0,0,0,0,0,False
12,ＳＴＲアップ,0,0,0,0,0,0,0,0,False
13,ＳＴＲアップII,0,0,0,0,0,0,0,0,False
14,ＳＴＲアップIII,0,0,0,0,0,0,0,0,False
15,ＤＥＸアップ,0,0,0,0,0,0,0,0,False
16,ＤＥＸアップII,0,0,0,0,0,0,0,0,False
17,ヘヴィショット効果アップ,0,5321,0,5,50,2,50,0,False
18,アクションダメージアップ,0,5302,10,5,50,20,50,0,False
19,ＤＥＸアップIII,0,0,0,0,0,0,0,0,False
20,アクションダメージアップII,0,5303,20,5,50,40,50,0,False
21,ＭＮＤアップ,0,0,0,0,0,0,0,0,False
22,ＭＮＤアップII,0,0,0,0,0,0,0,0,False
23,アクションダメージ・回復量アップ,0,5185,10,6,53,20,53,0,False
24,ＭＮＤアップIII,0,0,0,0,0,0,0,0,False
25,ケアル効果アップ,0,5330,0,6,53,32,53,0,False
26,アクションダメージ・回復量アップII,0,5186,30,6,53,40,53,0,False
27,ＩＮＴアップ,0,0,0,0,0,0,0,0,False
28,ＩＮＴアップII,0,0,0,0,0,0,0,0,False
29,アクションダメージ・回復量アップ,0,5185,10,7,55,20,55,0,False
30,ＩＮＴアップIII,0,0,0,0,0,0,0,0,False
31,アクションダメージ・回復量アップII,0,5186,30,7,55,40,55,0,False
32,ファイア効果アップ,0,5352,0,7,55,42,55,0,False
33,サンダー系魔法効果アップ,0,5355,0,0,0,0,0,0,False
34,オートトライアングレート,0,5451,0,17,18,2,18,0,False
35,ステルス効果アップ,0,0,30,0,0,0,0,0,False
36,ステルス効果アップII,0,0,40,0,0,0,0,0,False
37,ステルス効果アップIII,0,0,50,0,0,0,0,0,False
38,オートプロスペクト,0,5426,0,16,17,2,17,0,False
39,ステルス効果アップ,0,0,30,0,0,0,0,0,False
40,ステルス効果アップII,0,0,40,0,0,0,0,0,False
41,ステルス効果アップIII,0,0,50,0,0,0,0,0,False
42,ツリーウィスパラー,0,5455,0,17,18,11,18,0,False
43,ツリーウィスパラーII,0,5456,0,17,18,16,18,0,False
44,ツリーウィスパラーIII,0,5457,0,17,18,21,18,0,False
45,ツリーウィスパラーIV,0,5458,0,17,18,26,18,0,False
46,十二神の加護効果アップ,0,5459,0,17,18,41,18,0,False
