#,Name,BasePlate,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,TopBorder,BottomBorder
0,カスタム,0,0,0,0,0,0,0,0,0
1,ベーシック,2,11,1,0,0,0,1,1,0
2,シンプルモダン,3,11,2,0,0,0,2,3,3
3,スタイリッシュ,9,18,0,0,0,0,3,8,8
4,ポップ,4,13,3,0,0,0,4,3,3
5,ロール：TANK,5,11,10,24,0,0,5,0,1
6,ロール：DPS,6,11,10,25,0,0,7,0,1
7,ロール：HEALER,7,11,10,26,0,0,6,0,1
8,リムサ・ロミンサ,6,20,4,28,35,42,8,5,5
9,グリダニア,10,20,4,28,36,42,9,7,7
10,ウルダハ,9,20,4,28,37,42,10,4,4
11,エクスプローラー,8,19,9,28,38,49,11,9,9
12,アドベンチャラー,8,14,9,30,38,44,12,10,10
13,絶バハムート討滅戦,54,160,0,161,162,163,2500,11,0
14,絶アルテマウェポン破壊作戦,55,164,0,165,166,167,2501,12,0
15,絶アレキサンダー討滅戦,56,168,0,169,170,171,2502,13,0
16,絶竜詩戦争,57,172,0,173,174,175,2503,14,0
17,ヴァリアントダンジョン：シラディハ水道,3,0,176,177,0,0,2402,0,0
18,友好部族クエスト：オミクロン族,58,0,0,0,0,179,2315,15,15
19,幾何学模様：サークル,60,0,0,0,191,0,13,0,0
20,カフェ,59,0,180,0,0,194,14,0,0
21,ミュージック,61,0,0,0,0,196,15,16,16
22,友好部族クエスト：ピクシー族,63,0,0,0,0,257,2311,21,21
23,友好部族クエスト：キタリ族,64,0,0,0,0,258,2312,22,22
24,友好部族クエスト：ドワーフ族,65,0,0,0,0,259,2313,23,23
25,友好部族クエスト：アルカソーダラ族,66,0,0,0,0,260,2314,24,24
26,友好部族クエスト：レポリット族,67,0,0,0,0,261,2316,25,25
27,絶オメガ検証戦,68,262,0,263,264,265,2504,26,0
28,ディープダンジョン：オルト・エウレカ1,69,0,0,296,0,0,2358,0,0
29,ディープダンジョン：オルト・エウレカ2,70,0,0,297,0,0,2359,0,0
30,クロニクルクエスト：四聖獣奇譚,71,0,0,0,298,0,2251,0,0
31,無人島開拓1,72,0,0,0,299,301,2340,0,0
32,無人島開拓2,73,0,0,0,300,302,2341,0,0
33,友好部族クエスト：コウジン族,74,0,0,0,0,333,2308,27,27
