#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
0,,,,0,0,0
1,,,,0,0,0
2,,,,0,0,0
3,,,,0,0,0
4,,,,0,0,0
5,,,,0,0,0
6,,,,0,0,0
7,,,,0,0,0
8,,,,0,0,0
9,,,,0,0,0
10,"……どうしたネ？
ローンロンを買うなら、フッブート金貨1枚じゃ足りないヨ？",,,10,61,1
11,さて、水晶公は何と言っていたか……。,,,11,61,1
12,"ちょっと、暗いですね……。
上で蝋燭をわけてもらった方がいいでしょうか……？",,,12,61,1
13,"…………？
私をじっと見て、どうしたというの？
こちらの調査は、もう少しかかるわよ。",,,13,61,1
14,"イテッ……！？
ど、どうして私を狙うんだ……！",,,14,61,1
15,"撃たれても微動だにせず、じっとこちらを見つめている。
少なくとも、ドワーフ族ではなさそうだ……。",,,0,57,7
16,"わお、大正解～！
その識別力と行動力に、拍手ラリ～！",,,15,61,1
17,"はっずれー！
ボクは正真正銘、トルーの兜を被ってまーす！
やーいやーい！　ンー、やーい！",,,16,61,1
18,"ンガッハハハ！　フフ！　グフフ！
俺は撃っちゃいけないやつだぞ、まだまだだな！",,,17,61,1
19,それらしき人物を発見した！,,,0,57,7
20,"……堂々とした佇まいだ。
しかし、ミステル族ではない。",,,0,57,7
21,"とても古そうな壁画だ。
中央の人物が武器を掲げている。
黒い獣が倒され、周りの人々は喜んでいるようだ……。",,,0,57,7
22,"かなり古そうな壁画だ。
玉座に座った人物に、大勢の人が謁見している……。",,,0,57,7
23,"それなりに古そうな壁画だ。
渦巻く闇と対峙する、数名の人物が描かれているようだが、
中央が無残に削り取られている……。",,,0,57,7
24,"それは「ダラダラよだれパン」ネ！
中に、甘酸っぱいサボテンの実がたくさん練りこんであるから、
パサパサしてても大丈夫！　健康にもいいヨ！",,,10,61,1
25,"それは「メラメラやる気ハム」ネ！
リザードの貴重な部位を、秘伝のスパイスでハムにしたヨ！
ちょっと変な匂いがするけど、食べると体がカッカするネ！",,,10,61,1
26,"それは「モチモチおやつ串」ネ！
近くの岩場に隠れている小型のカエルを、シンプルに焼いたヨ！
あっさりしていて、食べやすいネ！",,,10,61,1
27,"それは「ぷりぷりミミズ漬け」ネ！
みんな大好き白ミミズを、蜜に漬けこんだ夢の一品ヨ！
これ以外のスイーツは食べられなくなるネ！",,,10,61,1
28,古びた石板を発見した！,,,0,57,7
29,"ふむ……これが祭壇だと思われますが、
「夜の民」の代表的な祭具である、水鏡がありませんね。
移動するときに、それだけ持ち去ったのでしょうか……。",,,18,61,1
30,"それらしき人物を発見した！
しかし、集落の方へと逃げていってしまった……。",,,0,57,7
31,"じ～っと、こちらを見つめている。
正体不明の人影ではないようだ……。",,,0,57,7
32,"ラリホー！　お見事！
その調子で、本番もがんばれー！",,,15,61,1
33,"高くそびえた細長い建物に、多くの窓がついている。
ほかでは見かけない、特徴的な形と言えるだろう。",,,0,57,7
34,"……なぜか、ハシビロコウがいる。
理由はちっともわからないが、堂々と、いる。",,,0,57,7
35,"クリオニッドの幼生が、気弱そうな表情で漂っている……。
きっと、おとなしい生き物に違いない。",,,0,57,7
36,"ッ！？　どさくさに紛れて狙わないでくれ！
外れない、フードは外れないから……っ！",,,14,61,1
37,"撃たれても微動だにせず、
じっと、じ～～～っとこちらを見つめている。
どうあれ、ドワーフ族ではなさそうだ……。",,,0,57,7
38,,,,0,0,0
39,"うきゅっ！？
いったい何ですかぁ……！
お仕事の邪魔は、ご遠慮ください！",,,22,61,1
40,"うーん……ここからじゃ見えづらいが、
タンクの上に、金色の管が通ってるよな？","で、少し下の窓から覗き見ると……
タンクの下部が、また大きな管に繋がってるみたいだ。","となると、汲み上げた水をろ過して不純物を取り除く、
「浄水装置」ってところかな。",20,61,1
