#,Name,Description,LGBEventObject,LGBMapRange,Quest,Announce,Unknown0,Unknown1,Unknown6,Unknown7,Unknown2,EventType,EnemyType,MaxParticipants,Duration,Unknown5,SingleBattle,Unknown8
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,腐乱野菜「ピーリフール」,"魔獣大隊の百人隊長クラリシーが
腐りかけた草木綱の魔物を放棄した
腐乱野菜、ピーリフールを倒せ",8373717,8511877,69477,0,0,0,0,0,0,1,4,48,20,0,0,True
2,戦争の妖犬「カニスディルス」,"術士大隊が戦列をかき乱すため
三つ首の妖犬を召喚した
戦争の妖犬、カニスディルスを倒せ",8374110,8511881,69477,0,0,0,0,0,0,1,2,48,20,0,0,True
3,高火力陸戦魔導兵器「ヴィジル」,"機械化歩兵大隊の強化兵ダボグが駆る
ガードスコーピオンの改修機が現れた
高火力陸戦魔導兵器、ヴィジルを倒せ",8367113,8511882,69477,0,0,0,0,0,0,1,1,48,20,0,0,True
4,新型飛行型魔導アーマー「ガブリエル」,"機械化歩兵大隊の強化兵ダボグが駆る
新型飛行型魔導アーマーが飛来した
一騎打ちに応じ、ガブリエルを倒せ",8367033,8511886,69477,0,0,0,0,0,0,2,3,1,20,0,1,True
5,黒き死鳥「アクババ」,"魔獣大隊の鳥使いたちが
ボズヤ・レジスタンスに損害を与えている
死鳥アクババと、鳥使いを倒せ",8342248,8511887,69477,0,0,0,0,0,0,1,4,48,20,0,0,True
6,怨念の死霊「スパルトイ」,"術士大隊の選抜兵ロフィーが
実験動物モノセロスを連れて脱走を図った
モノセロスと共に、死霊スパルトイを倒せ",8367316,8511891,69481,0,0,0,0,0,0,1,5,48,20,0,0,True
7,赤チョコボのヌシ「レッドコメット」,"南方ボズヤ戦線に
いずこからか赤チョコボの群れが現れた
群れのヌシ、レッドコメットを倒せ",8374867,8511892,69481,0,0,0,0,0,0,1,4,48,20,0,0,True
8,百獣使い「獣王ライアン」,"魔獣大隊を率いる歴戦の千人隊長
ライアンから挑戦を受けた
一騎打ちに応じ、獣王ライアンを倒せ",8374963,8511893,69481,0,0,0,0,0,0,2,3,1,20,0,2,True
9,炎獣使い「火焔百人隊」,"炎獣ピュロボロスを使役する
術士大隊火焔百人隊が進撃してきた
敵部隊をせん滅し、進攻を阻止せよ",8375462,8511895,69481,0,0,0,0,0,0,3,2,24,20,0,0,True
10,拠点防衛魔導兵器「パトリオット」,"機械化歩兵大隊が
拠点の防備を固めるため新兵器を配備した
拠点防衛魔導兵器、パトリオットを倒せ",8374781,8511898,69481,0,0,0,0,0,0,1,1,48,20,0,0,True
11,邪眼の妖獣「エアレー」,"術士大隊の妖術士が
不気味な妖獣を戦場に解き放った
邪眼の妖獣、エアレーを倒せ",8377121,8511901,69484,0,0,0,0,0,0,1,2,24,20,0,0,True
12,老練の魔道士「鉄火のサルトヴォアール」,"強敵を求めるパイロマンサーが現れた
第IV軍団術士大隊の上級百人隊長
鉄火のサルトヴォアールを一騎打ちで倒せ",8374538,8511905,69484,0,0,0,0,0,0,2,3,1,20,0,3,True
13,鋼鉄の魔獣「ダーインスレイヴ」,"機械化歩兵大隊の魔導技師長シシニアスが
新型の魔導兵器を戦場に送り込んだ
鋼鉄の魔獣、ダーインスレイヴを倒せ",8367337,8511910,69484,0,0,0,0,0,0,1,1,48,20,0,0,True
14,新たなる鉄巨人「魔導レイバーX型」,"機械化歩兵大隊の魔導技師長シシニアスが
古代兵器に改良を加え、実戦投入した
新たなる鉄巨人、魔導レイバーX型を倒せ",8377886,8511912,69484,0,0,0,0,0,0,1,1,48,20,0,0,True
15,戦慄の角「チルヴニク」,"魔獣大隊が秘薬を用いて
魔獣の死体を蘇らせ戦力化した
戦慄の角、チルヴニクを倒せ",8367328,8511913,69484,0,0,0,0,0,0,1,5,48,20,0,0,True
16,カストルム・ラクスリトレ攻城戦,"第IV軍団のボズヤにおける本拠点
カストルム・ラクスリトレに攻め上った
障害を突破し、砦を制圧せよ",0,0,69487,9626,0,0,0,0,0,4,6,48,20,1,0,True
17,妖霊使い「妖戦百人隊」,"妖霊ジルニトラを使役する
術士大隊妖戦百人隊が進撃してきた
敵部隊をせん滅し、進攻を阻止せよ",8664684,8664761,69620,0,0,0,0,0,0,3,2,48,20,0,0,True
18,試作飛行型魔導アーマー「ブラックバーン」,"ヘルダイバーの改良機と思しき
試作飛行型魔導アーマーが飛来した
ブラックバーンを倒せ",8664685,8664762,69629,0,0,0,0,0,0,1,1,48,20,0,0,True
19,非業の強化兵「ハイパーチューンド・ダボグ」,"機械化歩兵大隊の強化兵ダボグが
おぞましき生体兵器に改造された
ハイパーチューンド・ダボグを倒せ",8664686,8664763,69620,0,0,0,0,0,0,2,3,1,20,0,4,True
