#,Objective,Requirement,Image,Unknown0,Order
0,,,0,100,0
1,千越し祝い,達成条件：釣果ポイントを2500以上獲得する。,65901,110,4
2,万越し祝い,達成条件：釣果ポイントを5000以上獲得する。,65902,120,5
3,珍魚,達成条件：★★★★の魚を釣り上げる。,65903,110,6
4,伝説魚,達成条件：★★★★★の魚を釣り上げる。,65904,120,7
5,入食,達成条件：幻海流中に15匹以上魚を釣り上げる。,65905,110,8
6,爆釣王,達成条件：幻海流中に35匹以上魚を釣り上げる。,65906,120,9
7,豊漁：ガラディオン湾,達成条件：ガラディオン湾にてパーティ合計で10種類以上、魚を釣り上げる。,65907,110,10
8,豊漁：メルトール海峡南,達成条件：メルトール海峡南にてパーティ合計で10種類以上、魚を釣り上げる。,65908,110,13
9,豊漁：メルトール海峡北,達成条件：メルトール海峡北にてパーティ合計で10種類以上、魚を釣り上げる。,65909,110,19
10,豊漁：ロータノ海,達成条件：ロータノ海にてパーティ合計で10種類以上、魚を釣り上げる。,65910,110,22
11,伝説の大漁旗,達成条件：パーティで合計3匹以上の★★★★★の魚を釣り上げる。,65911,150,31
12,リムレーンの愛し子,達成条件：自身で幻海流を発生させる。,65912,110,32
13,オクトパストラベラー,達成条件：パーティ合計で150匹以上、タコを釣り上げる。,65913,120,33
14,シャークハンター,達成条件：パーティ合計で200匹以上、サメを釣り上げる。,65914,130,34
15,クラゲマニア,達成条件：パーティ合計で150匹以上、クラゲを釣り上げる。,65915,120,35
16,シードラゴンキラー,達成条件：パーティ合計で100匹以上、タツノオトシゴを釣り上げる。,65916,110,36
17,初級海釣り師,達成条件：船上でのミッションを1つ達成する。,65923,105,1
18,中級海釣り師,達成条件：船上でのミッションを2つ達成する。,65924,110,2
19,上級海釣り師,達成条件：船上でのミッションを3つ達成する。,65925,120,3
20,バルーンキャッチャー,達成条件：パーティ合計で250匹以上、フグを釣り上げる。,65917,130,37
21,蟹工船,達成条件：パーティ合計で250匹以上、カニを釣り上げる。,65918,130,38
22,エイエイオー,達成条件：個人合計で25匹以上、エイを釣り上げる。,65919,120,39
23,豊漁：ガラディオン湾,達成条件：ガラディオン湾にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65907,110,11
24,豊漁：ガラディオン湾,達成条件：ガラディオン湾にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65907,110,12
25,豊漁：メルトール海峡南,達成条件：メルトール海峡南にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65908,110,14
26,豊漁：メルトール海峡南,達成条件：メルトール海峡南にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65908,110,15
27,豊漁：メルトール海峡北,達成条件：メルトール海峡北にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65909,110,20
28,豊漁：メルトール海峡北,達成条件：メルトール海峡北にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65909,110,21
29,豊漁：ロータノ海,達成条件：ロータノ海にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65910,110,23
30,豊漁：ロータノ海,達成条件：ロータノ海にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65910,110,24
31,豊漁：シェルダレー諸島,達成条件：シェルダレー諸島にてパーティ合計で10種類以上、魚を釣り上げる。,65920,110,16
32,豊漁：シェルダレー諸島,達成条件：シェルダレー諸島にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65920,110,17
33,豊漁：シェルダレー諸島,達成条件：シェルダレー諸島にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65920,110,18
34,豊漁：緋汐海,達成条件：緋汐海にてパーティ合計で10種類以上、魚を釣り上げる。,65921,110,25
35,豊漁：緋汐海,達成条件：緋汐海にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65921,110,26
36,豊漁：緋汐海,達成条件：緋汐海にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65921,110,27
37,豊漁：ロズリト湾,達成条件：ロズリト湾にてパーティ合計で10種類以上、魚を釣り上げる。,65922,110,28
38,豊漁：ロズリト湾,達成条件：ロズリト湾にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65922,110,29
39,豊漁：ロズリト湾,達成条件：ロズリト湾にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65922,110,30
40,貝殻収集家,達成条件：パーティ合計で350匹以上、貝を釣り上げる。,65930,130,52
41,スルメドラグーン,達成条件：パーティ合計で400匹以上、イカを釣り上げる。,65931,130,53
42,海老散らない,達成条件：個人合計で50匹以上、エビを釣り上げる。,65932,120,54
43,豊漁：セイレーン海,達成条件：セイレーン海にてパーティ合計で10種類以上、魚を釣り上げる。,65926,110,40
44,豊漁：セイレーン海,達成条件：セイレーン海にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65926,110,41
45,豊漁：セイレーン海,達成条件：セイレーン海にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65926,110,42
46,豊漁：クガネ,達成条件：クガネにてパーティ合計で10種類以上、魚を釣り上げる。,65927,110,43
47,豊漁：クガネ,達成条件：クガネにてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65927,110,44
48,豊漁：クガネ,達成条件：クガネにてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65927,110,45
49,豊漁：紅玉海,達成条件：紅玉海にてパーティ合計で10種類以上、魚を釣り上げる。,65928,110,46
50,豊漁：紅玉海,達成条件：紅玉海にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65928,110,47
51,豊漁：紅玉海,達成条件：紅玉海にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65928,110,48
52,豊漁：無二江,達成条件：無二江にてパーティ合計で10種類以上、魚を釣り上げる。,65929,110,49
53,豊漁：無二江,達成条件：無二江にてパーティ合計で9種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65929,110,50
54,豊漁：無二江,達成条件：無二江にてパーティ合計で8種類以上、魚を釣り上げる。(パーティ人数による補正発動中),65929,110,51
