#,Name,Order,RequiredItem[0],RequiredItem[1],RequiredItem[2],CompanyCraftDraftCategory,RequiredItemCount[0],RequiredItemCount[1],RequiredItemCount[2]
0,飛空艇設計図:第2集,1,12923,0,0,1,6,0,0
1,飛空艇設計図:第3集,2,12924,12923,0,1,10,4,0
2,飛空艇設計図:第4集,3,12925,12923,0,1,10,4,0
3,飛空艇設計図:第5集,4,12926,12924,0,1,14,4,0
4,飛空艇設計図:第6集,5,12927,12925,12923,1,14,4,4
5,家屋設計図:料理屋,1,12920,0,0,2,10,0,0
6,家屋設計図:防具屋,2,12921,0,0,2,10,0,0
7,家屋設計図:武器屋,3,12922,12921,0,2,9,8,0
8,魔器設計図:第2集,1,12928,0,0,0,6,0,0
9,魔器設計図:第3集,2,12928,0,0,0,6,0,0
10,魔器設計図:第4集,3,12928,0,0,0,6,0,0
11,魔器設計図:第5集,4,12929,12922,0,0,4,2,0
12,魔器設計図:第6集,5,12929,12922,0,0,4,2,0
13,魔器設計図:第7集,6,12929,12922,0,0,4,2,0
14,大型魔器設計図:第2集,7,12929,12922,12920,0,6,3,8
15,家屋設計図:モグモグハウス,4,12922,12921,12923,2,11,10,8
16,大型魔器設計図:第3集,8,12929,12922,12920,0,8,5,10
17,飛空艇設計図:第7集,6,12927,12926,12925,1,18,8,8
18,大型魔器設計図:第4集,9,12929,12922,12920,0,10,7,12
19,大型魔器設計図:第5集,10,12929,12922,12920,0,12,9,14
20,家屋設計図:チョコボハウス,5,12922,12921,12923,2,14,12,10
21,家屋設計図:パイッサハウス,6,12922,12921,12923,2,16,14,12
22,家屋設計図:カーバンクルハウス,7,12922,12921,12923,2,18,16,14
23,家屋設計図:白銀城造,8,12922,12921,12923,2,20,18,16
24,潜水艦設計図:第1集,7,5374,0,0,1,6,0,0
25,潜水艦設計図:第2集,8,12924,12923,0,1,10,4,0
26,潜水艦設計図:第3集,9,12925,12923,0,1,10,4,0
27,家屋設計図:ウソウソハウス,9,12922,12921,12923,2,21,19,17
28,潜水艦設計図:第4集,10,12926,12924,0,1,14,4,0
29,潜水艦設計図:第5集,11,12927,12925,12923,1,14,4,4
30,潜水艦設計図:第6集,12,26528,12926,12924,1,18,8,8
31,家屋設計図:ハーフティンバーハウス,10,12922,29590,26528,2,18,10,8
32,家屋設計図:アンビルハウス,10,12922,29590,26528,2,18,10,8
33,家屋設計図:フローリストハウス,10,12922,29590,26528,2,18,10,8
34,家屋設計図:フォージハウス,10,12922,29590,26528,2,18,10,8
35,家屋設計図:カフェハウス,10,12922,29590,26528,2,18,10,8
36,家屋設計図:ジンジャーブレッドハウス,10,29590,37083,26528,2,18,10,8
37,家屋設計図:数寄屋造,10,29590,37083,26528,2,18,10,8
38,家屋設計図:カントリーハウス,10,29590,37083,26528,2,18,10,8
