#,Name,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,,0,0,0,0,1,0,0
1000,,,0,0,0,0,0,0
1001,木工コスモデータI,0,0,0,0,1,0,0
1002,木工コスモデータII,0,0,0,0,1,0,0
1003,木工コスモデータIII,0,0,0,0,1,0,0
1004,木工コスモデータIV,0,0,0,0,1,0,0
1005,鍛冶コスモデータI,0,0,0,0,1,0,0
1006,鍛冶コスモデータII,0,0,0,0,1,0,0
1007,鍛冶コスモデータIII,0,0,0,0,1,0,0
1008,鍛冶コスモデータIV,0,0,0,0,1,0,0
1009,甲冑コスモデータI,0,0,0,0,1,0,0
1010,甲冑コスモデータII,0,0,0,0,1,0,0
1011,甲冑コスモデータIII,0,0,0,0,1,0,0
1012,甲冑コスモデータIV,0,0,0,0,1,0,0
1013,彫金コスモデータI,0,0,0,0,1,0,0
1014,彫金コスモデータII,0,0,0,0,1,0,0
1015,彫金コスモデータIII,0,0,0,0,1,0,0
1016,彫金コスモデータIV,0,0,0,0,1,0,0
1017,革細工コスモデータI,0,0,0,0,1,0,0
1018,革細工コスモデータII,0,0,0,0,1,0,0
1019,革細工コスモデータIII,0,0,0,0,1,0,0
1020,革細工コスモデータIV,0,0,0,0,1,0,0
1021,裁縫コスモデータI,0,0,0,0,1,0,0
1022,裁縫コスモデータII,0,0,0,0,1,0,0
1023,裁縫コスモデータIII,0,0,0,0,1,0,0
1024,裁縫コスモデータIV,0,0,0,0,1,0,0
1025,錬金コスモデータI,0,0,0,0,1,0,0
1026,錬金コスモデータII,0,0,0,0,1,0,0
1027,錬金コスモデータIII,0,0,0,0,1,0,0
1028,錬金コスモデータIV,0,0,0,0,1,0,0
1029,調理コスモデータI,0,0,0,0,1,0,0
1030,調理コスモデータII,0,0,0,0,1,0,0
1031,調理コスモデータIII,0,0,0,0,1,0,0
1032,調理コスモデータIV,0,0,0,0,1,0,0
1033,採掘コスモデータI,0,0,0,0,1,0,0
1034,採掘コスモデータII,0,0,0,0,1,0,0
1035,採掘コスモデータIII,0,0,0,0,1,0,0
1036,採掘コスモデータIV,0,0,0,0,1,0,0
1037,園芸コスモデータI,0,0,0,0,1,0,0
1038,園芸コスモデータII,0,0,0,0,1,0,0
1039,園芸コスモデータIII,0,0,0,0,1,0,0
1040,園芸コスモデータIV,0,0,0,0,1,0,0
1041,漁師コスモデータI,0,0,0,0,1,0,0
1042,漁師コスモデータII,0,0,0,0,1,0,0
1043,漁師コスモデータIII,0,0,0,0,1,0,0
1044,漁師コスモデータIV,0,0,0,0,1,0,0
1045,木工コスモデータV,0,0,0,0,1,0,0
1046,鍛冶コスモデータV,0,0,0,0,1,0,0
1047,甲冑コスモデータV,0,0,0,0,1,0,0
1048,彫金コスモデータV,0,0,0,0,1,0,0
1049,革細工コスモデータV,0,0,0,0,1,0,0
1050,裁縫コスモデータV,0,0,0,0,1,0,0
1051,錬金コスモデータV,0,0,0,0,1,0,0
1052,調理コスモデータV,0,0,0,0,1,0,0
1053,採掘コスモデータV,0,0,0,0,1,0,0
1054,園芸コスモデータV,0,0,0,0,1,0,0
1055,漁師コスモデータV,0,0,0,0,1,0,0
1056,木工コスモデータVI,0,0,0,0,1,0,0
1057,鍛冶コスモデータVI,0,0,0,0,1,0,0
1058,甲冑コスモデータVI,0,0,0,0,1,0,0
1059,彫金コスモデータVI,0,0,0,0,1,0,0
1060,革細工コスモデータVI,0,0,0,0,1,0,0
1061,裁縫コスモデータVI,0,0,0,0,1,0,0
1062,錬金コスモデータVI,0,0,0,0,1,0,0
1063,調理コスモデータVI,0,0,0,0,1,0,0
1064,採掘コスモデータVI,0,0,0,0,1,0,0
1065,園芸コスモデータVI,0,0,0,0,1,0,0
1066,漁師コスモデータVI,0,0,0,0,1,0,0
2000,,,0,0,0,0,0,0
2001,木工初級計画貢献N-1,0,0,0,0,1,0,0
2002,木工初級計画貢献N-2,0,0,0,0,1,0,0
2003,木工初級計画貢献N-3,0,0,0,0,1,0,0
2004,木工初級計画貢献N-4,0,0,0,0,1,0,0
2005,木工初級計画貢献N-5,0,0,0,0,1,0,0
2006,木工初級計画貢献N-6,0,0,0,0,1,0,0
2007,木工初級計画貢献N-7,0,0,0,0,1,0,0
2008,木工初級計画貢献N-8,0,0,0,0,1,0,0
2009,鍛冶初級計画貢献N-1,0,0,0,0,1,0,0
2010,鍛冶初級計画貢献N-2,0,0,0,0,1,0,0
2011,鍛冶初級計画貢献N-3,0,0,0,0,1,0,0
2012,鍛冶初級計画貢献N-4,0,0,0,0,1,0,0
2013,鍛冶初級計画貢献N-5,0,0,0,0,1,0,0
2014,鍛冶初級計画貢献N-6,0,0,0,0,1,0,0
2015,鍛冶初級計画貢献N-7,0,0,0,0,1,0,0
2016,鍛冶初級計画貢献N-8,0,0,0,0,1,0,0
2017,甲冑初級計画貢献N-1,0,0,0,0,1,0,0
2018,甲冑初級計画貢献N-2,0,0,0,0,1,0,0
2019,甲冑初級計画貢献N-3,0,0,0,0,1,0,0
2020,甲冑初級計画貢献N-4,0,0,0,0,1,0,0
2021,甲冑初級計画貢献N-5,0,0,0,0,1,0,0
2022,甲冑初級計画貢献N-6,0,0,0,0,1,0,0
2023,甲冑初級計画貢献N-7,0,0,0,0,1,0,0
2024,甲冑初級計画貢献N-8,0,0,0,0,1,0,0
2025,彫金初級計画貢献N-1,0,0,0,0,1,0,0
2026,彫金初級計画貢献N-2,0,0,0,0,1,0,0
2027,彫金初級計画貢献N-3,0,0,0,0,1,0,0
2028,彫金初級計画貢献N-4,0,0,0,0,1,0,0
2029,彫金初級計画貢献N-5,0,0,0,0,1,0,0
2030,彫金初級計画貢献N-6,0,0,0,0,1,0,0
2031,彫金初級計画貢献N-7,0,0,0,0,1,0,0
2032,彫金初級計画貢献N-8,0,0,0,0,1,0,0
2033,革細工初級計画貢献N-1,0,0,0,0,1,0,0
2034,革細工初級計画貢献N-2,0,0,0,0,1,0,0
2035,革細工初級計画貢献N-3,0,0,0,0,1,0,0
2036,革細工初級計画貢献N-4,0,0,0,0,1,0,0
2037,革細工初級計画貢献N-5,0,0,0,0,1,0,0
2038,革細工初級計画貢献N-6,0,0,0,0,1,0,0
2039,革細工初級計画貢献N-7,0,0,0,0,1,0,0
2040,革細工初級計画貢献N-8,0,0,0,0,1,0,0
2041,裁縫初級計画貢献N-1,0,0,0,0,1,0,0
2042,裁縫初級計画貢献N-2,0,0,0,0,1,0,0
2043,裁縫初級計画貢献N-3,0,0,0,0,1,0,0
2044,裁縫初級計画貢献N-4,0,0,0,0,1,0,0
2045,裁縫初級計画貢献N-5,0,0,0,0,1,0,0
2046,裁縫初級計画貢献N-6,0,0,0,0,1,0,0
2047,裁縫初級計画貢献N-7,0,0,0,0,1,0,0
2048,裁縫初級計画貢献N-8,0,0,0,0,1,0,0
2049,錬金初級計画貢献N-1,0,0,0,0,1,0,0
2050,錬金初級計画貢献N-2,0,0,0,0,1,0,0
2051,錬金初級計画貢献N-3,0,0,0,0,1,0,0
2052,錬金初級計画貢献N-4,0,0,0,0,1,0,0
2053,錬金初級計画貢献N-5,0,0,0,0,1,0,0
2054,錬金初級計画貢献N-6,0,0,0,0,1,0,0
2055,錬金初級計画貢献N-7,0,0,0,0,1,0,0
2056,錬金初級計画貢献N-8,0,0,0,0,1,0,0
2057,調理初級計画貢献N-1,0,0,0,0,1,0,0
2058,調理初級計画貢献N-2,0,0,0,0,1,0,0
2059,調理初級計画貢献N-3,0,0,0,0,1,0,0
2060,調理初級計画貢献N-4,0,0,0,0,1,0,0
2061,調理初級計画貢献N-5,0,0,0,0,1,0,0
2062,調理初級計画貢献N-6,0,0,0,0,1,0,0
2063,調理初級計画貢献N-7,0,0,0,0,1,0,0
2064,調理初級計画貢献N-8,0,0,0,0,1,0,0
2065,採掘初級計画貢献N-1,0,0,0,0,1,0,0
2066,採掘初級計画貢献N-2,0,0,0,0,1,0,0
2067,採掘初級計画貢献N-3,0,0,0,0,1,0,0
2068,採掘初級計画貢献N-4,0,0,0,0,1,0,0
2069,採掘初級計画貢献N-5,0,0,0,0,1,0,0
2070,採掘初級計画貢献N-6,0,0,0,0,1,0,0
2071,採掘初級計画貢献N-7,0,0,0,0,1,0,0
2072,採掘初級計画貢献N-8,0,0,0,0,1,0,0
2073,園芸初級計画貢献N-1,0,0,0,0,1,0,0
2074,園芸初級計画貢献N-2,0,0,0,0,1,0,0
2075,園芸初級計画貢献N-3,0,0,0,0,1,0,0
2076,園芸初級計画貢献N-4,0,0,0,0,1,0,0
2077,園芸初級計画貢献N-5,0,0,0,0,1,0,0
2078,園芸初級計画貢献N-6,0,0,0,0,1,0,0
2079,園芸初級計画貢献N-7,0,0,0,0,1,0,0
2080,園芸初級計画貢献N-8,0,0,0,0,1,0,0
2081,漁師初級計画貢献N-1,0,0,0,0,1,0,0
2082,漁師初級計画貢献N-2,0,0,0,0,1,0,0
2083,漁師初級計画貢献N-3,0,0,0,0,1,0,0
2084,漁師初級計画貢献N-4,0,0,0,0,1,0,0
2085,漁師初級計画貢献N-5,0,0,0,0,1,0,0
2086,漁師初級計画貢献N-6,0,0,0,0,1,0,0
2087,漁師初級計画貢献N-7,0,0,0,0,1,0,0
2088,漁師初級計画貢献N-8,0,0,0,0,1,0,0
3000,,,0,0,0,0,0,0
3001,木工道具,0,0,0,0,1,0,0
3002,鍛冶道具,0,0,0,0,1,0,0
3003,甲冑道具,0,0,0,0,1,0,0
3004,彫金道具,0,0,0,0,1,0,0
3005,革細工道具,0,0,0,0,1,0,0
3006,裁縫道具,0,0,0,0,1,0,0
3007,錬金道具,0,0,0,0,1,0,0
3008,調理道具,0,0,0,0,1,0,0
3009,採掘道具,0,0,0,0,1,0,0
3010,園芸道具,0,0,0,0,1,0,0
3011,漁道具,0,0,0,0,1,0,0
4000,,,0,0,0,0,0,0
4001,CRP.DATA I,0,0,0,0,1,0,0
4002,CRP.DATA II,0,0,0,0,1,0,0
4003,CRP.DATA III,0,0,0,0,1,0,0
4004,CRP.DATA IV,0,0,0,0,1,0,0
4005,BSM.DATA I,0,0,0,0,1,0,0
4006,BSM.DATA II,0,0,0,0,1,0,0
4007,BSM.DATA III,0,0,0,0,1,0,0
4008,BSM.DATA IV,0,0,0,0,1,0,0
4009,ARM.DATA I,0,0,0,0,1,0,0
4010,ARM.DATA II,0,0,0,0,1,0,0
4011,ARM.DATA III,0,0,0,0,1,0,0
4012,ARM.DATA IV,0,0,0,0,1,0,0
4013,GSM.DATA I,0,0,0,0,1,0,0
4014,GSM.DATA II,0,0,0,0,1,0,0
4015,GSM.DATA III,0,0,0,0,1,0,0
4016,GSM.DATA IV,0,0,0,0,1,0,0
4017,LTW.DATA I,0,0,0,0,1,0,0
4018,LTW.DATA II,0,0,0,0,1,0,0
4019,LTW.DATA III,0,0,0,0,1,0,0
4020,LTW.DATA IV,0,0,0,0,1,0,0
4021,WVR.DATA I,0,0,0,0,1,0,0
