#,LogMessage,ExtendedQuestCounter,DetailText,ContentFinderCondition,TerritoryType,Unknown5
0.0,0,0,0,0,0,0
1.0,11023,40,0,0,1187,4505
1.1,11023,41,1,0,1187,4505
1.2,11023,42,2,0,1187,4505
1.3,11023,43,3,0,1187,4505
1.4,11025,64,4,0,1187,4505
1.5,11023,44,5,0,1188,4506
1.6,11023,45,6,0,1188,4506
1.7,11023,46,7,0,1188,4506
1.8,11023,47,8,0,1188,4506
1.9,11025,65,9,0,1188,4506
1.10,11023,48,10,0,1189,4507
1.11,11023,49,11,0,1189,4507
1.12,11023,50,12,0,1189,4507
1.13,11023,51,13,0,1189,4507
1.14,11025,66,14,0,1189,4507
2.0,11023,52,15,0,1190,4508
2.1,11023,53,16,0,1190,4508
2.2,11023,54,17,0,1190,4508
2.3,11023,55,18,0,1190,4508
2.4,11025,67,19,0,1190,4508
2.5,11023,56,20,0,1191,4509
2.6,11023,57,21,0,1191,4509
2.7,11023,58,22,0,1191,4509
2.8,11023,59,23,0,1191,4509
2.9,11025,68,24,0,1191,4509
3.0,11023,60,25,0,1192,4510
3.1,11023,61,26,0,1192,4510
3.2,11023,62,27,0,1192,4510
3.3,11023,63,28,0,1192,4510
3.4,11025,69,29,0,1192,4510
4.0,11024,5,30,826,0,0
4.1,11024,6,31,824,0,0
4.2,11024,7,32,829,0,0
4.3,11024,8,33,831,0,0
4.4,11024,9,34,825,0,0
5.0,11024,10,35,827,0,0
5.1,11024,11,36,834,0,0
5.2,11024,12,37,981,0,0
5.3,11024,13,38,1008,0,0
5.4,11024,14,39,1027,0,0
5.5,11024,15,40,1028,0,0
5.6,11024,16,41,1064,0,0
5.7,11024,17,42,1011,0,0
6.0,11024,18,43,1015,0,0
6.1,11024,19,44,1058,0,0
6.2,11024,20,45,1117,0,0
7.0,11024,21,46,832,0,0
7.1,11024,22,47,995,0,0
7.2,11024,23,48,984,0,0
7.3,11024,24,49,1030,0,0
7.4,11024,25,50,1061,0,0
7.5,11024,26,51,1076,0,0
7.6,11024,27,52,1115,0,0
8.0,11024,28,53,985,0,0
8.1,11024,29,54,987,0,0
8.2,11024,30,55,989,0,0
8.3,11024,31,56,991,0,0
8.4,11024,32,57,1019,0,0
8.5,11024,33,58,1021,0,0
8.6,11024,34,59,1023,0,0
8.7,11024,35,60,1025,0,0
8.8,11024,36,61,1068,0,0
8.9,11024,37,62,1070,0,0
8.10,11024,38,63,1072,0,0
8.11,11024,39,64,1074,0,0
