#,Text[0],Text[1],Text[2],Image,Type,IconType,TextType
0,,,,0,0,0,0
1,,,,150011,0,0,0
2,,,,150012,0,0,0
3,,,,0,0,0,0
4,,,,0,0,0,0
5,"頭上に**「クエストアイコン」**がついているキャラクターを**「右クリック」**すると、
クエストが始まります。

リスフローを右クリックし、
クエストを始めてみましょう。","頭上に**「クエストアイコン」**がついているキャラクターを**「右クリック」**すると、
クエストが始まります。

ベルテナンを右クリックし、
クエストを始めてみましょう。","頭上に**「クエストアイコン」**がついているキャラクターを**「右クリック」**すると、
クエストが始まります。

ワイモンドを右クリックし、
クエストを始めてみましょう。",150021,1,1,1
6,"頭上に**「クエストアイコン」**がついているキャラクターを選択すると、
クエストが開始されます。

リスフローを選択して、
クエストを始めましょう。","頭上に**「クエストアイコン」**がついているキャラクターを選択すると、
クエストが開始されます。

ベルテナンを選択して、
クエストを始めましょう。","頭上に**「クエストアイコン」**がついているキャラクターを選択すると、
クエストが開始されます。

ワイモンドを選択して、
クエストを始めましょう。",150022,1,1,1
7,,,,0,0,0,0
8,,,,0,0,0,0
9,,,,0,0,0,0
10,"クエストの受注画面が表示されました。

受注画面には、クエストの概要や報酬が
表示されています。

**「受注」**ボタンをクリックして、
クエストを受注してみましょう。",,,150121,1,1,0
11,"クエストの受注画面が表示されました。

受注画面には、クエストの概要や報酬が
表示されています。

**「受注」**ボタンを押して、
クエストを受注してみましょう。",,,150121,1,1,0
12,,,,0,0,0,0
13,,,,0,0,0,0
14,,,,0,0,0,0
15,"クエストの目的をすべて達成すると、
経験値やギルなどの**「報酬」**を
受け取ることができます。

さっそくバデロンに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの**「報酬」**を
受け取ることができます。

さっそくミューヌに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの**「報酬」**を
受け取ることができます。

さっそくモモディに話しかけて、
クエストをコンプリートしてみましょう。",150811,1,1,1
16,"クエストの目的をすべて達成すると、
経験値やギルなどの**「報酬」**を
受け取ることができます。

さっそくバデロンに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの**「報酬」**を
受け取ることができます。

さっそくミューヌに話しかけて、
クエストをコンプリートしてみましょう。","クエストの目的をすべて達成すると、
経験値やギルなどの**「報酬」**を
受け取ることができます。

さっそくモモディに話しかけて、
クエストをコンプリートしてみましょう。",150812,1,1,1
17,,,,0,0,0,0
18,,,,0,0,0,0
19,,,,0,0,0,0
20,"**「メインコマンド」**には、ゲームプレイに
必要となる代表的な機能が並んでいます。

装備やステータスを確認できる
**「マイキャラクター」**や、
クエストに関する情報を確認できる
**「ジャーナル」**など、様々な機能が
あります。

　　　　　　　　　　　次のページヘ》",,,150141,1,0,0
21,"**「システムメニュー」**には、キーボードの
割り当てを変更する**「キーバインド」**や
操作タイプやカメラなどが調整できる
**「キャラクターコンフィグ」**などが
あります。

一度見た**HowTo**を確認したい場合は、
**「HowToリストを開く」**を選択すると、
リストで確認することができます。
　　　　　　　　　　　次のページヘ》",,,150142,1,0,0
22,"ゲームの進行は自動的に保存されます。

ゲームを終了したい時は、
**「ゲームを終了する」**を選択します。

その他にもメインコマンドには様々な
機能があります。",,,150143,1,0,0
23,,,,0,0,0,0
24,,,,0,0,0,0
25,"**「デジョン」**とは、**「ホームポイント」**に
帰投するための魔法です。

「デジョン」を実行するには、
メインコマンドの**「マップ＆トラベル」**から
**「デジョン」**をクリックします。

**※デジョンは地球時間の15分に1回のみ
　使用できます。**
　　　　　　　　　　　次のページヘ》",,,150131,1,0,0
26,"**ホームポイントの登録**は、
エーテライト**1ヶ所**にのみ登録ができます。

エーテライトを**「右クリック」**することで、
ホームポイントの設定が可能です。

利用頻度の高い街などを
登録しておくと良いでしょう。",,,150132,1,0,0
27,"**「デジョン」**とは、**「ホームポイント」**に
帰投するための魔法です。

「デジョン」を実行するには、
メインコマンドの**「マップ＆トラベル」**から
**「デジョン」**を選択します。

**※デジョンは地球時間の15分に1回のみ
　使用できます**
　　　　　　　　　　　次のページヘ》",,,150131,1,0,0
28,"**ホームポイントの登録**は、
エーテライト**1ヶ所**にのみ登録ができます。

エーテライトをターゲットすることで、
ホームポイントの設定が可能です。

利用頻度の高い街などを
登録しておくと良いでしょう。",,,150133,1,0,0
29,,,,0,0,0,0
30,"進行中のクエストがある場合、クエストの
目的地や対象がマップに表示されます。

マップを表示するには、
メインコマンドの**「マップ＆トラベル」**から
**「マップ」**をクリック、または【Ｍ】キーを
押下します。


　　　　　　　　　　　次のページヘ》",,,150041,1,1,0
31,"特定のクエストの目的地を探したい場合、
**「目的リスト」**に表示されている
**「現在の目的」**をクリックすると、
目的地のマップが表示されます。

マップ上に示された目的地へ向かい、
クエストを進めましょう。",,,150042,1,1,0
32,"進行中のクエストがある場合、クエストの
目的地や対象がマップに表示されます。

マップを表示するには、
メインコマンドの**「マップ＆トラベル」**から
**「マップ」**を選択します。



　　　　　　　　　　　次のページヘ》",,,150041,1,1,0
33,"特定のクエストの目的地を探したい場合、
**「目的リスト」**に表示されている
**「現在の目的」**を選択すると、
目的地のマップが表示されます。

マップ上に示された目的地へ向かい、
クエストを進めましょう。",,,150042,1,1,0
34,,,,0,0,0,0
35,"現在の装備品は**「キャラクター」**から
確認することができます。

「キャラクター」を表示するには、
メインコマンドから**「マイキャラクター」**を
選択するか、【Ｃ】キーを押下します。



　　　　　　　　　　　次のページヘ》",,,150181,1,0,0
36,"装備の変更も**「キャラクター」**から
行います。

装備欄から変更したい部位を選択すると
**「アーマリーチェスト」**が表示されます。
装備したい装備品を選択すると
その装備品に変更できます。",,,150182,1,0,0
37,"現在の装備品は**「キャラクター」**から
確認することができます。

「キャラクター」を表示するには、
メインコマンドから**「マイキャラクター」**を
選択します。



　　　　　　　　　　　次のページヘ》",,,150181,1,0,0
38,,,,0,0,0,0
39,,,,0,0,0,0
40,"**「レターモーグリ」**または
家具**「モグレターポスト」**に話しかけると
**「モグレター」**を利用できます。

モグレターを利用すると、
フレンドリストに登録しているフレンドと
手紙のやり取りを行えます。


　　　　　　　　　　　次のページヘ》",,,150221,1,0,0
41,"**「レター作成」**をクリックすると
**「モグレターエディター」**が表示されます。
モグレターエディターではフレンドへの
手紙を作成することができます。

モグレターは本文の他に、**アイテム**や
**ギル**を添付して送ることが可能です。",,,150222,1,0,0
