#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2000,鉱物伝承録:クルザス,0,12238,2000,1,16,0
2001,鉱物伝承録:クルザス,0,12238,2000,1,16,0
2002,草木伝承録:クルザス,0,12698,2000,2,17,0
2003,草木伝承録:クルザス,0,12698,2000,2,17,0
2004,鉱物伝承録:ドラヴァニア,1,12239,2001,1,16,0
2005,鉱物伝承録:ドラヴァニア,1,12239,2001,1,16,0
2006,草木伝承録:ドラヴァニア,1,12699,2001,2,17,0
2007,草木伝承録:ドラヴァニア,1,12699,2001,2,17,0
2008,鉱物伝承録:アバラシア,2,12240,2002,1,16,0
2009,鉱物伝承録:アバラシア,2,12240,2002,1,16,0
2010,草木伝承録:アバラシア,2,12700,2002,2,17,0
2011,草木伝承録:アバラシア,2,12700,2002,2,17,0
2012,鉱物伝承録:ギラバニア,3,17838,2003,1,16,0
2013,鉱物伝承録:ギラバニア,3,17838,2003,1,16,0
2014,草木伝承録:ギラバニア,3,17840,2003,2,17,0
2015,草木伝承録:ギラバニア,3,17840,2003,2,17,0
2016,鉱物伝承録:オサード,4,17839,2004,1,16,0
2017,鉱物伝承録:オサード,4,17839,2004,1,16,0
2018,草木伝承録:オサード,4,17841,2004,2,17,0
2019,草木伝承録:オサード,4,17841,2004,2,17,0
2020,鉱物伝承録:ノルヴラント,5,26808,2005,1,16,0
2021,鉱物伝承録:ノルヴラント,5,26808,2005,1,16,0
2022,草木伝承録:ノルヴラント,5,26809,2005,2,17,0
2023,草木伝承録:ノルヴラント,5,26809,2005,2,17,0
2024,鉱物伝承録:北洋地域・イルサバード,6,36598,2010,1,16,0
2025,鉱物伝承録:北洋地域・イルサバード,6,36598,2010,1,16,0
2026,草木伝承録:北洋地域・イルサバード,6,36602,2010,2,17,0
2027,草木伝承録:北洋地域・イルサバード,6,36602,2010,2,17,0
2028,鉱物伝承録:星外宙域,7,36600,2011,1,16,0
2029,鉱物伝承録:星外宙域,7,36600,2011,1,16,0
2030,草木伝承録:星外宙域,7,36604,2011,2,17,0
2031,草木伝承録:星外宙域,7,36604,2011,2,17,0
2032,鉱物伝承録:古代世界,8,36601,2012,1,16,0
2033,鉱物伝承録:古代世界,8,36601,2012,1,16,0
2034,草木伝承録:古代世界,8,36605,2012,2,17,0
2035,草木伝承録:古代世界,8,36605,2012,2,17,0
2036,鉱物伝承録:ヨカ・トラル,9,43878,2015,1,16,0
2037,鉱物伝承録:ヨカ・トラル,9,43878,2015,1,16,0
2038,草木伝承録:ヨカ・トラル,9,43881,2015,2,17,0
2039,草木伝承録:ヨカ・トラル,9,43881,2015,2,17,0
2040,鉱物伝承録:サカ・トラル（シャーローニ荒野）,10,43879,2016,1,16,0
2041,鉱物伝承録:サカ・トラル（シャーローニ荒野）,10,43879,2016,1,16,0
2042,草木伝承録:サカ・トラル（シャーローニ荒野）,10,43882,2016,2,17,0
2043,草木伝承録:サカ・トラル（シャーローニ荒野）,10,43882,2016,2,17,0
2044,鉱物伝承録:アレクサンドリア,11,43880,2017,1,16,0
2045,鉱物伝承録:アレクサンドリア,11,43880,2017,1,16,0
2046,草木伝承録:アレクサンドリア,11,43883,2017,2,17,0
2047,草木伝承録:アレクサンドリア,11,43883,2017,2,17,0
2200,イシュガルド復興：鉱物資源,74,0,2006,1,16,2
2201,イシュガルド復興：鉱物資源,74,0,2006,1,16,2
2202,イシュガルド復興：草木資源,74,0,2006,2,17,2
2203,イシュガルド復興：草木資源,74,0,2006,2,17,2
2204,イシュガルド復興：鉱物資源,74,0,2006,1,16,3
2205,イシュガルド復興：鉱物資源,74,0,2006,1,16,3
2206,イシュガルド復興：草木資源,74,0,2006,2,17,3
2207,イシュガルド復興：草木資源,74,0,2006,2,17,3
2208,スカイスチールツール：鉱物資源（その1）,69384,0,2007,1,16,0
2209,スカイスチールツール：鉱物資源（その1）,69384,0,2007,1,16,0
2210,スカイスチールツール：草木資源（その1）,69384,0,2007,2,17,0
2211,スカイスチールツール：草木資源（その1）,69384,0,2007,2,17,0
2212,イシュガルド復興：鉱物資源,74,0,2006,1,16,4
2213,イシュガルド復興：鉱物資源,74,0,2006,1,16,4
2214,イシュガルド復興：草木資源,74,0,2006,2,17,4
2215,イシュガルド復興：草木資源,74,0,2006,2,17,4
2216,スカイスチールツール：鉱物資源（その2）,69428,0,2007,1,16,0
2217,,69428,0,0,1,16,0
2218,スカイスチールツール：草木資源（その2）,69428,0,2007,2,17,0
2219,,69428,0,0,2,17,0
2220,Lv51～,67631,0,2008,1,16,0
2221,Lv51～,67631,0,2008,1,16,0
2222,Lv51～,67631,0,2008,2,17,0
2223,Lv51～,67631,0,2008,2,17,0
