#,InlineName,Name,Color,Item[0],Item[1],Shade,SubOrder,IsMetallic,IsHousingApplicable
0,,染色無し,0,5728,0,2,1,False,True
1,スノウホワイト,スノウホワイト,14999504,52254,0,2,2,False,True
2,アッシュグレイ,アッシュグレイ,11315362,52254,0,2,3,False,True
3,グゥーブーグレイ,グゥーブーグレイ,9013124,52254,0,2,4,False,True
4,スレートグレイ,スレートグレイ,6645093,52254,0,2,5,False,True
5,チャコールグレイ,チャコールグレイ,4736834,52254,0,2,6,False,True
6,スートブラック,スートブラック,2828579,52254,0,2,7,False,True
7,ローズピンク,ローズピンク,15114134,52254,0,4,1,False,True
8,ライラックパープル,ライラックパープル,8612201,52254,0,4,2,False,True
9,ロランベリーレッド,ロランベリーレッド,5969705,52254,0,4,3,False,True
10,ダラガブレッド,ダラガブレッド,7871002,52254,0,4,4,False,True
11,ラストレッド,ラストレッド,6431239,52254,0,4,5,False,True
12,ワインレッド,ワインレッド,4527377,52254,0,4,6,False,True
13,コーラルピンク,コーラルピンク,13397086,52254,0,4,7,False,True
14,ブラッドレッド,ブラッドレッド,9517863,52254,0,4,8,False,True
15,サーモンピンク,サーモンピンク,14985866,52254,0,4,9,False,True
16,サンセットオレンジ,サンセットオレンジ,12016685,52254,0,5,1,False,True
17,メサレッド,メサレッド,8206598,52254,0,5,2,False,True
18,バークブラウン,バークブラウン,6966071,52254,0,5,3,False,True
19,チョコレートブラウン,チョコレートブラウン,7224612,52254,0,5,4,False,True
20,ラセットブラウン,ラセットブラウン,5188895,52254,0,5,5,False,True
21,コボルドブラウン,コボルドブラウン,3154203,52254,0,5,6,False,True
22,コルクブラウン,コルクブラウン,13209942,52254,0,5,7,False,True
23,キキルンブラウン,キキルンブラウン,10055231,52254,0,5,8,False,True
24,オポオポブラウン,オポオポブラウン,8084525,52254,0,5,9,False,True
25,アルドゴートブラウン,アルドゴートブラウン,10651484,52254,0,5,10,False,True
26,パンプキンオレンジ,パンプキンオレンジ,12940324,52254,0,5,11,False,True
27,エーコンブラウン,エーコンブラウン,9328667,52254,0,5,12,False,True
28,オーチャードブラウン,オーチャードブラウン,6570518,52254,0,5,13,False,True
29,チェスナットブラウン,チェスナットブラウン,4008205,52254,0,5,14,False,True
30,ゴブリンブラウン,ゴブリンブラウン,12166281,52254,0,5,15,False,True
31,シェールブラウン,シェールブラウン,9601388,52254,0,5,16,False,True
32,モールブラウン,モールブラウン,6378053,52254,0,5,17,False,True
33,ロームブラウン,ロームブラウン,4141865,52254,0,5,18,False,True
34,ボーンホワイト,ボーンホワイト,15455136,52254,0,6,1,False,True
35,ウルダハンブラウン,ウルダハンブラウン,12034928,52254,0,6,2,False,True
36,チョコボイエロー,デザートイエロー,14398551,52254,0,6,3,False,True
37,ハニーイエロー,ハニーイエロー,16434731,52254,0,6,4,False,True
38,ミリオンコーンイエロー,ミリオンコーンイエロー,14982708,52254,0,6,5,False,True
39,クァールイエロー,クァールイエロー,12355588,52254,0,6,6,False,True
40,クリームイエロー,クリームイエロー,15914864,52254,0,6,7,False,True
41,ハラタリイエロー,ハラタリイエロー,10847280,52254,0,6,8,False,True
42,レーズンブラウン,レーズンブラウン,4207377,52254,0,6,9,False,True
43,マッドグリーン,マッドグリーン,5788208,52254,0,7,1,False,True
44,シルフグリーン,シルフグリーン,12303242,52254,0,7,2,False,True
45,ライムグリーン,ライムグリーン,11251796,52254,0,7,3,False,True
46,モスグリーン,モスグリーン,7369510,52254,0,7,4,False,True
47,メドウグリーン,メドウグリーン,9149539,52254,0,7,5,False,True
48,オリーヴグリーン,オリーヴグリーン,4936242,52254,0,7,6,False,True
49,マーシュグリーン,マーシュグリーン,3290657,52254,0,7,7,False,True
50,アップルグリーン,アップルグリーン,10204003,52254,0,7,8,False,True
51,サボテンダーグリーン,サボテンダーグリーン,6652481,52254,0,7,9,False,True
52,ハンターグリーン,ハンターグリーン,2640684,52254,0,7,10,False,True
53,オチューグリーン,オチューグリーン,4219705,52254,0,7,11,False,True
54,アダマンタスグリーン,アダマンタスグリーン,6255960,52254,0,7,12,False,True
55,ノフィカグリーン,ノフィカグリーン,3886396,52254,0,7,13,False,True
56,ディープウッドグリーン,ディープウッドグリーン,1976865,52254,0,7,14,False,True
57,セレストグリーン,セレストグリーン,9878969,52254,0,7,15,False,True
58,ターコイズグリーン,ターコイズグリーン,4420210,52254,0,7,16,False,True
59,モルボルグリーン,モルボルグリーン,2049606,52254,0,7,17,False,True
60,アイスブルー,アイスブルー,11715790,52254,0,8,1,False,True
61,スカイブルー,スカイブルー,8630482,52254,0,8,2,False,True
62,シーフォグブルー,シーフォグブルー,6586784,52254,0,8,3,False,True
63,ピーコックブルー,ピーコックブルー,3893382,52254,0,8,4,False,True
64,ロータノブルー,ロータノブルー,1850708,52254,0,8,5,False,True
65,コープスブルー,コープスブルー,9345964,52254,0,8,6,False,True
66,セルレアムブルー,セルレアムブルー,5199718,52254,0,8,7,False,True
67,ウォードブルー,ウォードブルー,3094609,52254,0,8,8,False,True
68,インクブルー,インクブルー,1711911,52254,0,8,9,False,True
69,ラプトルブルー,ラプトルブルー,5996480,52254,0,8,10,False,True
70,オサードブルー,オサードブルー,3102857,52254,0,8,11,False,True
71,ストームブルー,ストームブルー,2310514,52254,0,8,12,False,True
72,ヴォイドブルー,ヴォイドブルー,1124676,52254,0,8,13,False,True
73,ロイヤルブルー,ロイヤルブルー,2568295,52254,0,8,14,False,True
74,ミッドナイトブルー,ミッドナイトブルー,1579319,52254,0,8,15,False,True
75,シャドウブルー,シャドウブルー,3618631,52254,0,8,16,False,True
76,アビサルブルー,アビサルブルー,3222871,52254,0,8,17,False,True
77,ラベンダーブルー,ラベンダーブルー,8880046,52254,0,9,1,False,True
78,グルームパープル,グルームパープル,5326176,52254,0,9,2,False,True
79,カラントパープル,カラントパープル,3288123,52254,0,9,3,False,True
80,アイリスパープル,アイリスパープル,12033724,52254,0,9,4,False,True
81,グレープパープル,グレープパープル,3877437,52254,0,9,5,False,True
82,ロータスピンク,ロータスピンク,16699125,52254,0,9,6,False,True
83,コリブリピンク,コリブリピンク,14457802,52254,0,9,7,False,True
84,プラムパープル,プラムパープル,7950956,52254,0,9,8,False,True
85,リーガルパープル,リーガルパープル,6697038,52254,0,9,9,False,True
86,ルビーレッド,ルビーレッド,14942225,52255,0,4,10,False,True
87,チェリーピンク,チェリーピンク,16070555,52255,0,4,11,False,True
88,カナリーイエロー,カナリーイエロー,16709732,52255,0,6,10,False,True
89,バニライエロー,バニライエロー,16511412,52255,0,6,11,False,True
90,ドラグーンブルー,ドラグーンブルー,3746,52255,0,8,18,False,True
