#,Name,Description,Icon
0,,,0
1,魔法効果：暗闇,味方全員の命中率が低下。,216801
2,魔法効果：最大ＨＰ低下,味方全員の最大ＨＰが低下。,216802
3,魔法効果：ダメージ低下,味方全員の与ダメージが低下。,216803
4,魔法効果：アビリティ使用不可,味方全員がアビリティ使用不可。,216804
5,魔法効果：ヘイスト,味方全員のオートアタックの攻撃間隔とウェポンスキル、および魔法のリキャストタイムが短縮。,216805
6,魔法効果：最大ＨＰ／ＭＰ上昇,味方全員の最大ＨＰと最大ＭＰが上昇。,216806
7,魔法効果：アイテム禁止,味方全員がアイテム、および特定の特殊アイテム使用不可。,216807
8,魔法効果：スプリント禁止,味方全員がスプリント使用不可。,216808
9,魔法効果：ノックバック禁止,敵味方問わず、ノックバック、および引き寄せ効果が無効。,216809
10,魔法効果：ＨＰ自然回復禁止,味方全員のＨＰ自然回復が無効。,216810
11,魔法効果：妖霧,妖霧に包まれた状態。すべての敵の与ダメージと移動速度が上昇し、被ダメージが低下。,216811
12,魔法効果：スプリント,味方全員の移動速度が上昇。,216812
13,魔法効果：魔石禁止,味方全員が魔石使用不可。,216813
14,魔法効果：デミクローン禁止,味方全員がデミクローン使用不可。,216814
15,魔法効果：ジュニパーの香禁止,味方全員がジュニパーの香使用不可。,216815
