#,HyurMidlanderMaleScale,HyurMidlanderFemaleScale,HyurHighlanderMaleScale,HyurHighlanderFemaleScale,ElezenMaleScale,ElezenFemaleScale,LalaMaleScale,LalaFemaleScale,MiqoMaleScale,MiqoFemaleScale,RoeMaleScale,RoeFemaleScale,AuRaMaleScale,AuRaFemaleScale,HrothgarMaleScale,HrothgarFemaleScale,VieraMaleScale,VieraFemaleScale,HyurMidlanderMaleCameraHeight,HyurMidlanderFemaleCameraHeight,HyurHighlanderMaleCameraHeight,HyurHighlanderFemaleCameraHeight,ElezenMaleCameraHeight,ElezenFemaleCameraHeight,LalaMaleCameraHeight,LalaFemaleCameraHeight,MiqoMaleCameraHeight,MiqoFemaleCameraHeight,RoeMaleCameraHeight,RoeFemaleCameraHeight,AuRaMaleCameraHeight,AuRaFemaleCameraHeight,HrothgarMaleCameraHeight,HrothgarFemaleCameraHeight,VieraMaleCameraHeight,VieraFemaleCameraHeight,Unknown0,Unknown1,Unknown_70_1,Unknown_70_2,Unknown2,Unknown3,Unknown4
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
1,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
2,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
3,100,90,100,90,105,100,60,60,90,85,110,110,110,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
4,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
5,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
6,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
7,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
8,60,50,60,50,63,56,25,25,54,47,66,62,64,46,61,56,60,60,100,100,100,80,80,100,100,80,80,100,100,80,80,80,80,80,80,100,100,80,100,100,100,100,False
9,80,72,80,72,84,80,50,50,72,68,88,88,86,66,81,80,80,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
10,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
11,145,130,145,130,150,145,87,87,130,123,160,160,156,119,148,145,145,155,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
12,100,90,100,90,105,100,60,60,90,85,110,110,110,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
13,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
14,100,90,100,90,105,100,60,60,90,85,110,110,108,82,102,100,100,107,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
15,50,45,50,45,52,50,30,30,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
16,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
17,50,45,50,45,52,50,30,30,45,42,55,55,54,41,51,50,50,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,False
