#,Text,Unknown6,BalloonTime,Unknown0,Unknown7,Unknown8,OutputType,Unknown_70,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,IsBalloonSlow,BattleTalkTime
0,0,0,1,0,0,0,1,0,1,25,False,False,False,False,False
1,NpcYellテストテキスト[1],0,1,0,0,0,3,0,1,25,False,False,False,False,False
2,おーい、誰か手伝ってくれ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
3,気をつけろ！　魔物が来るぞ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
4,インプが来るぞ！　逃がすな！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
5,くそっ、数が多すぎる！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
6,魔物がもうそこまで来てるわ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
7,シルフ族が来るぞ！　警戒を！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
8,魔物が増えてきた、注意しろ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
9,ここの治安は我々が守る！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
10,賊どもを調子に乗らせるな！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
11,オポオポが豆を狙ってるぞ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
12,イクサル族が攻めてきたぞ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
13,あれは……ジズか！？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
14,またきやがったか！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
15,魔物が騒がしい、気をつけろ,0,5,0,0,0,3,0,1,25,False,False,False,False,False
16,クッ……アレを使うしか……！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
17,殺れっ！　シュレッダー！！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
18,誰か我々に協力してくれぬか？,0,5,0,0,0,3,0,1,25,False,False,False,False,False
19,誰か！　私を手伝え！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
20,おお、ゴーレムがこんなに！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
21,インプめ、また現れたな！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
22,また花が食べられてる……,0,5,0,0,0,3,0,1,25,False,False,False,False,False
23,イクサル族が来るぞ！　迎撃！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
24,だ、誰か！　手を貸してくれ！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
25,では、いきます！,0,5,0,0,0,3,0,1,25,False,False,False,False,False
26,うおおー！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
27,このっ！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
28,倒れろっ！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
29,くらえっ！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
30,まだまだ！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
31,こしゃくな！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
32,どうだ！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
33,これくらいっ！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
34,ヒャッハーー！！,0,5,0,0,0,2,0,1,25,False,False,False,False,False
