#,Name,AchievementKind,Order,ShowComplete,HideCategory
0,,0,0,True,False
1,全般,1,1,True,False
2,ダンジョン,1,2,True,False
3,討伐・討滅戦,1,3,True,False
4,レイド,1,4,True,False
5,モブハント,1,5,True,False
6,トレジャーハント,1,6,True,False
7,全般,2,1,True,False
8,ランキング,2,2,True,True
9,コロセウム,2,3,True,False
10,フロントライン,2,4,True,False
11,ライバルウィングズ,2,5,True,False
12,全般,3,1,True,False
13,ファイター,3,2,True,False
14,ソーサラー,3,3,True,False
15,クラフター,3,4,True,False
16,ギャザラー,3,5,True,False
17,MIP,3,6,True,False
18,ゴールドソーサー,3,7,True,False
19,全般,4,1,True,False
20,通貨,4,2,True,False
21,分解,4,3,True,False
22,収集品,4,4,True,False
23,マテリア,4,5,True,False
24,木工師,5,2,True,False
25,鍛冶師,5,3,True,False
26,甲冑師,5,4,True,False
27,彫金師,5,5,True,False
28,革細工師,5,6,True,False
29,裁縫師,5,7,True,False
30,錬金術師,5,8,True,False
31,調理師,5,9,True,False
32,採掘師,5,10,True,False
33,園芸師,5,11,True,False
34,漁師,5,12,True,False
35,全般,8,1,True,False
36,リーヴ,8,4,True,False
37,友好部族クエスト,8,5,True,False
38,シーズナルイベント,8,99,True,True
39,探検手帳,11,1,True,False
40,ラノシア,11,2,True,False
41,黒衣森,11,3,True,False
42,ザナラーン,11,4,True,False
43,クルザス,11,5,True,False
44,モードゥナ,11,6,True,False
45,アバラシア,11,7,True,False
46,ドラヴァニア,11,8,True,False
47,ギラバニア,11,9,True,False
48,オサード,11,10,True,False
49,コンテンツ,11,100,True,False
50,全般,12,1,True,False
51,黒渦団,12,2,True,False
52,双蛇党,12,3,True,False
53,不滅隊,12,4,True,False
54,バトル,13,1,True,False
55,通貨,13,2,True,False
56,採集,13,3,True,False
57,クエスト,13,4,True,False
58,シーズナルイベント,13,5,True,False
59,ダンジョン,13,6,True,False
60,探検,13,7,True,False
61,グランドカンパニー,13,8,True,False
62,古の武器,4,6,True,False
63,ゾディアックウェポン,4,7,True,False
64,アニマウェポン,4,8,True,False
65,ディープダンジョン魔器,4,9,True,False
66,エウレカウェポン,4,10,True,False
67,ノルヴラント,11,11,True,False
68,レジスタンス・ウェポン,4,11,True,False
69,全クラス共通,5,1,True,False
70,スカイスチールツール,4,51,True,False
71,特殊フィールド探索,1,7,True,False
72,北洋地域,11,12,True,False
73,イルサバード大陸,11,13,True,False
74,その他,11,99,True,False
75,マンダヴィルウェポン,4,12,True,False
76,メインクエスト,8,2,True,False
77,ジョブ／ロールクエスト,8,3,True,False
78,モーエンツール,4,52,True,False
79,ヨカ・トラル,11,14,True,False
80,サカ・トラル,11,15,True,False
81,ファントムウェポン,4,13,True,False
82,コスモツール,4,53,True,False
