#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0.0,0,0,0,0,0,0,0,0
1.0,0,0,1,2,0,0,1,0
1.1,80,0,0,0,0,0,3,0
1.2,0,0,3,5,0,0,1,0
1.3,0,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0,0
2.0,0,0,6,7,0,0,1,0
2.1,60,0,0,0,0,0,3,0
2.2,0,0,10,11,9,0,1,0
2.3,30,0,0,0,0,0,3,0
2.4,0,0,111,13,0,0,1,0
2.5,0,0,0,0,0,0,0,0
2.6,0,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0
3.0,2,0,16,17,18,19,2,0
3.1,10,0,0,0,0,0,3,0
3.2,0,0,112,0,0,0,1,0
3.3,0,0,32,113,0,0,1,0
3.4,10,0,0,0,0,0,3,0
3.5,1,0,20,21,22,23,2,0
3.6,0,0,24,25,0,0,1,0
3.7,80,0,0,0,0,0,3,0
3.8,0,0,131,132,0,0,1,0
3.9,1,0,36,37,38,0,2,0
3.10,10,0,0,0,0,0,3,0
3.11,1,0,115,116,0,0,2,0
3.12,0,0,0,0,0,0,0,0
3.13,0,0,0,0,0,0,0,0
3.14,0,0,0,0,0,0,0,0
3.15,0,0,0,0,0,0,0,0
3.16,0,0,0,0,0,0,0,0
3.17,0,0,0,0,0,0,0,0
3.18,0,0,0,0,0,0,0,0
3.19,0,0,0,0,0,0,0,0
3.20,0,0,0,0,0,0,0,0
4.0,0,0,41,42,43,0,1,0
4.1,10,0,0,0,0,0,3,0
4.2,2,0,44,45,46,0,2,0
4.3,2,0,105,106,107,108,2,0
4.4,10,0,0,0,0,0,3,0
4.5,0,0,117,118,0,0,1,0
4.6,60,0,0,0,0,0,3,0
4.7,0,0,119,120,133,109,1,0
4.8,10,0,0,0,0,0,3,0
4.9,0,0,47,48,49,50,1,0
4.10,0,0,0,0,0,0,0,0
4.11,0,0,0,0,0,0,0,0
4.12,0,0,0,0,0,0,0,0
5.0,30,0,0,0,0,0,3,0
5.1,0,0,51,53,0,0,1,1
5.2,10,0,0,0,0,0,3,0
5.3,0,0,59,57,63,0,1,1
5.4,30,0,0,0,0,0,3,0
5.5,0,0,52,56,78,0,1,1
5.6,30,0,0,0,0,0,3,0
5.7,0,0,62,64,70,79,1,1
5.8,20,0,0,0,0,0,3,0
5.9,0,0,121,80,0,0,1,1
5.10,0,0,126,127,0,0,1,0
5.11,10,0,0,0,0,0,3,0
5.12,0,0,55,61,66,81,1,1
5.13,0,0,128,129,0,0,1,0
5.14,30,0,0,0,0,0,3,0
5.15,0,0,71,72,82,0,1,1
5.16,20,0,0,0,0,0,3,0
5.17,0,0,60,73,0,0,1,1
5.18,20,0,0,0,0,0,3,0
5.19,0,0,77,123,83,0,1,1
5.20,0,0,130,134,0,0,1,0
5.21,20,0,0,0,0,0,3,0
5.22,0,0,122,75,76,0,1,1
5.23,1,0,0,0,0,0,4,0
5.24,0,0,0,0,0,0,0,0
5.25,0,0,0,0,0,0,0,0
11.0,0,0,1000,1001,0,0,1,0
11.1,30,0,0,0,0,0,3,0
11.2,0,0,1002,1004,0,0,1,0
11.3,0,0,0,0,0,0,0,0
11.4,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0
11.6,0,0,0,0,0,0,0,0
11.7,0,0,0,0,0,0,0,0
11.8,0,0,0,0,0,0,0,0
11.9,0,0,0,0,0,0,0,0
11.10,0,0,0,0,0,0,0,0
12.0,2,0,1005,1006,1007,0,2,0
12.1,1,0,1103,1104,0,0,2,0
12.2,10,0,0,0,0,0,3,0
12.3,0,0,1008,1009,0,0,1,0
12.4,0,0,1105,0,0,0,1,0
12.5,10,0,0,0,0,0,3,0
12.6,1,0,1106,1107,0,0,2,0
12.7,0,0,0,0,0,0,0,0
12.8,0,0,0,0,0,0,0,0
12.9,0,0,0,0,0,0,0,0
12.10,0,0,0,0,0,0,0,0
12.11,0,0,0,0,0,0,0,0
12.12,0,0,0,0,0,0,0,0
12.13,0,0,0,0,0,0,0,0
12.14,0,0,0,0,0,0,0,0
12.15,0,0,0,0,0,0,0,0
13.0,2,0,1027,1028,1029,1030,2,0
13.1,10,0,0,0,0,0,3,0
13.2,2,0,1031,1032,1033,1034,2,0
13.3,0,0,1050,1051,1108,0,1,0
13.4,10,0,0,0,0,0,3,0
13.5,0,0,1109,0,0,0,1,0
13.6,10,0,0,0,0,0,3,0
13.7,0,0,1111,1113,0,0,1,0
13.8,0,0,1110,0,0,0,1,0
13.9,0,0,0,0,0,0,1,0
13.10,0,0,1114,1115,0,0,1,0
13.11,0,0,0,0,0,0,0,0
13.12,0,0,0,0,0,0,0,0
13.13,0,0,0,0,0,0,0,0
13.14,0,0,0,0,0,0,0,0
13.15,0,0,0,0,0,0,0,0
14.0,2,0,1057,1058,1059,1060,2,0
14.1,10,0,0,0,0,0,3,0
14.2,2,0,1061,1062,1063,1064,2,0
14.3,0,0,1065,1066,1117,1118,1,0
14.4,150,0,0,0,0,0,3,0
14.5,0,0,1067,1122,1082,0,1,0
14.6,30,0,0,0,0,0,3,0
14.7,0,0,1123,1070,1071,0,1,0
14.8,30,0,0,0,0,0,3,0
14.9,0,0,1079,1125,1126,0,1,0
14.10,0,0,0,0,0,0,0,0
14.11,0,0,0,0,0,0,0,0
14.12,0,0,0,0,0,0,0,0
14.13,0,0,0,0,0,0,0,0
14.14,0,0,0,0,0,0,0,0
14.15,0,0,0,0,0,0,0,0
15.0,30,0,0,0,0,0,3,0
15.1,0,0,1128,1129,1130,1131,1,1
15.2,20,0,0,0,0,0,3,0
15.3,0,0,1132,1134,1135,1145,1,1
15.4,0,0,1138,1133,0,0,1,0
15.5,20,0,0,0,0,0,3,0
15.6,0,0,1139,1136,1137,1152,1,1
15.7,30,0,0,0,0,0,3,0
15.8,0,0,1140,1141,1143,1144,1,1
15.9,0,0,1196,1194,0,0,1,0
15.10,10,0,0,0,0,0,3,0
15.11,0,0,1146,1197,1150,1151,1,1
15.12,30,0,0,0,0,0,3,0
15.13,0,0,1192,0,0,0,1,0
15.14,10,0,0,0,0,0,3,0
15.15,0,0,1195,0,0,0,1,0
15.16,20,0,0,0,0,0,3,0
15.17,0,0,1153,1193,1149,1191,1,1
15.18,30,0,0,0,0,0,3,0
15.19,0,0,1148,1154,1155,1147,1,1
15.20,1,0,0,0,0,0,4,0
15.21,0,0,0,0,0,0,0,0
15.22,0,0,0,0,0,0,0,0
15.23,0,0,0,0,0,0,0,0
15.24,0,0,0,0,0,0,0,0
15.25,0,0,0,0,0,0,0,0
21.0,2,0,2000,2001,2002,2003,2,0
21.1,50,0,0,0,0,0,3,0
21.2,0,0,2004,2008,0,0,1,0
21.3,0,0,0,0,0,0,0,0
21.4,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0
21.6,0,0,0,0,0,0,0,0
21.7,0,0,0,0,0,0,0,0
21.8,0,0,0,0,0,0,0,0
21.9,0,0,0,0,0,0,0,0
21.10,0,0,0,0,0,0,0,0
21.11,0,0,0,0,0,0,0,0
21.12,0,0,0,0,0,0,0,0
21.13,0,0,0,0,0,0,0,0
21.14,0,0,0,0,0,0,0,0
21.15,0,0,0,0,0,0,0,0
22.0,0,0,2010,2011,0,0,1,0
22.1,30,0,0,0,0,0,3,0
22.2,0,0,2016,2017,0,0,1,0
22.3,40,0,0,0,0,0,3,0
22.4,1,0,2083,2084,2085,0,2,0
22.5,0,0,2020,2021,0,0,1,0
22.6,0,0,0,0,0,0,0,0
22.7,0,0,0,0,0,0,0,0
22.8,0,0,0,0,0,0,0,0
22.9,0,0,0,0,0,0,0,0
22.10,0,0,0,0,0,0,0,0
22.11,0,0,0,0,0,0,0,0
22.12,0,0,0,0,0,0,0,0
22.13,0,0,0,0,0,0,0,0
22.14,0,0,0,0,0,0,0,0
22.15,0,0,0,0,0,0,0,0
23.0,0,0,2022,2023,0,0,1,0
23.1,10,0,0,0,0,0,3,0
23.2,0,0,2029,2030,0,0,1,0
23.3,20,0,0,0,0,0,3,0
23.4,0,0,2042,2044,2089,0,1,0
23.5,10,0,0,0,0,0,3,0
23.6,0,0,2087,2088,0,0,1,0
23.7,30,0,0,0,0,0,3,0
23.8,0,0,2090,2046,0,0,1,0
23.9,0,0,2091,0,0,0,1,0
23.10,0,0,0,0,0,0,0,0
23.11,0,0,0,0,0,0,0,0
23.12,0,0,0,0,0,0,0,0
23.13,0,0,0,0,0,0,0,0
23.14,0,0,0,0,0,0,0,0
23.15,0,0,0,0,0,0,0,0
24.0,2,0,2051,2052,2053,2054,2,0
24.1,10,0,0,0,0,0,3,0
24.2,2,0,2055,2056,2057,2058,2,0
24.3,10,0,0,0,0,0,3,0
24.4,0,0,2059,2060,2061,2072,1,0
24.5,10,0,0,0,0,0,3,0
24.6,0,0,2067,2068,2073,2069,1,0
24.7,70,0,0,0,0,0,3,0
24.8,0,0,2070,2071,2092,0,1,0
24.9,10,0,0,0,0,0,3,0
24.10,0,0,2093,2094,0,0,1,0
24.11,0,0,0,0,0,0,0,0
24.12,0,0,0,0,0,0,0,0
24.13,0,0,0,0,0,0,0,0
24.14,0,0,0,0,0,0,0,0
24.15,0,0,0,0,0,0,0,0
25.0,30,0,0,0,0,0,3,0
25.1,0,0,2095,2096,2097,2098,1,1
25.2,20,0,0,0,0,0,3,0
25.3,0,0,2099,2100,2101,2102,1,1
25.4,20,0,0,0,0,0,3,0
25.5,0,0,2115,2116,2117,2118,1,1
25.6,20,0,0,0,0,0,3,0
25.7,0,0,2160,2120,2123,2124,1,1
25.8,20,0,0,0,0,0,3,0
25.9,0,0,2103,2104,2125,2127,1,1
25.10,0,0,2156,2119,0,0,1,0
25.11,20,0,0,0,0,0,3,0
25.12,0,0,2126,2157,2122,0,1,1
25.13,20,0,0,0,0,0,3,0
25.14,0,0,2159,2109,0,0,1,0
25.15,20,0,0,0,0,0,3,0
25.16,0,0,2110,2128,2161,0,1,1
25.17,0,0,2105,2081,0,0,1,0
25.18,30,0,0,0,0,0,3,0
25.19,0,0,2107,2108,2158,0,1,1
25.20,1,0,0,0,0,0,4,0
25.21,0,0,0,0,0,0,0,0
31.0,50,0,0,0,0,0,3,0
31.1,0,0,3000,0,0,0,1,0
31.2,1,0,3060,3061,3062,3063,2,0
31.3,30,0,0,0,0,0,3,0
31.4,0,0,3001,0,0,0,1,0
31.5,1,0,3064,3065,3066,3067,2,0
31.6,0,0,0,0,0,0,0,0
31.7,0,0,0,0,0,0,0,0
32.0,50,0,0,0,0,0,3,0
32.1,0,0,3002,0,0,0,1,0
32.2,1,0,3068,3069,3070,3071,2,0
32.3,15,0,0,0,0,0,3,0
32.4,0,0,3003,0,0,0,1,0
32.5,35,0,0,0,0,0,3,0
32.6,1,0,3072,3073,3074,3075,2,0
32.7,0,0,3004,0,0,0,1,0
32.8,1,0,3076,3077,3078,3079,2,0
32.9,0,0,0,0,0,0,0,0
32.10,0,0,0,0,0,0,0,0
33.0,10,0,0,0,0,0,3,0
33.1,0,0,3005,0,0,0,1,0
33.2,1,0,3080,3081,3082,3083,2,0
33.3,10,0,0,0,0,0,3,0
33.4,0,0,3006,0,0,0,1,0
33.5,1,0,3084,3085,3086,3087,2,0
33.6,10,0,0,0,0,0,3,0
33.7,0,0,3007,0,0,0,1,0
33.8,1,0,3088,3089,3090,3091,2,0
33.9,10,0,0,0,0,0,3,0
33.10,0,0,3008,0,0,0,1,0
33.11,1,0,3092,3093,3094,3095,2,0
33.12,90,0,0,0,0,0,3,0
33.13,0,0,3009,0,0,0,1,0
33.14,1,0,3096,3097,3098,3099,2,0
33.15,15,0,0,0,0,0,3,0
33.16,0,0,3010,0,0,0,1,0
33.17,1,0,3100,3101,3102,3103,2,0
33.18,45,0,0,0,0,0,3,0
33.19,0,0,3011,0,0,0,1,0
33.20,1,0,3104,3105,3106,3107,2,0
33.21,0,0,0,0,0,0,0,0
33.22,0,0,0,0,0,0,0,0
33.23,0,0,0,0,0,0,0,0
33.24,0,0,0,0,0,0,0,0
33.25,0,0,0,0,0,0,0,0
34.0,65,0,0,0,0,0,3,0
34.1,0,0,3012,3013,3014,3015,1,0
34.2,1,0,3108,3109,3110,3111,2,0
34.3,1,0,3112,3113,3114,3115,2,0
34.4,30,0,0,0,0,0,3,0
34.5,0,0,3016,3017,3018,3019,1,0
34.6,1,0,3116,3117,0,3118,2,0
34.7,1,0,3120,3121,3122,3123,2,0
34.8,87,0,0,0,0,0,3,0
34.9,0,0,3020,3021,3022,3023,1,0
34.10,0,0,3128,0,0,0,1,0
34.11,1,0,3124,3125,3126,3127,2,0
34.12,0,0,0,0,0,0,0,0
34.13,0,0,0,0,0,0,0,0
34.14,0,0,0,0,0,0,0,0
34.15,0,0,0,0,0,0,0,0
35.0,0,0,3025,3026,3027,3028,1,1
35.1,20,0,0,0,0,0,3,0
35.2,0,0,3030,3031,3032,3033,1,1
35.3,30,0,0,0,0,0,3,0
35.4,0,0,3035,3036,3037,3038,1,1
35.5,20,0,0,0,0,0,3,0
35.6,0,0,3029,3039,3040,3041,1,1
35.7,20,0,0,0,0,0,3,0
35.8,0,0,3042,3043,3045,3046,1,1
35.9,30,0,0,0,0,0,3,0
35.10,0,0,3034,3044,3048,3049,1,1
35.11,20,0,0,0,0,0,3,0
35.12,0,0,3047,3050,3051,3052,1,1
35.13,20,0,0,0,0,0,3,0
35.14,0,0,3053,3054,3055,0,1,1
35.15,30,0,0,0,0,0,3,0
35.16,0,0,3056,3057,0,0,1,1
35.17,20,0,0,0,0,0,3,0
35.18,0,0,3058,3059,0,0,1,1
35.19,1,0,0,0,0,0,4,0
35.20,0,0,0,0,0,0,0,0
41.0,20,0,0,0,0,0,3,0
41.1,0,0,4000,0,0,0,1,0
41.2,1,0,4062,4063,4064,4065,2,0
41.3,35,0,0,0,0,0,3,0
41.4,0,0,4001,0,0,0,1,0
41.5,1,0,4066,4067,4068,4069,2,0
42.0,85,0,0,0,0,0,3,0
42.1,0,0,4002,0,0,0,1,0
42.2,2,0,4070,4071,4072,4073,2,0
42.3,40,0,0,0,0,0,3,0
42.4,0,0,4003,4004,0,0,1,0
42.5,1,0,4074,4075,4076,4077,2,0
42.6,45,0,0,0,0,0,3,0
42.7,0,0,4005,4006,0,0,1,0
42.8,1,0,4078,4079,4080,4081,2,0
42.9,0,0,0,0,0,0,0,0
42.10,0,0,0,0,0,0,0,0
43.0,45,0,0,0,0,0,3,0
43.1,0,0,4007,4008,0,0,1,0
43.2,1,0,4082,4083,4084,4085,2,0
43.3,60,0,0,0,0,0,3,0
43.4,0,0,4010,0,0,0,1,0
43.5,1,0,4086,4087,4088,4089,2,0
43.6,20,0,0,0,0,0,3,0
43.7,0,0,4011,4012,0,0,1,0
43.8,1,0,4090,4091,4092,4093,2,0
43.9,15,0,0,0,0,0,3,0
43.10,0,0,4013,4014,0,0,1,0
43.11,1,0,4094,4095,4096,4097,2,0
43.12,0,0,0,0,0,0,0,0
44.0,0,0,0,0,0,0,3,0
44.1,0,0,4015,4016,4017,0,1,0
44.2,1,0,4098,4099,4100,4101,2,0
44.3,30,0,0,0,0,0,3,0
44.4,0,0,4018,4019,4020,0,1,0
44.5,1,0,4102,4103,4104,4105,2,0
44.6,68,0,0,0,0,0,3,0
44.7,0,0,4023,4118,4021,4022,1,0
44.8,1,0,4106,4107,4108,4109,2,0
44.9,45,0,0,0,0,0,3,0
44.10,0,0,4024,4025,4026,0,1,0
44.11,1,0,4110,4111,4112,4113,2,0
44.12,1,0,4114,4115,4116,4117,2,0
44.13,0,0,0,0,0,0,0,0
44.14,0,0,0,0,0,0,0,0
44.15,0,0,0,0,0,0,0,0
45.0,0,0,4027,4028,4029,4030,1,1
45.1,20,0,0,0,0,0,3,0
45.2,0,0,4031,4032,4033,4034,1,1
45.3,30,0,0,0,0,0,3,0
45.4,0,0,4035,4036,4037,4043,1,1
45.5,20,0,0,0,0,0,3,0
45.6,0,0,4039,4040,4041,4042,1,1
45.7,20,0,0,0,0,0,3,0
45.8,0,0,4038,4044,4045,4046,1,1
45.9,30,0,0,0,0,0,3,0
45.10,0,0,4047,4048,4049,0,1,1
45.11,20,0,0,0,0,0,3,0
45.12,0,0,4051,4052,4053,0,1,1
45.13,30,0,0,0,0,0,3,0
45.14,0,0,4055,4056,4057,0,1,1
45.15,20,0,0,0,0,0,3,0
45.16,0,0,4058,4054,4050,0,1,1
45.17,20,0,0,0,0,0,3,0
45.18,0,0,4059,4060,4061,0,1,1
45.19,1,0,0,0,0,0,4,0
45.20,0,0,0,0,0,0,0,0
51.0,30,0,0,0,0,0,3,0
51.1,0,0,5000,0,0,0,1,0
51.2,10,0,0,0,0,0,3,0
51.3,1,0,5062,5063,5064,5065,2,0
51.4,90,0,0,0,0,0,3,0
51.5,0,0,5001,0,0,0,1,0
51.6,10,0,0,0,0,0,3,0
51.7,2,0,5066,5067,5068,5069,2,0
51.8,0,0,0,0,0,0,0,0
51.9,0,0,0,0,0,0,0,0
51.10,0,0,0,0,0,0,0,0
52.0,5,0,0,0,0,0,3,0
52.1,2,0,5070,5071,5072,5073,2,0
52.2,0,0,5005,0,0,0,1,0
52.3,5,0,0,0,0,0,3,0
52.4,0,0,5002,5003,0,0,1,0
52.5,0,0,0,0,0,0,3,0
52.6,1,0,5074,5075,5076,5077,2,0
52.7,160,0,0,0,0,0,3,0
52.8,1,0,5078,5079,0,0,2,0
52.9,2,0,5080,5081,0,0,2,0
52.10,0,0,5004,0,0,0,1,0
52.11,0,0,0,0,0,0,0,0
52.12,0,0,0,0,0,0,0,0
52.13,0,0,0,0,0,0,0,0
53.0,30,0,0,0,0,0,3,0
53.1,0,0,5006,5007,0,0,1,0
53.2,1,0,5090,5091,5092,5093,2,0
53.3,10,0,0,0,0,0,3,0
53.4,0,0,5008,5009,5010,0,1,0
53.5,1,0,5094,5095,5096,5097,2,0
53.6,65,0,0,0,0,0,3,0
53.7,0,0,5011,5012,5013,5122,1,0
53.8,1,0,5102,5103,5104,5105,2,0
53.9,1,0,5098,5099,5100,5101,2,0
53.10,0,0,0,0,0,0,0,0
53.11,0,0,0,0,0,0,0,0
53.12,0,0,0,0,0,0,0,0
53.13,0,0,0,0,0,0,0,0
53.14,0,0,0,0,0,0,0,0
53.15,0,0,0,0,0,0,0,0
54.0,198,0,0,0,0,0,3,0
54.1,0,0,5014,5015,5123,0,1,0
54.2,1,0,5106,5107,5108,5109,2,0
54.3,0,0,0,0,0,0,3,0
54.4,0,0,5016,5017,0,0,1,0
54.5,1,0,5110,5111,5112,5113,2,0
54.6,105,0,0,0,0,0,3,0
54.7,0,0,5018,5019,5020,0,1,0
54.8,1,0,5114,5115,5116,5117,2,0
54.9,15,0,0,0,0,0,3,0
54.10,0,0,5021,5022,0,0,1,0
54.11,3,0,0,0,0,0,3,0
54.12,0,0,5023,5024,5025,5026,1,0
54.13,1,0,5118,5119,5120,5121,2,0
54.14,0,0,0,0,0,0,0,0
54.15,0,0,0,0,0,0,0,0
55.0,0,0,5027,5028,5029,0,1,1
55.1,20,0,0,0,0,0,3,0
55.2,0,0,5030,5031,5032,0,1,1
55.3,30,0,0,0,0,0,3,0
55.4,0,0,5033,5034,5035,5036,1,1
55.5,20,0,0,0,0,0,3,0
55.6,0,0,5037,5038,5039,0,1,1
55.7,20,0,0,0,0,0,3,0
55.8,0,0,5060,5061,5059,0,1,1
55.9,30,0,0,0,0,0,3,0
55.10,0,0,5040,5041,5042,5043,1,1
55.11,20,0,0,0,0,0,3,0
55.12,0,0,5044,5045,5056,0,1,1
55.13,30,0,0,0,0,0,3,0
55.14,0,0,5048,5049,5050,5051,1,1
55.15,20,0,0,0,0,0,3,0
55.16,0,0,5052,5053,5046,5047,1,1
55.17,20,0,0,0,0,0,3,0
55.18,0,0,5058,0,0,0,1,1
55.19,1,0,0,0,0,0,4,0
55.20,0,0,0,0,0,0,0,0
