#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint
0,,,0,0,483,927,0,1,0,0,0,0,True
1,A　白の浅瀬,A,10610,180,640,880,100,1,1,1,1,10,False
2,B　溺没海01,B,10610,180,570,750,300,1,1,1,1,10,False
3,C　溺没海02,C,27840,240,740,700,300,1,1,4,1,10,False
4,D　黒の海盆,D,27840,240,400,850,500,1,1,4,2,10,False
5,E　溺没海03,E,46660,300,650,610,200,1,1,7,2,11,False
6,F　リミララ海溝南端,F,46660,300,850,850,600,1,1,7,3,11,False
7,G　アンブレラ海峡,G,75920,360,260,760,100,1,1,10,1,11,False
8,H　虜囚島,H,102600,420,120,840,100,1,2,14,1,12,False
9,I　石人島,I,118350,420,380,660,100,1,2,17,1,12,False
10,J　名も無き沈没船,J,146210,480,900,600,600,1,2,20,3,12,False
11,K　藍の浅瀬,K,146210,480,520,550,300,1,2,20,6,12,False
12,L　神秘の海盆,L,174980,540,260,570,600,1,3,24,6,13,False
13,M　溺没海04,M,200430,600,90,630,100,1,3,27,6,13,False
14,N　リミララ海溝中腹,N,200430,600,800,550,400,1,3,27,6,13,False
15,O　ディスカバリー号の残骸,O,231750,660,630,490,500,1,3,30,6,14,False
16,P　木叢島,P,231750,660,290,365,100,1,3,30,6,14,False
17,Q　金山島,Q,263530,720,115,350,0,1,4,34,6,14,False
18,R　水師の隠し港,R,292170,780,150,540,600,1,4,37,6,15,False
19,S　溺没海05,S,292170,780,320,230,200,1,4,37,6,15,False
20,T　煉獄島,T,338330,840,130,180,100,1,4,40,6,15,False
21,U　溺没海06,U,338330,840,465,330,100,1,4,40,6,15,False
22,V　リミララ海溝大傾斜,V,374020,900,555,225,600,1,5,44,6,16,False
23,W　溺没海07,W,374020,900,710,370,300,1,5,44,6,16,False
24,X　輝砂の海盆,X,406590,960,900,355,800,1,5,47,6,16,False
25,Y　残照の白谷,Y,406590,960,210,90,100,1,5,47,6,16,False
26,Z　ヘッドウェイ号の残骸,Z,440990,1020,430,100,1000,1,5,50,6,17,False
27,AA　変理の海域,AA,440990,1020,830,210,800,1,5,50,6,17,False
28,AB　リミララ海溝最深部,AB,440990,1020,750,90,1000,1,5,50,6,17,False
29,AC　石造寺院跡,AC,440990,1020,895,100,1000,1,5,50,6,17,False
30,AD　古の宝物庫,AD,440990,1020,595,100,800,1,5,50,6,17,False
31,,,0,0,483,927,0,2,0,0,0,0,True
32,A　ゾーゾーナン島南端,A,440990,480,290,750,100,2,1,50,6,12,False
33,B　ウィンド・ウォーカーの残骸,B,440990,480,150,840,100,2,1,50,6,12,False
34,C　ゾーゾーナン島北端,C,480270,540,280,570,100,2,2,54,6,13,False
35,D　灰海01,D,480270,540,430,660,300,2,2,54,6,13,False
36,E　火葬炉海溝南端,E,522300,600,590,750,600,2,2,57,6,14,False
37,F　灰海02,F,522300,600,180,440,300,2,2,57,6,14,False
38,G　灰海03,G,548410,660,350,480,300,2,3,60,6,15,False
39,H　修道士たちの墓標,H,548410,660,340,330,600,2,3,60,6,15,False
40,I　 火葬炉海溝中腹,I,548410,660,500,580,600,2,3,60,6,15,False
41,J　神父の岩窟,J,548410,660,460,420,600,2,3,60,6,15,False
42,K　灰海04,K,548410,660,140,310,300,2,3,60,6,15,False
43,L　砂利の海盆,L,595020,720,440,200,600,2,4,63,6,16,False
44,M　片割れ手袋島,M,595020,720,820,550,100,2,4,63,6,16,False
45,N　穴あき靴下島,N,645590,780,870,400,100,2,4,65,6,17,False
46,O　密輸業者の取引場,O,645590,780,760,660,300,2,4,65,6,17,False
47,P　擦り切れローブ島,P,645590,780,584,195,100,2,4,65,6,20,False
48,Q　ナルザルの煙管,Q,661730,800,761,885,600,2,4,66,6,20,False
49,R　走錨海域,R,678274,820,818,145,400,2,5,67,6,21,False
50,S　強欲の胃袋,S,712612,860,680,285,300,2,5,69,6,21,False
51,T　ブルーホール,T,730428,880,168,140,600,2,5,70,6,22,False
52,,,0,0,64,591,0,3,0,0,0,0,True
53,A　祭壇島,A,730428,880,199,455,100,3,1,70,6,22,False
54,B　蛸壺入江,B,730428,880,246,703,1000,3,1,70,6,22,False
55,C　翠浪海01,C,730428,880,261,289,400,3,1,70,6,22,False
56,D　ロゴトゥムヘレの狩場,D,767407,900,101,203,1000,3,1,72,6,23,False
57,E　吸盤礁,E,767407,900,474,89,700,3,1,72,6,23,False
58,F　ロゴトゥムヘレの寝蔵,F,786593,920,214,98,1000,3,1,73,6,24,False
59,G　タナロアの釣針,G,806258,930,689,253,500,3,1,74,6,24,False
60,H　翠浪海02,H,826415,940,676,76,400,3,2,75,6,25,False
61,I　目隠し峡江,I,826415,940,842,186,200,3,2,75,6,25,False
62,J　翠浪海03,J,826415,940,723,387,300,3,2,75,6,25,False
63,K　ムールギンの鍛冶場,K,847076,950,855,96,500,3,2,76,6,26,False
64,L　タナロアの浮標,L,889960,960,889,305,100,3,3,78,6,28,False
65,M　翠浪海04,M,935015,980,659,637,300,3,3,80,6,30,False
66,N　海藻樹林,N,958391,1000,626,805,500,3,3,81,6,31,False
67,O　翠浪海05,O,1006910,1040,938,188,600,3,4,83,6,32,False
68,P　なまくら切岸,P,1057886,1080,481,918,100,3,4,85,6,33,False
69,Q　風の休所,Q,1111443,1120,889,445,500,3,5,87,6,34,False
70,R　竜骨溜まり,R,1139230,1140,736,764,600,3,5,88,6,35,False
71,S　翠浪海06,S,1167711,1160,852,617,1000,3,5,89,6,36,False
72,T　海獣の霊園,T,1751567,1180,832,888,1000,3,5,90,6,37,False
73,,,0,0,177,927,0,4,0,0,0,0,True
74,A　耳蝋漁場,A,1751567,1180,201,748,200,4,1,90,6,37,False
75,B　セイレーン海01,B,1751567,1180,427,704,700,4,1,90,6,37,False
76,C　セイレーン海02,C,1751567,1180,340,532,300,4,1,90,6,37,False
77,D　アンテモエッサ島,D,1926724,1190,447,253,200,4,1,91,6,38,False
78,E　海魔の口,E,2119397,1210,583,593,800,4,1,92,6,39,False
79,F　漂流海域,F,2331337,1220,687,644,400,4,2,93,6,40,False
80,G　告死礁,G,2820919,1250,66,383,900,4,2,95,6,41,False
81,H　セイレーン海03,H,3074802,1270,352,118,500,4,3,96,6,42,False
82,I　アンテモエッサ海廊,I,3074802,1270,557,183,800,4,3,96,6,42,False
83,J　セイレーン海04,J,3351535,1280,738,555,400,4,3,97,6,42,False
84,K　渦紋海峡,K,3653174,1300,802,436,800,4,3,98,6,43,False
85,L　鳥嘴湾,L,3981960,1310,620,806,300,4,4,99,6,44,False
86,M　海魔の牢獄,M,4340337,1330,136,138,1000,4,4,100,6,44,False
87,N　放棄された流刑島,N,4687564,1340,533,68,100,4,4,101,6,45,False
88,O　ルガトの浜,O,4687564,1340,885,400,400,4,4,101,6,45,False
89,P　積氷泉,P,5062570,1360,502,899,200,4,5,102,6,46,False
90,Q　セイレーン海05,Q,5467576,1370,873,106,1000,4,5,103,6,47,False
91,R　渦紋島,R,5904983,1390,678,289,0,4,5,104,6,47,False
92,S　赤血海丘,S,6377382,1400,937,651,1000,4,5,105,6,48,False
93,T　海晶泉,T,6377382,1400,747,901,200,4,5,105,6,48,False
94,,,0,0,49,928,0,5,0,0,0,0,True
95,A　誘う藤棚,A,6377382,1400,177,858,600,5,1,105,6,48,False
96,B　白化した島,B,6377382,1400,189,713,100,5,1,105,6,48,False
97,C　漂鳥の浅瀬,C,6377382,1400,494,744,300,5,1,105,6,48,False
98,D　紫礁海01,D,6536817,1420,90,514,300,5,1,106,6,48,False
99,E　ラルス島,E,6700238,1430,545,898,100,5,1,107,6,48,False
100,F　桔梗海溝中央,F,6867744,1450,366,534,1000,5,2,108,6,49,False
101,G　紫礁海02,G,7215424,1480,741,797,300,5,2,110,6,49,False
102,H　紫礁海03,H,7395810,1490,901,898,300,5,3,111,6,50,False
103,I　桔梗海溝北西,I,7580706,1510,174,394,1000,5,3,112,6,50,False
104,J　花冠島,J,7770224,1520,533,457,100,5,3,113,6,50,False
105,K　桔梗海溝南東,K,7964480,1540,646,677,1000,5,3,114,6,50,False
106,L　咲き誇る礁池,L,8163592,1550,562,320,600,5,4,115,6,51,False
107,M　翼弁島,M,8163592,1550,806,570,100,5,4,115,6,51,False
108,N　旗弁島,N,8367682,1570,690,212,100,5,4,116,6,51,False
109,O　胡蝶の円湾,O,8576875,1580,737,433,600,5,4,117,6,51,False
110,P　紫礁海04,P,8791297,1600,62,88,600,5,5,118,6,52,False
111,Q　舟弁島,Q,9011080,1610,374,296,100,5,5,119,6,52,False
112,R　ドディー海底谷東,R,9011080,1610,922,340,1000,5,5,119,6,52,False
113,S　紫礁海05,S,9236357,1630,804,64,1000,5,5,120,6,52,False
114,T　ドディー海底谷西,T,9236357,1630,485,62,1000,5,5,120,6,52,False
115,,,0,0,934,60,0,6,0,0,0,0,True
116,A　インディゴ・シャロウ,A,9236357,1630,822,159,100,6,1,120,6,52,False
117,B　探検家の中継基地,B,9236357,1630,661,378,0,6,1,120,6,52,False
118,C　紺色海底棚北,C,9236357,1630,624,168,400,6,1,120,6,52,False
119,D　雨生みの海底谷,D,9467266,1640,907,517,1000,6,1,121,6,52,False
120,E　南蒼茫洋01,E,9703948,1660,431,86,700,6,1,122,6,52,False
121,F　セントラルブルー,F,9946547,1670,480,438,800,6,2,123,6,53,False
122,G　南蒼茫洋02,G,10450092,1700,393,257,700,6,2,125,6,53,False
123,H　鉤爪島,H,10711345,1720,286,364,0,6,3,126,6,54,False
124,I　セントラルブルー南,I,10979129,1730,508,600,500,6,3,127,6,54,False
125,J　南蒼茫洋03,J,11253608,1750,85,93,500,6,3,128,6,54,False
126,K　鉤爪島沖合,K,11534949,1760,76,316,700,6,3,129,6,54,False
127,L　碧眼島,L,11823323,1780,728,764,100,6,4,130,6,55,False
128,M　星削水道浅部,M,11823323,1780,331,660,400,6,4,130,6,55,False
129,N　欠月島,N,12118907,1790,206,650,0,6,4,131,6,55,False
130,O　エメラルド・ディープ,O,12421880,1810,895,919,1000,6,4,132,6,55,False
131,P　南蒼茫洋04,P,12732427,1820,86,494,800,6,5,133,6,56,False
132,Q　紺色海底棚南,Q,13050738,1840,461,816,800,6,5,134,6,56,False
133,R　星削水道中部,R,13050738,1840,196,810,900,6,5,134,6,56,False
134,S　風生みの海底谷,S,13377007,1850,520,926,1000,6,5,135,6,56,False
135,T　星削水道深部,T,13377007,1850,88,927,1000,6,5,135,6,56,False
136,,,0,0,933,940,0,7,0,0,0,0,True
137,A　黒き血の溜まり東,A,13377007,1850,883,870,500,7,1,135,6,56,False
138,B　海狼たちの港,B,13377007,1850,907,579,1000,7,1,135,6,56,False
139,C　ハンドビルト島南端,C,13377007,1850,803,779,0,7,1,135,6,56,False
140,D　ウーヤ・セイク湖,D,13711433,1870,727,634,400,7,1,136,6,56,False
141,E　ハンドビルト島北東,E,14054219,1880,850,360,0,7,1,137,6,56,False
142,F　フェイエルの浜,F,14405575,1900,551,645,600,7,2,138,6,58,False
143,G　牙の岬沖,G,15134858,1930,472,432,600,7,2,140,6,58,False
144,,,0,0,0,0,0,0,0,0,0,0,False
145,,,0,0,0,0,0,0,0,0,0,0,False
146,,,0,0,0,0,0,0,0,0,0,0,False
147,,,0,0,0,0,0,0,0,0,0,0,False
148,,,0,0,0,0,0,0,0,0,0,0,False
149,,,0,0,0,0,0,0,0,0,0,0,False
150,,,0,0,0,0,0,0,0,0,0,0,False
151,,,0,0,0,0,0,0,0,0,0,0,False
152,,,0,0,0,0,0,0,0,0,0,0,False
153,,,0,0,0,0,0,0,0,0,0,0,False
154,,,0,0,0,0,0,0,0,0,0,0,False
155,,,0,0,0,0,0,0,0,0,0,0,False
156,,,0,0,0,0,0,0,0,0,0,0,False
157,,,0,0,0,0,0,0,0,0,0,0,False
158,,,0,0,0,0,0,0,0,0,0,0,False
159,,,0,0,0,0,0,0,0,0,0,0,False
