#,Name,NameShort,ExpReward,CeruleumTankReq,SurveyDurationmin,SurveyDistance,X,Y,RankReq,Unknown0,Unknown1,SurveillanceReq,Unknown2,Passengers
0,雲海01,雲海01,10610,1,180,13,371,831,1,0,0,0,0,False
1,雲海02,雲海02,10610,1,180,13,615,800,1,0,0,0,0,False
2,雲海03,雲海03,27840,1,180,13,156,800,4,0,0,0,0,False
3,雲海04,雲海04,46660,1,180,13,787,834,7,0,0,0,0,False
4,雲海05,雲海05,75920,2,360,13,492,720,10,0,0,0,0,False
5,雲海06,雲海06,102600,2,360,13,334,653,14,0,0,0,0,False
6,雲海07,雲海07,118350,2,360,13,587,645,17,0,0,0,0,False
7,雲海08,雲海08,146210,3,540,13,516,544,20,0,0,0,0,False
8,雲海09,雲海09,174980,3,540,13,380,493,24,0,0,0,0,False
9,雲海10,雲海10,200430,3,540,13,721,629,27,0,0,0,0,False
10,雲海11,雲海11,231750,4,720,13,185,567,30,0,0,0,0,False
11,雲海12,雲海12,263530,4,720,13,906,642,34,0,0,0,0,False
12,雲海13,雲海13,292170,4,720,13,202,434,37,0,0,0,0,False
13,雲海14,雲海14,338330,5,900,13,77,689,40,0,0,0,0,False
14,雲海15,雲海15,374020,5,900,13,103,348,44,0,0,0,0,False
15,雲海16,雲海16,406590,5,900,13,886,445,47,0,0,0,0,False
16,雲海17,雲海17,0,6,1440,13,721,335,50,0,0,90,0,False
17,雲海18,雲海18,0,6,1440,13,540,371,50,0,0,90,0,False
18,雲海19,雲海19,0,6,1440,13,248,234,50,0,0,90,0,False
19,雲海20,雲海20,0,6,1440,13,421,141,50,0,0,90,0,False
20,雲海21,雲海21,0,6,1440,13,556,208,50,0,0,90,0,False
21,雲海22,雲海22,0,6,1440,13,663,105,50,0,0,90,0,False
22,雲海探索 ディアデム諸島 (Hard)への航路,雲海探索 ディアデム諸島 (Hard)への航路,0,1,20,1,0,0,50,0,0,90,0,True
23,雲海23,雲海23,0,6,1440,13,130,120,50,0,0,90,0,False
24,雲海24,雲海24,0,6,1440,13,390,380,50,0,0,90,0,False
25,,,0,0,0,0,0,0,0,0,0,0,0,False
127,,,0,0,0,0,483,927,0,0,0,0,0,False
128,,,0,0,0,0,0,0,0,0,0,0,0,False
