#,Name,WKSMissionText,ClassJobCategory[0],ClassJobCategory[1],MissionTime,MissionReward,SilverStarRequirement,GoldStarRequirement,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSFunction,LevelGroup,Unknown0,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest,Unknown1,Unknown2
0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1, 汎用繊維板の製作,1200,2400,17,9,0,100,0,1,143,0,0,0,50,2,0,0,0,1,0,0,1,False,False
2, 拠点外活動用の燃料調達,1200,2400,20,9,0,100,0,2,144,0,0,0,51,3,0,0,0,1,0,0,1,False,False
3, 採集用アクセサリの製作,1200,2400,22,9,0,100,0,3,145,0,0,0,52,4,0,0,0,1,0,0,1,False,False
4, 研究用必須素材の調達,1200,2400,29,9,0,100,0,4,146,0,0,0,53,5,0,0,0,1,0,0,1,False,False
5, 木炭の長持続化検証,1200,2400,20,9,0,100,0,5,147,0,0,0,54,6,0,0,0,1,0,0,1,False,False
6, 汎用寝具の製作,1200,2400,19,9,0,100,0,6,148,0,0,0,55,7,0,0,0,1,0,0,1,False,False
7, 薄型繊維板の製作,1200,2400,17,9,0,100,0,7,149,0,0,0,56,8,0,0,0,2,0,0,1,False,False
8, 木工師用支援物資の製作,1200,2400,20,9,0,100,0,8,150,0,0,0,57,9,0,0,0,2,0,0,1,False,False
9, 作業員用裁縫道具の調達,1300,3000,26,9,0,100,0,9,151,0,0,0,58,10,0,0,3,2,0,0,1,False,False
10, データ記入用紙の製作,700,1500,18,9,0,100,0,10,152,0,0,0,59,11,0,0,3,2,0,0,1,False,False
11, 断熱内装材の製作,1100,2500,19,9,0,100,0,11,153,0,0,0,60,12,0,0,3,2,0,0,1,False,False
12, コスモライナー用の基本資材調達,1200,2250,28,9,0,100,0,12,154,0,0,0,61,13,0,0,3,2,0,0,1,False,False
13, 新素材を用いたイヤリング製作,700,1500,22,9,0,100,0,13,155,0,0,0,62,14,0,0,3,2,0,0,1,False,False
14, 補給用容器の製作,1600,2400,20,9,0,100,0,14,156,0,0,0,63,15,0,0,0,3,0,0,1,False,False
15, 厚型繊維板の製作,1600,2400,17,9,0,100,0,15,157,0,0,0,64,16,0,0,0,3,0,0,1,False,False
16, 高品質断熱材の製作,1700,2000,19,9,0,100,0,16,158,0,0,0,65,17,0,0,3,3,0,0,1,False,False
17, 耐熱性樹脂の製作,2700,3000,31,9,0,100,0,17,159,0,0,0,66,18,0,0,3,3,0,0,1,False,False
18, 長期保存用紙の製作,1600,2400,18,9,0,100,0,18,160,0,0,0,67,19,0,0,0,3,0,0,1,False,False
19, 居住区用椅子の製作,2700,3000,30,9,0,100,0,19,161,0,0,0,68,20,0,0,3,3,0,0,1,False,False
20, 試験素材を用いた採集道具製作,1000,1300,22,9,0,100,0,20,162,0,0,0,69,21,0,0,0,3,0,0,1,False,False
21, 休憩用高品質ベッドの製作,1000,1300,24,9,0,100,0,21,163,0,0,0,70,22,0,0,0,3,0,0,1,False,False
22,高耐久繊維板の製作,1800,2400,17,9,0,100,1200,22,164,0,0,0,71,23,0,1200,0,4,0,0,0,False,False
23,最高級紙の製作,2300,3000,18,9,0,100,1200,23,165,0,0,0,72,24,0,1200,3,4,0,0,0,False,False
24,宇宙船用の断熱材調達,700,1000,19,9,0,100,0,24,166,0,0,0,73,25,0,1200,3,4,0,0,0,False,False
25,高火力木炭の製作,700,1000,20,9,0,100,1200,25,167,0,0,0,74,26,0,1200,3,4,0,0,0,False,False
26,月面植物の加工検証,2600,3000,21,9,0,100,1200,26,168,0,0,0,75,27,0,1200,3,4,0,0,0,False,False
27,EX：試験用素材の最終加工検証,2500,3000,22,9,0,100,1200,27,169,0,0,0,76,28,0,1100,3,5,0,0,0,False,False
28,EX：配膳用トレイの製作,840,1000,23,9,0,100,1200,28,170,0,0,0,77,29,0,1100,3,5,0,0,0,False,False
29,EX：二段ベッドの製作,840,1000,24,9,0,100,1200,29,171,0,0,0,78,30,0,1100,3,5,2,0,0,False,False
30,EX：作業補助設備の製作,2800,3000,25,9,0,100,1200,30,172,0,0,0,79,31,0,1100,3,5,1,13,0,False,False
31,EX+：高品質製作道具の補充,560,880,26,9,0,100,420,31,173,0,0,0,80,32,0,1000,0,6,0,14,0,False,False
32,EX+：高所用昇降台の製作,560,880,27,9,0,100,330,32,174,0,0,0,81,33,0,1000,0,6,0,13,0,False,False
33,動力伝達用シャフトの製作,2300,3000,28,9,0,100,1200,33,175,0,0,0,82,34,0,1200,3,4,0,0,0,False,False
34,EX：続・動力伝達用シャフトの製作,2500,3000,28,9,0,100,1200,34,176,0,0,33,83,35,0,1100,3,5,0,0,0,False,False
35,性質特化素材の調達,1000,1600,29,9,0,100,1200,35,177,0,0,0,84,36,0,1200,0,4,0,0,0,False,False
36,EX：続・性質特化素材の調達,1000,1600,29,9,0,100,1200,36,178,0,0,35,85,37,0,1100,0,5,0,0,0,False,False
37,EX+：研究用大型水槽の製作,1000,1600,29,9,0,100,300,37,179,0,0,36,86,38,0,1000,0,6,0,0,0,False,False
38,EX：休憩施設用素材の製作,850,1000,30,9,0,100,1200,38,180,0,0,0,87,39,0,1100,3,5,0,0,0,False,False
39,EX+：休憩施設用調度品の製作,900,1000,30,9,0,100,240,39,181,0,0,38,88,40,0,1000,3,6,2,0,0,False,False
40,貨物梱包素材の製作,2300,3000,31,9,0,100,1200,40,182,0,0,0,89,41,0,1200,3,4,0,1,0,False,False
41,EX：続・貨物梱包素材の製作,2500,3000,31,9,0,100,1200,41,183,0,0,40,90,42,0,1100,3,5,1,0,0,False,False
42,EX+：ローバー用貨物梱包材の製作,2700,3000,31,9,0,100,270,42,184,0,0,41,91,43,0,1000,3,6,2,0,0,False,False
43,EX+：バイオ燃料の製作,980,1080,32,9,0,100,600,43,185,0,0,0,92,44,0,1000,3,6,1,7,0,False,False
44,EX+：続・バイオ燃料の製作,980,1080,32,9,0,100,600,44,186,0,0,43,93,45,0,1000,3,6,1,0,0,False,False
45,EX+：バイオ燃料の製作・最終工程,1000,1080,32,9,0,100,420,45,187,0,0,44,94,46,0,1000,0,6,1,0,0,False,False
46, 汎用装甲板の製作,1200,2400,1,10,0,100,0,46,188,0,0,0,95,47,0,0,0,1,0,0,1,False,False
47, 宇宙船用の予備部品製作,1200,2400,14,10,0,100,0,47,189,0,0,0,96,48,0,0,0,1,0,0,1,False,False
48, 合金製作の検証,1200,2400,2,10,0,100,0,48,190,0,0,0,97,49,0,0,0,1,0,0,1,False,False
