#,Name,AdditionalData,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Type,AcceptClassJobCategory,Category
0,未設定,0,0,0,0,0,0,0,0,1,0
1,立ちポーズ：納刀1,3,82083,1,0,0,0,1,20,1,3
2,立ちポーズ：納刀2,91,82083,1,0,0,0,2,11,1,3
3,立ちポーズ：納刀3,92,82083,1,0,0,0,3,11,1,3
4,立ちポーズ：納刀4,107,82083,1,0,0,0,4,11,1,3
5,立ちポーズ：納刀5,108,82083,1,0,0,0,5,11,1,3
6,立ちポーズ：納刀6,218,82083,1,0,0,0,6,11,1,3
7,立ちポーズ：納刀7,219,82083,1,0,0,0,7,11,1,3
8,立ちポーズ：抜刀1,34,82083,1,0,0,0,8,20,1,3
9,立ちポーズ：抜刀2,93,82083,1,0,0,0,9,11,1,3
10,,5,246205,1,0,0,0,1000,11,1,1
11,,154,246315,6,0,0,0,1001,11,1,1
12,,0,0,0,0,0,0,0,0,0,0
13,,41,246241,1,0,0,0,1003,11,1,1
14,,172,246336,7,0,0,0,1004,11,1,1
15,,15,246215,1,0,0,0,1005,11,1,1
16,,16,246216,1,0,0,0,1006,11,1,1
17,,19,246219,1,0,0,0,1007,11,1,1
18,,31,246231,1,0,0,0,1008,11,1,1
19,,0,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0
22,,59,246266,8,0,0,0,1009,11,1,1
23,,124,246288,46,0,0,0,1010,11,1,1
24,,199,246358,9,0,0,0,1011,11,1,1
25,,20,246220,1,0,0,0,1101,11,1,1
26,,21,246221,1,0,0,0,1102,11,1,1
27,,18,246218,1,0,0,0,1103,11,1,1
28,,48,246252,1,0,0,0,1104,11,1,1
29,,34,246234,1,0,0,0,1105,11,1,1
30,,35,246235,1,0,0,0,1106,11,1,1
31,,4,246204,1,0,0,0,1107,11,1,1
32,,9,246209,1,0,0,0,1108,11,1,1
33,,30,246230,1,0,0,0,1109,11,1,1
34,,58,246264,1,0,0,0,1110,11,1,1
35,,140,246304,1,0,0,0,1111,11,1,1
36,,46,246249,1,0,0,0,1113,11,1,1
37,,147,246309,47,0,0,0,1114,11,1,1
38,,11,246211,1,0,0,0,1115,11,1,1
39,,42,246242,1,0,0,0,1200,11,1,1
40,,43,246243,1,0,0,0,1201,11,1,1
41,,7,246207,1,0,0,0,1202,11,1,1
42,,29,246229,1,0,0,0,1203,11,1,1
43,,6,246206,1,0,0,0,1204,11,1,1
44,,240,246394,120,0,0,0,1205,11,1,1
45,,110,246275,48,0,0,0,1206,11,1,1
46,,112,246277,1,0,0,0,1207,11,1,1
47,,113,246278,28,0,0,0,1208,11,1,1
48,,105,246267,1,0,0,0,1209,11,1,1
49,,115,246280,112,0,0,0,1300,11,1,1
50,,121,246285,10,0,0,0,1301,11,1,1
51,,122,246286,11,0,0,0,1302,11,1,1
52,,125,246289,49,0,0,0,1304,11,1,1
53,,127,246291,12,0,0,0,1305,11,1,1
54,,0,0,0,0,0,0,0,0,0,0
55,,195,246354,95,0,0,0,1400,11,1,1
56,,197,246356,50,0,0,0,1401,11,1,1
57,,202,246361,51,0,0,0,1402,11,1,1
58,,205,246364,52,0,0,0,1403,11,1,1
59,,0,0,0,0,0,0,0,0,0,0
60,チョコボの筆,224,246381,98,0,0,0,1404,11,1,1
61,,0,0,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0
63,,0,0,0,0,0,0,0,0,0,0
64,,24,246224,1,0,0,0,1500,11,1,1
65,,25,246225,1,0,0,0,1501,11,1,1
66,,10,246210,1,0,0,0,1502,11,1,1
67,,3,246203,1,0,0,0,1503,11,1,1
68,,14,246214,1,0,0,0,1504,11,1,1
69,,26,246226,1,0,0,0,1506,11,1,1
70,,40,246240,1,0,0,0,1507,11,1,1
71,,49,246253,1,0,0,0,1508,11,1,1
