#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Item1,Item2,PopRange0,PopRange1,PopRange2,Unknown5,Unknown6,Unknown7,Unknown8,Image,PlaceName,Unknown9,Objective1,Objective2,Objective3,RequiredAmount1,RequiredAmount2,Unknown10,Unknown11,Unknown12,Unknown13
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,探索任務：ディアデム諸島の資源調査,"漂流遺跡が現れてからというもの、急速に属性の力が乱れ、ディアデム諸島の環境は激変してしまった。そこで、冒険者諸君の協力を仰ぎ、大規模な資源調査を行いたい。
採掘、伐採、釣り、手段を問わず自由に採集活動を行ってくれ。もちろん成果物は、自身の懐に収めてくれて構わない。我々の目的は、資源に関する情報なのだからな。

※ギャザリングやF.A.T.E.などを行うことで、「活動評価」ゲージが蓄積されます。","こちらアインハルト管制……
すべての資源調査の完了を確認した。","冒険者諸君の協力に感謝する。
バウンティ号の漂着地まで、報酬を受け取りに来てくれ。","以降は、エーテルホールを利用し、境界の向こう側へ向かうなど、
自由に探索を続けてくれたまえ……それでは、よい探索を！",0,0,0,0,0,0,0,0,6710323,111102,0,0,10,11,12,0,0,0,0,0,0
6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,探索任務：過属性クリスタルの収集,"属性の力が激しく変動するディアデム諸島では、エーテルの結晶化が続いている。強力な属性の力を帯びた、このクリスタルは重要な資源となる可能性を秘めている。
冒険者諸君には、この「過属性クリスタル」の収集を依頼したい。なお、集めた物資は「バウンティ号の漂着地」の「アインハルト家の飛空士」に納品してくれ。

また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。

※F.A.T.E.などを行うことで、「活動評価」ゲージが蓄積されます。","こちらアインハルト管制……
すべての探索任務の完了を確認した。","冒険者諸君の協力に感謝する。
報酬を受け取れるよう手配しておいた。","以降は、エーテルホールを利用し、境界の向こう側へ向かうなど、
自由に探索を続けてくれたまえ……それでは、よい探索を！",2002042,2002045,6798633,6798655,6710324,0,0,0,6710323,111101,0,0,13,20,25,4,4,1,0,0,0
8,探索任務：危険な魔獣の討伐 ,"濃厚なエーテルに引き寄せられたかのように、ディアデム諸島には危険な生物が満ちている。これが、我らの探索事業において大きな障害となることは言うまでもない。
冒険者諸君には、その戦闘能力を見込んで危険生物の排除を依頼したい。特殊な香りを発する「誘引香の罠」を用いて、該当生物を誘き寄せ、討伐してくれ。

また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。

※F.A.T.E.などを行うことで、「活動評価」ゲージが蓄積されます。","こちらアインハルト管制……
すべての探索任務の完了を確認した。","冒険者諸君の協力に感謝する。
報酬を受け取れるよう手配しておいた。","以降は、エーテルホールを利用し、境界の向こう側へ向かうなど、
自由に探索を続けてくれたまえ……それでは、よい探索を！",0,0,6710332,6710294,6710302,0,0,0,6887965,111101,0,0,61,86,71,3,3,3,0,0,0
9,探索任務：危険な魔獣の討伐 ,"濃厚なエーテルに引き寄せられたかのように、ディアデム諸島には危険な生物が満ちている。これが、我らの探索事業において大きな障害となることは言うまでもない。
冒険者諸君には、その戦闘能力を見込んで危険生物の排除を依頼したい。特殊な香りを発する「誘引香の罠」を用いて、該当生物を誘き寄せ、討伐してくれ。

また、任務の過程では、「活動評価」を指針として、周辺の探索も進めてもらいたい。

※F.A.T.E.などを行うことで、「活動評価」ゲージが蓄積されます。","こちらアインハルト管制……
想定外の強敵が現れたようだが、排除を確認した。","冒険者諸君の協力に感謝する。
報酬を受け取れるよう手配しておいた。","以降は、エーテルホールを利用し、境界の向こう側へ向かうなど、
自由に探索を続けてくれたまえ……それでは、よい探索を！",0,0,6710307,6710345,6710345,0,0,0,6887983,111101,0,0,80,85,94,3,3,2,0,0,0
