#,Singular,Plural,Name,Tooltip,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Icon,Action
0,,,,,0,0,0,1,0,0,0,0
1,,,魔土器:呪印解除,現在の階層のトラップを、すべて消去する。,0,0,0,1,0,0,27901,6259
2,,,魔土器:サイトロ,現在の階層のマップをすべて開示し、トラップを可視化する。,0,0,0,1,0,0,27902,6260
3,,,魔土器:自己強化,自身の与ダメージと回復魔法の回復量を30%上昇する。,0,0,0,1,0,0,27903,6262
4,,,魔土器:防御強化,自身の被ダメージを40%軽減する。,0,0,0,1,0,0,27904,6263
5,,,魔土器:宝箱増加,次の階層の宝箱配置数を増加する。,0,0,0,1,0,0,27905,6264
6,,,魔土器:敵排除,次の階層の敵を減少させる。,0,0,0,1,0,0,27906,6265
7,,,魔土器:敵変化,次の階層のいずれかの部屋の敵を、ミミックかマンドラゴラに変化させる。,0,0,0,1,0,0,27907,6266
8,,,魔土器:解呪,ステータス「呪詛」を解除する。,0,0,0,1,0,0,27908,6267
9,,,魔土器:運気上昇,現在の階層において、敵を倒した際の宝箱出現率を上昇する。,0,0,0,1,0,0,27909,6268
10,,,魔土器:形態変化,自身を中心にした範囲内に入った対象を、カエル、カッパ、ニワトリ状態にする。,0,0,0,1,0,0,27910,6269
11,,,魔土器:魔法効果解除,現在の階層の魔法効果を、すべて消去する。,0,0,0,1,0,0,27911,6270
12,,,魔土器:マンティコア化,自身がマンティコアに変化する。,0,0,0,1,0,0,27912,6271
13,,,魔土器:サキュバス化,自身がサキュバスに変化する。,0,0,0,1,0,0,27913,6272
14,,,魔土器:財宝感知,埋もれた財宝の在処を示す。この効果は、埋もれた財宝を発見するまで持続する。,0,0,0,1,0,0,27916,6870
15,,,魔土器:リレイズ,最初に戦闘不能状態になったパーティメンバーを蘇生する。,0,0,0,1,0,0,27914,6868
16,,,魔土器:クリブ化,自身がクリブに変化する。,0,0,0,1,0,0,27915,6869
17,,,魔土器:敵弱体,現在の階層にいる敵を、攻防低下状態にする。,0,0,0,1,0,0,27919,11275
18,,,魔土器:バニシュ,自身とパーティメンバーを、バニシュ状態にする。,0,0,0,1,0,0,27917,11276
19,,,魔土器:敵石化,現在の階層にいる敵を、石化状態にする。,0,0,0,1,0,0,27918,11277
20,,,魔科学器:スロウガ,現在の階層にいる敵を、スロウガ状態にする。 ,0,0,0,1,0,0,27920,32144
21,,,魔科学器:ミールストーム,現在の階層にいる敵のＨＰを1桁にする。,0,0,0,1,0,0,27921,32145
22,,,魔科学器:ドレッドノート化,自身がドレッドノートに変化する。,0,0,0,1,0,0,27922,32146
23,,,魔科学器:呪印解除,現在の階層のトラップを、すべて消去する。,0,0,0,1,0,0,27901,6259
24,,,魔科学器:サイトロ,現在の階層のマップをすべて開示し、トラップを可視化する。,0,0,0,1,0,0,27902,6260
25,,,魔科学器:自己強化,自身の与ダメージと回復魔法の回復量を30%上昇する。,0,0,0,1,0,0,27903,6262
26,,,魔科学器:防御強化,自身の被ダメージを40%軽減する。,0,0,0,1,0,0,27904,6263
27,,,魔科学器:宝箱増加,次の階層の宝箱配置数を増加する。,0,0,0,1,0,0,27905,6264
28,,,魔科学器:敵排除,次の階層の敵を減少させる。,0,0,0,1,0,0,27906,6265
29,,,魔科学器:敵変化,次の階層のいずれかの部屋の敵を、ミミックかマンドラゴラに変化させる。,0,0,0,1,0,0,27907,6266
30,,,魔科学器:解呪,ステータス「呪詛」を解除する。,0,0,0,1,0,0,27908,6267
31,,,魔科学器:運気上昇,現在の階層において、敵を倒した際の宝箱出現率を上昇する。,0,0,0,1,0,0,27909,6268
32,,,魔科学器:形態変化,自身を中心にした範囲内に入った対象を、カエル、カッパ、ニワトリ状態にする。,0,0,0,1,0,0,27910,6269
33,,,魔科学器:魔法効果解除,現在の階層の魔法効果を、すべて消去する。,0,0,0,1,0,0,27911,6270
34,,,魔科学器:財宝感知,埋もれた財宝の在処を示す。この効果は、埋もれた財宝を発見するまで持続する。,0,0,0,1,0,0,27916,6870
35,,,魔科学器:リレイズ,最初に戦闘不能状態になったパーティメンバーを蘇生する。,0,0,0,1,0,0,27914,6868
36,,,魔土器:ヘイスト,自身とパーティメンバーを、ヘイスト状態にする。,0,0,0,1,0,0,27923,44616
37,,,魔土器:浄化の守り,自身とパーティメンバーの解除可能な状態異常効果をすべて解除し、次に受ける1回の状態異常効果を防ぐバリアを張る。,0,0,0,1,0,0,27924,44617
38,,,魔土器:巡礼の導き,次の階層に必ず「光耀の燭台」が出現する。,0,0,0,1,0,0,27925,44618
