#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,石化,手足が石化し、行動できなくなった状態。,215001,0,1,0,85,0,1,2,6,100,0,0,0,32,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,スタン,行動できなくなった状態。,215004,0,2,0,0,0,1,2,3,100,0,0,0,0,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,睡眠,眠りに落ち、行動できなくなった状態。,215013,0,3,0,1,0,1,2,2,100,0,0,0,3,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,気絶,気を失い、行動できなくなった状態。,215003,0,0,0,1,0,1,2,8,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,アビリティ不可,アビリティを使用できなくなった状態。,215015,0,0,0,0,0,1,2,15,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,ＷＳ不可,ウェポンスキルを使用できなくなった状態。,215017,0,0,0,0,0,1,2,14,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,沈黙,魔法を詠唱できなくなった状態。,215005,0,0,0,2,0,1,2,7,100,0,0,0,22,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,ヘイスト,オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが短縮された状態。,215008,-15,0,0,5,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,スロウ,オートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムが延長された状態。,215009,15,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
