#,Unknown0,Unknown1,Unknown2
0,犠牲を伴う勝利I,戦闘不能のペットが3体の状態でクリアする。,True
1,犠牲を伴う勝利II,戦闘不能のペットが2体の状態でクリアする。,True
2,犠牲を伴う勝利III,戦闘不能のペットが1体の状態でクリアする。,True
3,犠牲なき勝利,ペットが全員生存した状態でクリアする。,True
4,少数精鋭I,6～7体のペット編成でクリアする。,True
5,少数精鋭II,4～5体のペット編成でクリアする。,True
6,少数精鋭III,1～3体のペット編成でクリアする。,True
7,無傷の勝利［主］,プレイヤーのＨＰが100％の状態でクリアする。,True
8,無傷の勝利［従］,ペット全員のＨＰが100％の状態でクリアする。,True
9,連携を極めし者I,「万象流転」を5回以上成功させる。,False
10,連携を極めし者II,「万象流転」を10回以上成功させる。,False
11,連携を極めし者III,「万象流転」を15回以上成功させる。,False
12,見切りの極意,「ダメージ低下」と「被ダメージ上昇」を受けずにクリアする。,True
13,裸一貫,ビーストギアを入手せずにクリアする。,True
14,装備屋,ビーストギアを10個所持した状態でクリアする。,True
15,節約家,クルーシブルアイテムを一度も使用せずにクリアする。,True
16,収集家,クルーシブルアイテムを10個所持した状態でクリアする。,True
17,空腹王,フィードをペットに与えずにクリアする。,True
18,満腹王,ペットが食べているフィードが20個以上の状態でクリアする。,True
19,倹約家,ビーストコインを消費せずにクリアする。,True
20,資産家,ビーストコインを2000以上所持した状態でクリアする。,True
21,強行軍,テントで休息せずにクリアする。,True
22,百獣を統べる者,百獣綱のペットのみの編成でクリアする。,True
23,百蟲を統べる者,百蟲綱のペットのみの編成でクリアする。,True
24,有翼を統べる者,有翼綱のペットのみの編成でクリアする。,True
25,草木を統べる者,草木綱のペットのみの編成でクリアする。,True
26,水棲を統べる者,水棲綱のペットのみの編成でクリアする。,True
27,甲鱗を統べる者,甲鱗綱のペットのみの編成でクリアする。,True
28,呪具を統べる者,呪具綱のペットのみの編成でクリアする。,True
29,死屍を統べる者,死屍綱のペットのみの編成でクリアする。,True
30,獣道I,獣道Iでクリアする。,False
31,獣道II,獣道IIでクリアする。,False
32,獣道III,獣道IIIでクリアする。,False
