#,Name,Reward,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3]
10001,剣術士01,75,1,0,0,0,3,0,0,0
10002,剣術士02,180,206,0,0,0,3,0,0,0
10003,剣術士03,360,208,0,0,0,3,0,0,0
10004,剣術士04,410,209,0,0,0,3,0,0,0
10005,剣術士05,530,211,0,0,0,3,0,0,0
10006,剣術士06,980,213,0,0,0,3,0,0,0
10007,剣術士07,1100,210,0,0,0,3,0,0,0
10008,剣術士08,1300,217,0,0,0,3,0,0,0
10009,剣術士09,1600,220,0,0,0,3,0,0,0
10010,剣術士10,1700,223,224,0,0,3,3,0,0
10011,剣術士11,2300,228,229,0,0,3,3,0,0
10012,剣術士12,3200,227,0,0,0,3,0,0,0
10013,剣術士13,4000,230,0,0,0,3,0,0,0
10014,剣術士14,4500,232,0,0,0,3,0,0,0
10015,剣術士15,5000,234,0,0,0,3,0,0,0
10016,剣術士16,5300,235,0,0,0,3,0,0,0
10017,剣術士17,5500,237,0,0,0,3,0,0,0
10018,剣術士18,5700,240,0,0,0,3,0,0,0
10019,剣術士19,5900,238,0,0,0,3,0,0,0
10020,剣術士20,6100,242,244,0,0,3,3,0,0
10021,剣術士21,6300,32,137,0,0,4,3,0,0
10022,剣術士22,6500,245,0,0,0,4,0,0,0
10023,剣術士23,6700,138,0,0,0,4,0,0,0
10024,剣術士24,6900,34,0,0,0,4,0,0,0
10025,剣術士25,7100,150,0,0,0,4,0,0,0
10026,剣術士26,7600,252,0,0,0,4,0,0,0
10027,剣術士27,8600,255,0,0,0,4,0,0,0
10028,剣術士28,9400,158,0,0,0,4,0,0,0
10029,剣術士29,9700,161,0,0,0,4,0,0,0
10030,剣術士30,10000,37,38,0,0,4,3,0,0
10031,剣術士31,11000,165,42,0,0,4,3,0,0
10032,剣術士32,12000,39,166,0,0,4,3,0,0
10033,剣術士33,12500,265,0,0,0,4,0,0,0
10034,剣術士34,13000,171,0,0,0,4,0,0,0
10035,剣術士35,13500,64,0,0,0,4,0,0,0
10036,剣術士36,14000,271,0,0,0,4,0,0,0
10037,剣術士37,14500,294,0,0,0,4,0,0,0
10038,剣術士38,15000,176,0,0,0,4,0,0,0
10039,剣術士39,16000,301,0,0,0,4,0,0,0
10040,剣術士40,16500,306,66,0,0,4,3,0,0
10041,剣術士41,17000,67,72,0,0,5,2,0,0
10042,剣術士42,17500,179,184,0,0,5,2,0,0
10043,剣術士43,18000,73,187,0,0,5,2,0,0
10044,剣術士44,18500,319,0,0,0,5,0,0,0
10045,剣術士45,19000,311,0,0,0,5,0,0,0
10046,剣術士46,19500,313,0,0,0,3,0,0,0
10047,剣術士47,20000,280,0,0,0,5,0,0,0
10048,剣術士48,20500,200,0,0,0,5,0,0,0
10049,剣術士49,21000,290,0,0,0,5,0,0,0
10050,剣術士50,21500,332,90,0,0,5,5,0,0
20001,格闘士01,75,207,0,0,0,4,0,0,0
20002,格闘士02,180,206,0,0,0,4,0,0,0
20003,格闘士03,360,208,0,0,0,4,0,0,0
20004,格闘士04,410,209,0,0,0,4,0,0,0
20005,格闘士05,530,214,0,0,0,4,0,0,0
20006,格闘士06,980,9,0,0,0,4,0,0,0
20007,格闘士07,1100,217,0,0,0,4,0,0,0
20008,格闘士08,1300,218,0,0,0,4,0,0,0
20009,格闘士09,1600,219,0,0,0,4,0,0,0
20010,格闘士10,1700,225,226,222,0,2,2,2,0
20011,格闘士11,2300,228,0,0,0,4,0,0,0
20012,格闘士12,3200,227,0,0,0,4,0,0,0
20013,格闘士13,4000,233,0,0,0,4,0,0,0
20014,格闘士14,4500,232,0,0,0,4,0,0,0
20015,格闘士15,5000,115,234,235,0,2,2,2,0
20016,格闘士16,5300,237,0,0,0,4,0,0,0
20017,格闘士17,5500,241,0,0,0,4,0,0,0
20018,格闘士18,5700,239,0,0,0,4,0,0,0
20019,格闘士19,5900,238,0,0,0,4,0,0,0
20020,格闘士20,6100,243,242,244,0,2,2,2,0
20021,格闘士21,6300,134,0,0,0,5,0,0,0
20022,格闘士22,6500,136,0,0,0,5,0,0,0
20023,格闘士23,6700,33,0,0,0,5,0,0,0
20024,格闘士24,6900,34,0,0,0,5,0,0,0
20025,格闘士25,7100,139,149,258,0,3,3,3,0
20026,格闘士26,7600,157,0,0,0,5,0,0,0
20027,格闘士27,8600,260,0,0,0,5,0,0,0
20028,格闘士28,9400,156,0,0,0,5,0,0,0
20029,格闘士29,9700,160,0,0,0,5,0,0,0
20030,格闘士30,10000,37,169,167,0,3,3,3,0
20031,格闘士31,11000,41,0,0,0,5,0,0,0
20032,格闘士32,12000,264,0,0,0,5,0,0,0
20033,格闘士33,12500,269,0,0,0,5,0,0,0
20034,格闘士34,13000,171,0,0,0,5,0,0,0
20035,格闘士35,13500,51,56,58,0,3,3,3,0
20036,格闘士36,14000,64,0,0,0,5,0,0,0
20037,格闘士37,14500,296,0,0,0,5,0,0,0
20038,格闘士38,15000,298,0,0,0,5,0,0,0
20039,格闘士39,16000,300,0,0,0,5,0,0,0
20040,格闘士40,16500,303,177,178,0,3,3,3,0
20041,格闘士41,17000,275,0,0,0,6,0,0,0
20042,格闘士42,17500,73,0,0,0,6,0,0,0
20043,格闘士43,18000,189,0,0,0,2,0,0,0
20044,格闘士44,18500,190,0,0,0,6,0,0,0
20045,格闘士45,19000,334,309,317,0,3,3,3,0
20046,格闘士46,19500,312,0,0,0,6,0,0,0
20047,格闘士47,20000,321,0,0,0,6,0,0,0
20048,格闘士48,20500,193,0,0,0,6,0,0,0
20049,格闘士49,21000,326,0,0,0,6,0,0,0
20050,格闘士50,21500,282,290,88,0,3,3,4,0
30001,斧術士01,75,1,0,0,0,3,0,0,0
30002,斧術士02,180,2,0,0,0,3,0,0,0
30003,斧術士03,360,3,0,0,0,3,0,0,0
30004,斧術士04,410,7,0,0,0,3,0,0,0
30005,斧術士05,530,6,0,0,0,3,0,0,0
30006,斧術士06,980,8,0,0,0,3,0,0,0
30007,斧術士07,1100,11,0,0,0,3,0,0,0
30008,斧術士08,1300,12,0,0,0,3,0,0,0
30009,斧術士09,1600,15,0,0,0,3,0,0,0
30010,斧術士10,1700,17,0,0,0,3,0,0,0
30011,斧術士11,2300,18,0,0,0,4,0,0,0
30012,斧術士12,3200,20,0,0,0,4,0,0,0
30013,斧術士13,4000,21,0,0,0,4,0,0,0
30014,斧術士14,4500,22,0,0,0,4,0,0,0
30015,斧術士15,5000,23,0,0,0,4,0,0,0
30016,斧術士16,5300,24,0,0,0,4,0,0,0
30017,斧術士17,5500,25,26,27,0,4,3,2,0
30018,斧術士18,5700,29,0,0,0,4,0,0,0
30019,斧術士19,5900,28,0,0,0,4,0,0,0
30020,斧術士20,6100,30,0,0,0,4,0,0,0
30021,斧術士21,6300,32,0,0,0,4,0,0,0
30022,斧術士22,6500,135,0,0,0,4,0,0,0
30023,斧術士23,6700,246,0,0,0,4,0,0,0
30024,斧術士24,6900,145,0,0,0,4,0,0,0
30025,斧術士25,7100,149,0,0,0,4,0,0,0
30026,斧術士26,7600,252,0,0,0,4,0,0,0
30027,斧術士27,8600,150,251,257,0,4,3,2,0
30028,斧術士28,9400,256,0,0,0,4,0,0,0
30029,斧術士29,9700,159,0,0,0,4,0,0,0
30030,斧術士30,10000,165,0,0,0,4,0,0,0
30031,斧術士31,11000,168,0,0,0,4,0,0,0
30032,斧術士32,12000,166,269,48,0,4,3,2,0
30033,斧術士33,12500,46,0,0,0,4,0,0,0
30034,斧術士34,13000,52,0,0,0,4,0,0,0
30035,斧術士35,13500,56,0,0,0,4,0,0,0
30036,斧術士36,14000,294,0,0,0,4,0,0,0
30037,斧術士37,14500,297,296,300,0,4,3,2,0
30038,斧術士38,15000,302,0,0,0,4,0,0,0
30039,斧術士39,16000,303,0,0,0,4,0,0,0
30040,斧術士40,16500,66,0,0,0,4,0,0,0
30041,斧術士41,17000,178,0,0,0,5,0,0,0
30042,斧術士42,17500,275,73,187,0,5,3,2,0
30043,斧術士43,18000,186,0,0,0,1,0,0,0
30044,斧術士44,18500,190,0,0,0,5,0,0,0
30045,斧術士45,19000,309,0,0,0,5,0,0,0
30046,斧術士46,19500,322,0,0,0,5,0,0,0
30047,斧術士47,20000,78,192,278,0,5,3,2,0
30048,斧術士48,20500,202,0,0,0,5,0,0,0
30049,斧術士49,21000,283,0,0,0,5,0,0,0
30050,斧術士50,21500,93,0,0,0,5,0,0,0
40001,槍術士01,75,1,0,0,0,3,0,0,0
40002,槍術士02,180,95,0,0,0,3,0,0,0
40003,槍術士03,360,96,0,0,0,3,0,0,0
40004,槍術士04,410,97,0,0,0,3,0,0,0
40005,槍術士05,530,100,0,0,0,3,0,0,0
40006,槍術士06,980,102,0,0,0,3,0,0,0
40007,槍術士07,1100,103,104,0,0,3,3,0,0
40008,槍術士08,1300,105,0,0,0,3,0,0,0
40009,槍術士09,1600,108,111,0,0,3,3,0,0
40010,槍術士10,1700,109,0,0,0,3,0,0,0
40011,槍術士11,2300,115,0,0,0,3,0,0,0
40012,槍術士12,3200,116,0,0,0,3,0,0,0
40013,槍術士13,4000,118,0,0,0,3,0,0,0
40014,槍術士14,4500,119,0,0,0,3,0,0,0
40015,槍術士15,5000,120,121,0,0,3,3,0,0
40016,槍術士16,5300,122,0,0,0,3,0,0,0
40017,槍術士17,5500,123,126,0,0,3,3,0,0
40018,槍術士18,5700,132,0,0,0,3,0,0,0
40019,槍術士19,5900,130,131,0,0,3,3,0,0
40020,槍術士20,6100,133,0,0,0,3,0,0,0
40021,槍術士21,6300,32,0,0,0,4,0,0,0
40022,槍術士22,6500,136,0,0,0,4,0,0,0
40023,槍術士23,6700,246,0,0,0,4,0,0,0
40024,槍術士24,6900,147,0,0,0,4,0,0,0
40025,槍術士25,7100,248,151,0,0,3,4,0,0
40026,槍術士26,7600,252,0,0,0,4,0,0,0
40027,槍術士27,8600,257,158,0,0,4,3,0,0
40028,槍術士28,9400,261,0,0,0,4,0,0,0
40029,槍術士29,9700,162,37,0,0,4,3,0,0
40030,槍術士30,10000,164,0,0,0,4,0,0,0
40031,槍術士31,11000,165,0,0,0,4,0,0,0
40032,槍術士32,12000,40,0,0,0,4,0,0,0
40033,槍術士33,12500,268,269,0,0,4,3,0,0
40034,槍術士34,13000,172,0,0,0,4,0,0,0
40035,槍術士35,13500,63,58,0,0,4,3,0,0
40036,槍術士36,14000,297,0,0,0,4,0,0,0
40037,槍術士37,14500,294,173,0,0,4,3,0,0
40038,槍術士38,15000,175,0,0,0,4,0,0,0
40039,槍術士39,16000,302,305,0,0,4,3,0,0
40040,槍術士40,16500,274,0,0,0,4,0,0,0
40041,槍術士41,17000,308,307,0,0,5,4,0,0
40042,槍術士42,17500,73,0,0,0,5,0,0,0
40043,槍術士43,18000,187,189,0,0,5,2,0,0
40044,槍術士44,18500,190,0,0,0,5,0,0,0
40045,槍術士45,19000,333,311,0,0,4,5,0,0
40046,槍術士46,19500,312,0,0,0,5,0,0,0
40047,槍術士47,20000,77,325,0,0,5,4,0,0
40048,槍術士48,20500,327,0,0,0,5,0,0,0
40049,槍術士49,21000,204,290,0,0,5,4,0,0
40050,槍術士50,21500,92,0,0,0,5,0,0,0
50001,弓術士01,75,1,0,0,0,4,0,0,0
50002,弓術士02,180,95,0,0,0,4,0,0,0
50003,弓術士03,360,96,0,0,0,4,0,0,0
50004,弓術士04,410,97,0,0,0,4,0,0,0
50005,弓術士05,530,101,0,0,0,4,0,0,0
50006,弓術士06,980,98,0,0,0,4,0,0,0
50007,弓術士07,1100,103,0,0,0,4,0,0,0
50008,弓術士08,1300,108,0,0,0,4,0,0,0
50009,弓術士09,1600,107,0,0,0,4,0,0,0
50010,弓術士10,1700,110,0,0,0,4,0,0,0
