#,Item,Icon,ModelID,PlantPotFlowerSeed,SE,IsPlantPotFlowerSeed
0,0,0,0,0,False,False
1,4785,66501,2,0,False,False
2,4777,66502,2,0,False,False
3,4778,66503,2,0,False,False
4,4782,66504,2,0,False,False
5,4804,66505,2,0,False,False
6,4787,66506,2,0,False,False
7,4821,66507,2,0,False,False
8,4788,66508,2,0,False,False
9,4789,66509,2,0,False,False
10,6148,66510,2,0,False,False
11,4809,66551,3,0,False,False
12,4808,66552,3,0,False,False
13,4810,66553,3,0,False,False
14,4811,66554,3,0,False,False
15,4812,66555,3,0,False,False
16,4814,66556,3,0,False,False
17,6146,66557,3,0,False,False
18,4815,66558,3,0,False,False
19,6147,66559,3,0,False,False
20,4816,66560,3,0,False,False
21,4829,66601,1,0,False,False
22,5539,66602,1,0,False,False
23,4830,66603,1,0,False,False
24,4835,66604,1,0,False,False
25,4836,66605,1,0,False,False
26,5542,66606,1,0,False,False
27,5346,66607,1,0,False,False
28,4837,66608,1,0,False,False
29,5543,66609,1,0,False,False
30,4842,66610,1,0,False,False
31,7768,66651,1,0,False,False
32,7769,66652,1,0,False,False
33,7770,66653,1,0,False,False
34,7602,66654,1,0,False,False
35,7603,66655,2,0,False,False
36,7604,66656,3,0,False,False
37,7592,66657,3,0,False,False
38,7593,66661,2,0,False,False
39,7591,66660,1,0,False,False
40,7773,66701,3,0,True,False
41,7774,66702,1,0,True,False
42,7775,66703,3,0,True,False
43,7776,66704,1,0,True,False
44,7894,66511,4,0,False,False
45,7895,66512,4,0,False,False
46,7897,66513,4,0,False,False
47,7898,66508,4,0,False,False
48,7900,66510,4,0,False,False
49,8165,66503,4,0,False,False
50,8166,66502,4,0,True,False
51,8192,66662,5,0,True,False
52,8193,66663,5,0,True,False
53,8194,66664,5,0,True,False
54,8195,66665,5,0,True,False
55,8196,66666,5,0,True,False
56,8023,66667,1,0,True,False
57,4868,66514,4,0,False,False
58,8157,66553,4,0,False,False
59,8158,66555,4,0,False,False
60,8159,66515,4,0,False,False
61,8160,66556,4,0,False,False
62,8161,66552,4,0,False,False
63,8162,66560,4,0,False,False
64,8163,66554,4,0,False,False
65,12896,66561,3,0,False,False
66,12884,66516,2,0,False,False
67,12877,66509,2,0,False,False
68,12882,66660,1,0,False,False
69,13754,66517,2,0,True,False
70,14071,66502,101,1,False,True
71,2,66726,6,0,False,False
72,3,66727,6,0,False,False
73,4,66728,6,0,False,False
74,5,66729,6,0,False,False
75,6,66730,6,0,False,False
76,7,66731,6,0,False,False
77,15857,66602,1,0,False,False
78,15858,66609,1,0,False,False
79,16022,66502,102,2,False,True
80,17048,66502,106,3,False,True
81,17548,66562,3,0,False,False
82,17999,66502,107,4,False,True
83,20796,66502,105,5,False,True
84,20791,66611,1,0,False,False
85,20793,66518,2,0,True,False
86,21876,66502,103,6,False,True
87,22590,66502,109,7,False,True
88,24166,66502,104,8,False,True
89,24542,66502,108,9,False,True
90,27321,66502,110,10,False,True
91,28176,66502,112,11,False,True
92,28953,66502,113,12,False,True
93,30371,66502,115,13,False,True
94,30873,66519,7,0,True,False
95,32813,66502,114,14,False,True
96,33307,66502,116,15,False,True
97,35745,66502,118,16,False,True
98,37303,66502,119,17,False,True
99,38660,66502,120,18,False,True
100,39461,66502,121,19,False,True
101,40687,66502,122,20,False,True
102,41161,66502,117,21,False,True
103,43963,66502,123,22,False,True
104,44833,66502,124,23,False,True
105,47951,66502,125,24,False,True
106,46804,66502,126,25,False,True
107,49774,66502,127,26,False,True
