#,Singular,Plural,Description,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown_70_4,Pronoun,Article,Model,Icon,Unknown_70_8,Style
0,,,,,0,0,0,1,0,0,0,0,0,-1
1,オーバルグラス,,カラー：プレーンのフェイスアクセサリー,オーバルグラス,0,0,0,1,0,0,71037,200049,0,0
2,オーバルグラス:シルバー,,カラー：シルバーのフェイスアクセサリー,オーバルグラス:シルバー,0,0,0,1,0,0,136573,200053,0,0
3,オーバルグラス:ゴールド,,カラー：ゴールドのフェイスアクセサリー,オーバルグラス:ゴールド,0,0,0,1,0,0,202109,200052,0,0
4,オーバルグラス:ブラック,,カラー：ブラックのフェイスアクセサリー,オーバルグラス:ブラック,0,0,0,1,0,0,267645,200054,0,0
5,オーバルグラス:ホワイト,,カラー：ホワイトのフェイスアクセサリー,オーバルグラス:ホワイト,0,0,0,1,0,0,333181,200059,0,0
6,オーバルグラス:グレー,,カラー：グレーのフェイスアクセサリー,オーバルグラス:グレー,0,0,0,1,0,0,398717,200050,0,0
7,オーバルグラス:レッド,,カラー：レッドのフェイスアクセサリー,オーバルグラス:レッド,0,0,0,1,0,0,464253,200057,0,0
8,オーバルグラス:ブルー,,カラー：ブルーのフェイスアクセサリー,オーバルグラス:ブルー,0,0,0,1,0,0,529789,200056,0,0
9,オーバルグラス:グリーン,,カラー：グリーンのフェイスアクセサリー,オーバルグラス:グリーン,0,0,0,1,0,0,595325,200060,0,0
10,オーバルグラス:ブラス,,カラー：ブラスのフェイスアクセサリー,オーバルグラス:ブラス,0,0,0,1,0,0,660861,200051,0,0
11,オーバルグラス:パープル,,カラー：パープルのフェイスアクセサリー,オーバルグラス:パープル,0,0,0,1,0,0,726397,200055,0,0
12,オーバルグラス:ブラウン,,カラー：ブラウンのフェイスアクセサリー,オーバルグラス:ブラウン,0,0,0,1,0,0,791933,200058,0,0
13,シェイデッドグラス,,カラー：プレーンのフェイスアクセサリー,シェイデッドグラス,0,0,0,1,0,0,71038,200085,0,1
14,シェイデッドグラス:シルバー,,カラー：シルバーのフェイスアクセサリー,シェイデッドグラス:シルバー,0,0,0,1,0,0,136574,200089,0,1
15,シェイデッドグラス:ゴールド,,カラー：ゴールドのフェイスアクセサリー,シェイデッドグラス:ゴールド,0,0,0,1,0,0,202110,200088,0,1
16,シェイデッドグラス:ブラック,,カラー：ブラックのフェイスアクセサリー,シェイデッドグラス:ブラック,0,0,0,1,0,0,267646,200090,0,1
17,シェイデッドグラス:ホワイト,,カラー：ホワイトのフェイスアクセサリー,シェイデッドグラス:ホワイト,0,0,0,1,0,0,333182,200095,0,1
18,シェイデッドグラス:グレー,,カラー：グレーのフェイスアクセサリー,シェイデッドグラス:グレー,0,0,0,1,0,0,398718,200086,0,1
19,シェイデッドグラス:レッド,,カラー：レッドのフェイスアクセサリー,シェイデッドグラス:レッド,0,0,0,1,0,0,464254,200093,0,1
20,シェイデッドグラス:ブルー,,カラー：ブルーのフェイスアクセサリー,シェイデッドグラス:ブルー,0,0,0,1,0,0,529790,200092,0,1
21,シェイデッドグラス:グリーン,,カラー：グリーンのフェイスアクセサリー,シェイデッドグラス:グリーン,0,0,0,1,0,0,595326,200096,0,1
22,シェイデッドグラス:ブラス,,カラー：ブラスのフェイスアクセサリー,シェイデッドグラス:ブラス,0,0,0,1,0,0,660862,200087,0,1
23,シェイデッドグラス:パープル,,カラー：パープルのフェイスアクセサリー,シェイデッドグラス:パープル,0,0,0,1,0,0,726398,200091,0,1
24,シェイデッドグラス:ブラウン,,カラー：ブラウンのフェイスアクセサリー,シェイデッドグラス:ブラウン,0,0,0,1,0,0,791934,200094,0,1
25,クラシックグラス,,カラー：プレーンのフェイスアクセサリー,クラシックグラス,0,0,0,1,0,0,71039,200061,0,2
26,クラシックグラス:シルバー,,カラー：シルバーのフェイスアクセサリー,クラシックグラス:シルバー,0,0,0,1,0,0,136575,200065,0,2
27,クラシックグラス:ゴールド,,カラー：ゴールドのフェイスアクセサリー,クラシックグラス:ゴールド,0,0,0,1,0,0,202111,200064,0,2
28,クラシックグラス:ブラック,,カラー：ブラックのフェイスアクセサリー,クラシックグラス:ブラック,0,0,0,1,0,0,267647,200066,0,2
29,クラシックグラス:ホワイト,,カラー：ホワイトのフェイスアクセサリー,クラシックグラス:ホワイト,0,0,0,1,0,0,333183,200071,0,2
30,クラシックグラス:グレー,,カラー：グレーのフェイスアクセサリー,クラシックグラス:グレー,0,0,0,1,0,0,398719,200062,0,2
31,クラシックグラス:レッド,,カラー：レッドのフェイスアクセサリー,クラシックグラス:レッド,0,0,0,1,0,0,464255,200069,0,2
32,クラシックグラス:ブルー,,カラー：ブルーのフェイスアクセサリー,クラシックグラス:ブルー,0,0,0,1,0,0,529791,200068,0,2
33,クラシックグラス:グリーン,,カラー：グリーンのフェイスアクセサリー,クラシックグラス:グリーン,0,0,0,1,0,0,595327,200072,0,2
34,クラシックグラス:ブラス,,カラー：ブラスのフェイスアクセサリー,クラシックグラス:ブラス,0,0,0,1,0,0,660863,200063,0,2
35,クラシックグラス:パープル,,カラー：パープルのフェイスアクセサリー,クラシックグラス:パープル,0,0,0,1,0,0,726399,200067,0,2
36,クラシックグラス:ブラウン,,カラー：ブラウンのフェイスアクセサリー,クラシックグラス:ブラウン,0,0,0,1,0,0,791935,200070,0,2
37,ローズカラースペクタクルズ,,カラー：プレーンのフェイスアクセサリー,ローズカラースペクタクルズ,0,0,0,1,0,0,71040,200013,0,3
38,ローズカラースペクタクルズ:シルバー,,カラー：シルバーのフェイスアクセサリー,ローズカラースペクタクルズ:シルバー,0,0,0,1,0,0,136576,200017,0,3
39,ローズカラースペクタクルズ:ゴールド,,カラー：ゴールドのフェイスアクセサリー,ローズカラースペクタクルズ:ゴールド,0,0,0,1,0,0,202112,200016,0,3
40,ローズカラースペクタクルズ:ブラック,,カラー：ブラックのフェイスアクセサリー,ローズカラースペクタクルズ:ブラック,0,0,0,1,0,0,267648,200018,0,3
41,ローズカラースペクタクルズ:ホワイト,,カラー：ホワイトのフェイスアクセサリー,ローズカラースペクタクルズ:ホワイト,0,0,0,1,0,0,333184,200023,0,3
42,ローズカラースペクタクルズ:グレー,,カラー：グレーのフェイスアクセサリー,ローズカラースペクタクルズ:グレー,0,0,0,1,0,0,398720,200014,0,3
43,ローズカラースペクタクルズ:レッド,,カラー：レッドのフェイスアクセサリー,ローズカラースペクタクルズ:レッド,0,0,0,1,0,0,464256,200021,0,3
44,ローズカラースペクタクルズ:ブルー,,カラー：ブルーのフェイスアクセサリー,ローズカラースペクタクルズ:ブルー,0,0,0,1,0,0,529792,200020,0,3
45,ローズカラースペクタクルズ:グリーン,,カラー：グリーンのフェイスアクセサリー,ローズカラースペクタクルズ:グリーン,0,0,0,1,0,0,595328,200024,0,3
46,ローズカラースペクタクルズ:ブラス,,カラー：ブラスのフェイスアクセサリー,ローズカラースペクタクルズ:ブラス,0,0,0,1,0,0,660864,200015,0,3
47,ローズカラースペクタクルズ:パープル,,カラー：パープルのフェイスアクセサリー,ローズカラースペクタクルズ:パープル,0,0,0,1,0,0,726400,200019,0,3
48,ローズカラースペクタクルズ:ブラウン,,カラー：ブラウンのフェイスアクセサリー,ローズカラースペクタクルズ:ブラウン,0,0,0,1,0,0,791936,200022,0,3
49,ベーシックスペクタクルズ,,カラー：プレーンのフェイスアクセサリー,ベーシックスペクタクルズ,0,0,0,1,0,0,71041,200001,0,4
50,ベーシックスペクタクルズ:シルバー,,カラー：シルバーのフェイスアクセサリー,ベーシックスペクタクルズ:シルバー,0,0,0,1,0,0,136577,200005,0,4
51,ベーシックスペクタクルズ:ゴールド,,カラー：ゴールドのフェイスアクセサリー,ベーシックスペクタクルズ:ゴールド,0,0,0,1,0,0,202113,200004,0,4
52,ベーシックスペクタクルズ:ブラック,,カラー：ブラックのフェイスアクセサリー,ベーシックスペクタクルズ:ブラック,0,0,0,1,0,0,267649,200006,0,4
53,ベーシックスペクタクルズ:ホワイト,,カラー：ホワイトのフェイスアクセサリー,ベーシックスペクタクルズ:ホワイト,0,0,0,1,0,0,333185,200011,0,4
