#,Name,Icon,Category,Order,ClassJob,Unknown0
0,,0,0,0,0,False
1,武器,60102,0,0,0,False
2,製作道具,60113,0,0,0,False
3,採集道具,60120,0,0,0,False
4,防具,60126,0,0,0,False
5,アクセサリ,60135,0,0,0,False
6,薬品・食品,60136,0,0,0,False
7,素材,60137,0,0,0,False
8,その他,60159,0,0,0,False
9,格闘武器,60101,1,6,2,False
10,片手剣,60102,1,0,1,False
11,斧,60103,1,1,3,False
12,弓,60105,1,10,5,False
13,槍,60104,1,4,4,False
14,呪具,60108,1,13,7,False
15,幻具,60107,1,17,6,False
16,魔道書,60109,1,14,26,False
17,盾,60110,2,0,0,False
18,投擲武器,60111,0,0,0,False
19,木工道具,60112,1,21,8,False
20,鍛冶道具,60113,1,22,9,False
21,甲冑道具,60114,1,23,10,False
22,彫金道具,60115,1,24,11,False
23,革細工道具,60116,1,25,12,False
24,裁縫道具,60117,1,26,13,False
25,錬金道具,60118,1,27,14,False
26,調理道具,60119,1,28,15,False
27,採掘道具,60120,1,29,16,False
28,園芸道具,60121,1,30,17,False
29,漁道具,60122,1,31,18,False
30,釣り餌,60123,1,32,18,False
31,頭防具,60124,2,1,0,False
32,胴下着,60125,0,0,0,False
33,胴防具,60126,2,2,0,False
34,脚下着,60127,0,0,0,False
35,脚防具,60128,2,4,0,False
36,手防具,60129,2,3,0,False
37,足防具,60130,2,5,0,False
38,帯防具,60131,0,0,0,False
39,首飾り,60132,2,7,0,False
40,耳飾り,60133,2,6,0,False
41,腕輪,60134,2,8,0,False
42,指輪,60135,2,9,0,False
43,薬品,60136,3,0,0,False
44,食材,60137,3,1,0,False
45,調理品,60146,3,2,0,False
46,水産物,60138,3,3,0,False
47,石材,60139,3,4,0,False
48,金属材,60140,3,5,0,False
49,木材,60141,3,6,0,False
50,布材,60142,3,7,0,False
51,皮革材,60143,3,8,0,False
52,骨材,60144,3,9,0,False
53,錬金術材,60145,3,10,0,False
54,染料,60147,3,11,0,False
55,部品,60148,3,12,0,False
56,調度品(一般),60164,4,3,0,False
57,マテリア,60150,3,13,0,False
58,クリスタル,60151,3,14,0,False
59,触媒,60152,3,15,0,False
60,雑貨,60153,3,16,0,False
61,ソウルクリスタル,60157,0,0,0,False
62,矢,60153,0,0,0,False
63,クエストアイテム,60158,0,0,0,False
64,その他,60159,0,0,0,False
65,外装建材,60160,4,0,0,False
66,内装建材,60161,4,1,0,False
67,庭具,60168,4,2,0,False
68,調度品(椅子・寝台),60165,4,4,0,False
69,調度品(台座),60162,4,5,0,False
70,調度品(卓上),60163,4,6,0,False
71,調度品(壁掛),60166,4,7,0,False
72,調度品(敷物),60167,4,8,0,False
73,双剣,60106,1,8,29,False
74,雑貨(シーズナル),60154,3,17,0,False
75,ミニオン,60155,3,19,0,True
76,両手剣,60170,1,2,32,False
77,銃,60172,1,11,31,False
78,天球儀,60171,1,19,33,False
79,飛空艇・潜水艦部品,60169,3,20,0,False
80,オーケストリオン関連品,60173,3,21,0,True
81,栽培用品,60174,4,9,0,False
82,絵画,60175,4,10,0,False
83,刀,60177,1,7,34,False
84,細剣,60176,1,15,35,False
85,魔道書(学者専用),60178,1,18,28,False
86,ガンブレード,60181,1,3,37,False
87,投擲武器,60182,1,12,38,False
88,両手鎌,60183,1,5,39,False
89,賢具,60184,1,20,40,False
90,雑貨(修得/登録系),60185,3,18,0,True
91,二刀流武器,60187,1,9,41,False
92,筆,60188,1,16,42,False
93,,0,0,0,0,False
94,,0,0,0,0,False
95,,0,0,0,0,False
96,,0,0,0,0,False
97,,0,0,0,0,False
98,,0,0,0,0,False
99,,0,0,0,0,False
100,,0,0,0,0,False
