#,SatisfactionSupplyRewardData[0].RewardCurrency,SatisfactionSupplyRewardData[0].QuantityLow,SatisfactionSupplyRewardData[0].QuantityMid,SatisfactionSupplyRewardData[0].QuantityHigh,SatisfactionSupplyRewardData[1].RewardCurrency,SatisfactionSupplyRewardData[1].QuantityLow,SatisfactionSupplyRewardData[1].QuantityMid,SatisfactionSupplyRewardData[1].QuantityHigh,SatisfactionLow,SatisfactionMid,SatisfactionHigh,GilLow,GilMid,GilHigh,BonusMultiplier,MinLevelForSecondReward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
2,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
3,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
4,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
5,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
6,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
7,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
8,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
9,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
10,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
11,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
12,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
13,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
14,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
15,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
16,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
17,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
18,4,114,137,160,7,81,96,110,130,130,130,900,1120,1340,100,0
19,2,124,147,170,6,86,101,115,180,180,180,1010,1260,1510,100,0
20,4,124,147,170,7,86,101,115,180,180,180,1010,1260,1510,100,0
21,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,100,0
22,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,100,0
23,2,134,157,180,6,91,106,120,0,0,0,1120,1400,1670,150,0
24,4,134,157,180,7,91,106,120,0,0,0,1120,1400,1670,150,0
25,2,94,117,140,6,71,86,100,30,30,30,670,840,1000,100,0
26,4,94,117,140,7,71,86,100,30,30,30,670,840,1000,100,0
27,2,104,127,150,6,76,91,105,80,80,80,780,980,1170,100,0
28,4,104,127,150,7,76,91,105,80,80,80,780,980,1170,100,0
29,2,114,137,160,6,81,96,110,130,130,130,900,1120,1340,100,0
