#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,都市内の巡察,リムサ・ロミンサ都市内の定期巡回を命じる。指定された巡回地点を巡り、都市内の安全を確保されたし。,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,7500,0,5,8,1,100,0,1
2,近隣拠点への伝令,デネベール関門への伝令を命じる。軍関係の書類を該当施設に駐屯する部隊へと届けるべし。,0,165,160,160,0,20,20,20,20,0,165,160,160,0,20,20,20,20,0,165,170,150,0,20,20,20,20,0,150,170,165,0,20,20,20,20,0,160,150,175,0,20,20,20,20,0,150,160,175,0,20,20,20,20,7500,500,8,0,1,20,0,1
3,都市周辺の街道巡回,中央ラノシアの主要街道の巡回を命じる。都市民や旅人、隊商たちの安全を脅かす魔物は、発見次第、排除すべし。,0,245,155,200,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,150,255,195,0,20,20,20,20,0,195,255,150,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,195,155,250,0,20,20,20,20,9000,500,8,0,1,20,0,1
4,蛮族部隊の偵察,低地ラノシアにてコボルド族を目撃したとの情報が寄せられた。ただちに現場に急行し、敵軍の動向を偵察し報告せよ。,0,150,255,195,0,20,20,20,20,0,195,155,250,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,245,155,200,0,20,20,20,20,0,195,255,150,0,20,20,20,20,10500,500,8,0,5,20,0,1
5,補給部隊の護衛,キャンプ・スカルバレーに向かう補給部隊の護衛を命じる。いかなる時も警戒を怠らず、補給部隊の安全を確保せよ。,0,210,125,310,0,20,20,20,20,0,125,210,310,0,20,20,20,20,0,305,210,130,0,20,20,20,20,0,305,130,210,0,20,20,20,20,0,210,320,115,0,20,20,20,20,0,115,320,210,0,20,20,20,20,12000,500,8,0,10,20,0,1
6,害獣の駆除,中央ラノシアの住人から、グゥーブーの駆除要請が届いた。ただちに現場に赴き、これ以上の害獣被害を食い止めよ。,14945,140,225,325,1,20,20,20,20,14945,225,140,325,1,20,20,20,20,14945,320,145,225,1,20,20,20,20,14945,320,225,145,1,20,20,20,20,14945,130,335,225,1,20,20,20,20,14945,225,335,130,1,20,20,20,20,13500,500,8,0,15,20,0,1
7,重要任務：低級妖異の排除,ささやきの谷にて、低級妖異と思しき影が目撃された。このまま捨て置けば、いずれ現地住民に被害が出かねない。ただちに現場に急行し、確実にすべての妖異を撃滅せよ。,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,21000,2000,10,12,20,0,0,1
8,前線部隊の支援,キャンプ・スカルバレーの駐留部隊より、支援要請が入った。コボルド族の迎撃に向かう当地の部隊を支援せよ。,0,265,140,420,0,20,20,20,20,0,410,145,270,0,20,20,20,20,0,265,435,125,0,20,20,20,20,0,140,265,420,0,20,20,20,20,0,410,270,145,0,20,20,20,20,0,125,435,265,0,20,20,20,20,15000,1000,12,0,20,20,0,2
9,同盟軍将校の護衛,重要な会合のため、双蛇党の将校が我が都市に来訪することになった。ランディングにて出迎え、滞在期間中の案内と護衛に万全を尽くせ。,0,270,440,130,0,20,20,20,20,0,130,440,270,0,20,20,20,20,0,270,145,425,0,20,20,20,20,0,145,270,425,0,20,20,20,20,0,415,275,150,0,20,20,20,20,0,415,150,275,0,20,20,20,20,16500,1000,12,0,20,20,0,2
10,郊外の街道巡回,東ラノシアの主要街道の巡回を命じる。物資輸送の要となる街道の治安を守るべく、目を光らせよ。,0,425,285,160,0,20,20,20,20,0,140,450,280,0,20,20,20,20,0,280,155,435,0,20,20,20,20,0,425,160,285,0,20,20,20,20,0,280,450,140,0,20,20,20,20,0,155,280,435,0,20,20,20,20,19500,1000,12,0,25,20,0,2
11,蛮族拠点の威力偵察,コボルド軍試掘地への威力偵察を命じる。敵性蛮族の迎撃が予想されるが、これを排除しつつ情報を持ち帰れ。,0,170,295,450,0,20,20,20,20,0,440,300,175,0,20,20,20,20,0,440,175,300,0,20,20,20,20,0,295,465,155,0,20,20,20,20,0,155,465,295,0,20,20,20,20,0,295,170,450,0,20,20,20,20,22500,1000,12,0,30,20,0,2
12,行方不明者の捜索,外地ラノシアにて、友軍部隊に行方不明者が出た。敵性勢力の影響力が強い地域だけに、迅速に捜索し救助せよ。,0,310,480,170,0,20,20,20,20,0,185,310,465,0,20,20,20,20,0,455,315,190,0,20,20,20,20,0,170,480,310,0,20,20,20,20,0,310,185,465,0,20,20,20,20,0,455,190,315,0,20,20,20,20,25500,1000,12,0,35,20,0,2
13,同盟軍との合同演習,不滅隊との合同演習が開催される。黒渦団の代表として参加し、我が軍の優秀性を示せ。,14945,455,190,315,1,20,20,20,20,14945,310,480,170,1,20,20,20,20,14945,170,480,310,1,20,20,20,20,14945,310,185,465,1,20,20,20,20,14945,185,310,465,1,20,20,20,20,14945,455,315,190,1,20,20,20,20,27000,1000,12,0,35,20,0,2
14,重要任務：クリスタル奪取作戦,敵性蛮族による蛮神タイタン召喚を阻害するため、コボルド軍試掘地からクリスタルを奪取する作戦が発動された。友軍部隊と協力しつつ敵拠点に潜入、目標物を奪い取れ。,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,13,15,40,0,0,2
15,重要任務：クリスタル奪取作戦,敵性蛮族による蛮神タイタン召喚を阻害するため、コボルド軍試掘地からクリスタルを奪取する作戦が発動された。友軍部隊と協力しつつ敵拠点に潜入、目標物を奪い取れ。,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,0,315,325,340,0,0,0,0,100,30000,4000,16,17,40,0,0,2
16,蛮族拠点の強襲,ウ・ガマロ武装鉱山に対する強襲作戦が発動した。ただちに友軍部隊と合流し、その一翼を担うべし。,14946,530,385,275,5,20,20,20,20,14946,530,275,385,5,20,20,20,20,14946,385,560,245,5,20,20,20,20,14946,245,560,385,5,20,20,20,20,14946,385,265,540,5,20,20,20,20,14946,265,385,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
17,違法武器売買の摘発,諜報部門より、違法な武器売買が行われるとの情報が寄せられた。指定された取引場所に赴き、犯罪者どもを一網打尽にすべし。,14947,385,560,245,5,20,20,20,20,14947,245,560,385,5,20,20,20,20,14947,385,265,540,5,20,20,20,20,14947,265,385,540,5,20,20,20,20,14947,530,385,275,5,20,20,20,20,14947,530,275,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
18,帝国軍拠点の強行偵察,カストルム・オクシデンス周辺に対する強行偵察を命じる。現地の帝国軍部隊の動向について、詳細な情報を持ち帰れ。,14948,385,265,540,5,20,20,20,20,14948,265,385,540,5,20,20,20,20,14948,530,385,275,5,20,20,20,20,14948,530,275,385,5,20,20,20,20,14948,385,560,245,5,20,20,20,20,14948,245,560,385,5,20,20,20,20,30000,2000,15,0,40,20,0,3
19,帝国軍脱走兵の追跡,東ラノシアにて、帝国軍の脱走兵と思しき人物が目撃された。ただちに現場に赴き、不審者を捜索して身柄を確保せよ。,14949,530,275,385,5,20,20,20,20,14949,385,560,245,5,20,20,20,20,14949,245,560,385,5,20,20,20,20,14949,385,265,540,5,20,20,20,20,14949,265,385,540,5,20,20,20,20,14949,530,385,275,5,20,20,20,20,30000,2000,15,0,40,20,0,3
20,帝国軍部隊への牽制攻撃,このほど、エオルゼア同盟軍としてモードゥナ地域における、帝国軍部隊に対する牽制攻撃を行う運びとなった。黒渦団を代表して参加し、作戦を成功に導け。,14950,245,560,385,5,20,20,20,20,14950,385,265,540,5,20,20,20,20,14950,265,385,540,5,20,20,20,20,14950,530,385,275,5,20,20,20,20,14950,530,275,385,5,20,20,20,20,14950,385,560,245,5,20,20,20,20,30000,2000,15,0,40,20,0,3
21,蛮族補給線の分断作戦,西ラノシアにおけるサハギン族の補給線を分断すべく、大部隊を投じた作戦を展開することとなった。軍令部の指示に従い、その一翼を担え。,14951,265,385,540,5,20,20,20,20,14951,530,385,275,5,20,20,20,20,14951,530,275,385,5,20,20,20,20,14951,385,560,245,5,20,20,20,20,14951,245,560,385,5,20,20,20,20,14951,385,265,540,5,20,20,20,20,30000,2000,15,0,40,20,0,3
