#,Description,DescriptionEnhanced,Tooltip,SpecialActionName,SpecialActionDescription,Attack,Defense,Speed,MinionSkillType,HasAreaAttack,StrengthGate,StrengthEye,StrengthShield,StrengthArcana
0,,,,,,100,100,3,0,False,False,False,False,False
1,"ミニオン「タイニーボム」を呼び出す。
人工孵化させたボムの幼生体。たぶん爆発しない",ボムの幼生体。異界「ヴォイド」由来のガス状生物「ボム」を、錬金術の技術を応用して人工孵化させたもの。木炭や青燐水、ファイアクリスタルなどの燃料を与えると、喜んで食べる。たぶん爆発しない,ギギ…ギギギ…,自爆,範囲内にいる敵に、ATK300のダメージを与える。ただし、特殊技ポイントを使用したミニオンは強制帰還する。,30,40,2,1,False,False,True,True,False
2,"ミニオン「マメット001」を呼び出す。
錬金術師ギルドと彫金師ギルドが共作した、からくり人形",ウルダハの彫金師ギルドが、錬金術師ギルドの協力を得て開発、製造した魔法人形「マメット」の市販モデル。型式001は、ベーシックな汎用機種であり、これをベースに様々な亜種が作られている,ピカピカ◎新品☆デス,解体,敵が配置したトラップがある場合、解除する。,25,45,1,6,False,True,True,False,True
3,"ミニオン「チョコチョコボ」を呼び出す。
チョコチョコ歩くチョコボの子",チョコチョコ歩くチョコボの子。冒険者のことを親だと思い込んでおり、どこまででもついてくる。タマゴのカラを後生大事に身に着け続けているのは、防具を装備する冒険者をマネしてのことらしい,クエーッ！,チョコダンス,"範囲内にいる敵に、タイプ「アニマル」を弱点に加える。
**効果時間：**15秒",60,30,3,4,False,True,True,False,False
4,"ミニオン「マメット・ケットシー」を呼び出す。
ケットシーを模した魔法人形",ミッドランダー族の民話に登場する妖精猫、ケットシーを模した魔法人形。彫金師ギルドマスター、セレンディピティーが、親を失った霊災遺児を慰めるために、ぬいぐるみにマメットを仕込んで作り上げた,…………,トイソルジャー,範囲内にいる味方の特殊技ポイントを10上昇させる。ただし特殊技が同効果なミニオンを除く。,55,65,2,3,False,True,False,True,False
5,"ミニオン「ベビーモス」を呼び出す。
ブヒーと鳴きそうな幼獣。親の顔が見てみたい",伝説の魔獣「ベヒーモス」の幼生体という触れ込みで、ウルダハの路上で売られていた謎の幼獣。紫色の肉体と黒いタテガミ、そして鈍く光る角を持っているが、ブヒーと鳴きそうな面構えをしている。親の顔が見てみたい,ブ、ブヒッ！？,ワイルドホーン,範囲内にいる敵に、ATK230のダメージを与える。,45,30,3,1,True,False,False,False,False
6,"ミニオン「マメット003L」を呼び出す。
黒渦団制式採用型からくり人形",リムサ・ロミンサのグランドカンパニー「黒渦団」が制式採用した魔法人形。軍事パレードの旗手役を務めるために設計されており、ピンと背筋を伸ばして雄々しく団旗を掲げる。しかし、背が低く、旗は誰にも見えなかった,提督ニ◎敬礼☆,黒渦の戦旗,"範囲内にいる敵のDEFを、50%低下させる。
**効果時間：**15秒",30,45,1,4,False,True,False,True,True
7,"ミニオン「マメット003G」を呼び出す。
双蛇党制式採用型からくり人形",グリダニアのグランドカンパニー「双蛇党」が制式採用した魔法人形。軍事パレードの旗手役を務めるために設計されており、ピンと背筋を伸ばして雄々しく党旗を掲げる。しかし、背が低く、旗は誰にも見えなかった,カヌ・エ様ニ◎敬礼☆,双蛇の戦旗,範囲内にいる味方の特殊技ポイントを10上昇させる。ただし特殊技が同効果なミニオンを除く。,35,55,1,3,True,True,False,False,True
8,"ミニオン「マメット003U」を呼び出す。
不滅隊制式採用型からくり人形",ウルダハのグランドカンパニー「不滅隊」が制式採用した魔法人形。軍事パレードの旗手役を務めるために設計されており、ピンと背筋を伸ばして雄々しく隊旗を掲げる。しかし、背が低く、旗は誰にも見えなかった,局長ニ◎敬礼☆,不滅の戦旗,"範囲内にいる敵のATKを、40%低下させる。
**効果時間：**6秒",30,35,1,4,False,True,True,False,True
9,"ミニオン「黒渦のチョコチョコボ」を呼び出す。
チョコチョコ歩くチョコボの子。黒渦団に忠誠を誓う",黒渦団に忠誠を誓うチョコボの子。ある日、黒渦団の厩務員が、掃除をするためチョコボ房に入ったところ、何故か当然のようにそこにいた。以来、隊のマスコットとなっていたが、本人の希望により冒険者部隊に転属した,クエッ、クエッ！,黒渦のチョコクライ,"範囲内にいる敵を移動不可にする。
**効果時間：**5秒",50,35,3,4,False,False,True,False,False
