#,LogMessage,Permission,LogMessagePriority,IsNetworked
0,0,0,0,False
1,7701,0,200,False
2,7702,0,200,False
3,7703,3,200,False
4,7704,4,200,False
5,7705,5,200,False
6,7706,6,200,False
7,7707,7,200,False
8,7708,8,200,False
9,7709,0,200,False
10,7710,0,200,False
11,7711,11,200,False
12,7712,0,200,False
13,7713,13,200,False
14,7714,0,200,False
15,7715,0,200,False
16,7716,16,200,False
17,0,0,0,False
18,0,0,0,False
19,0,0,0,False
20,0,0,0,False
21,0,0,0,False
22,0,0,0,False
23,0,0,0,False
24,0,0,0,False
25,7725,0,200,True
26,7726,0,200,True
27,7727,27,200,True
28,7728,0,200,True
29,7729,0,200,True
30,7730,0,200,True
31,7731,31,200,True
32,7732,32,200,True
33,7733,33,200,True
34,7734,0,200,True
35,7735,0,200,True
36,7736,0,200,True
37,7737,37,200,True
38,7738,0,200,True
39,7739,39,200,True
40,7740,0,200,True
41,7741,0,200,True
42,7742,0,200,True
43,7743,43,100,True
44,0,44,200,True
45,7745,0,200,True
46,7746,0,200,True
47,0,0,200,False
48,7748,0,200,False
49,7749,0,200,True
50,7750,50,200,True
51,7751,0,200,True
52,7752,0,200,False
53,7753,0,200,True
54,7754,0,1,True
55,7755,0,200,True
56,7756,0,200,True
57,7757,0,200,False
58,7758,58,200,True
59,7759,0,200,True
60,7760,0,200,True
61,7761,61,200,True
62,7762,0,200,True
63,7763,0,200,True
64,7764,64,200,True
65,7765,65,200,True
66,7766,66,200,True
67,7767,67,200,True
68,7768,0,200,True
69,7769,0,250,True
70,7770,70,200,True
71,7771,71,200,True
72,7772,0,200,True
73,7773,0,200,True
74,7771,74,200,True
75,7770,0,200,False
76,7776,76,200,True
77,7777,0,200,True
78,7778,78,200,True
79,7779,0,200,True
80,7780,0,200,True
81,7781,0,200,True
82,7782,0,200,True
83,7783,0,200,True
84,7784,0,200,True
85,0,0,200,True
86,7786,0,200,True
87,7787,0,200,True
88,7788,0,200,True
89,7789,0,200,True
90,7790,0,200,True
91,7791,0,200,True
92,7792,0,200,True
93,7793,0,200,True
94,7794,0,100,True
95,7795,0,200,True
96,7785,0,200,True
97,7797,0,200,True
98,7796,66,220,True
99,1625,0,220,True
100,7798,0,220,False
101,7800,0,200,True
102,7799,0,100,True
103,7801,0,100,True
104,7802,0,220,False
105,7803,0,220,False
106,0,0,0,False
107,0,0,0,False
108,0,0,0,False
109,0,0,0,False
110,0,0,0,False
111,0,0,0,False
