#,ContentArgument0,Unknown0,Unknown1,Unknown2,Unknown3,Balloon,Unknown4,Unknown5,Unknown6,Unknown7,Condition0Target,Condition0Type,Condition1Target,Condition1Type,ContentArgument1,Unknown8,Unknown9
30000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001.0,0,0,3285041,0,0,0,0,2,1,0,0,19,0,0,0,0,0
30001.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30001.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30002.0,3,1,3,0,0,1,3,0,1,0,0,18,18,1,0,0,23
30002.1,4,0,1,0,0,0,0,0,0,0,0,7,18,2,0,0,0
30003.0,5,0,785,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30003.1,8,0,0,0,0,0,0,0,0,0,2,9,18,1,0,0,0
30003.2,5,0,818,0,0,0,0,0,0,0,0,1,18,1,0,0,0
30004.0,5,0,785,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30004.1,8,0,0,0,0,0,0,0,0,0,2,9,18,1,0,0,0
30004.2,5,0,818,0,0,0,0,0,0,0,0,1,18,1,0,0,0
30005.0,5,0,785,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30005.1,8,0,0,0,0,0,0,0,0,0,2,9,18,1,0,0,0
30005.2,5,0,799,0,0,0,0,0,0,0,0,1,18,1,0,0,0
30006.0,5,0,854,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30006.1,5,0,785,0,0,0,0,0,0,0,0,1,18,1,0,0,0
30007.0,5,0,808,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30007.1,5,0,0,0,0,0,0,0,0,0,2,9,18,1,0,0,0
30007.2,5,0,786,0,0,0,0,0,0,0,0,1,18,1,0,0,0
30008.0,10,0,799,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30008.1,10,0,785,0,0,0,0,0,0,0,0,1,18,1,0,0,0
30009.0,10,0,786,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30009.1,10,90,0,0,0,0,0,0,0,0,2,9,18,1,0,18,3
30009.2,10,90,854,0,0,0,0,0,0,0,0,1,18,1,0,18,3
30009.3,10,90,786,0,0,0,0,0,0,0,0,1,18,1,0,18,4
30010.0,5,0,786,0,0,0,0,0,1,0,0,1,18,2,0,0,0
30010.1,5,0,0,0,0,0,0,0,0,0,2,9,18,1,0,0,0
30010.2,5,0,786,0,0,0,0,0,0,0,0,1,18,1,0,0,0
