#,Name,Description,Score,IsVisible
0,,,0,False
1,スピードスター,好記録タイムより、すばやくクリア,15000,True
2,タイムキーパー,標準タイムより、すばやくクリア,5000,True
3,10アクション,使用した青魔法が2種類以上、10種類以下,3000,True
4,4アクション,使用した青魔法が2種類以上、4種類以下,10000,True
5,ノーダメージ,ダメージを受けない,20000,True
6,ノーヒール,ＨＰ回復効果を使用しない,15000,True
7,メイジマッシャー,敵の詠唱をキャンセルした,1000,True
8,マイペース,スプリントを使用しない,3000,True
9,ファイアマスター,火属性と無属性の青魔法のみを使用,10000,True
10,ウォーターマスター,水属性と無属性の青魔法のみを使用,10000,True
11,アースマスター,土属性と無属性の青魔法のみを使用,10000,True
12,ウィンドマスター,風属性と無属性の青魔法のみを使用,10000,True
13,アイスマスター,氷属性と無属性の青魔法のみを使用,10000,True
14,ライトニングマスター,雷属性と無属性の青魔法のみを使用,10000,True
15,エレメンタルマスター,火、氷、風、土、雷、水の攻撃属性を使用,15000,True
16,アクションマスター,火、氷、風、土、雷、水、斬、突、打の攻撃属性を使用,20000,True
17,デバッファー,敵に付与したデバフが6種類以上,5000,True
18,ベテランデバッファー,敵に付与したデバフが9種類以上,12000,True
19,マッスルマスター,攻撃タイプが物理の青魔法のみを使用,15000,True
20,ハイメイジ,ランク4とランク5の青魔法のみを使用,15000,True
21,ノービスメイジ,ランク1とランク2の青魔法のみを使用,15000,True
22,フォーフェイス,顔から放射する青魔法を4種類以上使用,10000,True
23,アマジナマスター,,20000,False
24,チーププレイ,,-30000,False
25,ザ・プライマルズ,,20000,False
26,ジャイアントキリング,,50000,False
27,たこあしフェチ,,50000,False
28,パーフェクトブルー,,80000,False
29,エイトフェイス,顔から放射する青魔法を8種類以上使用,20000,True
30,ヒールマスター,ポンポンケアル、イグジュビエーション、ホワイトウィンドを使用,10000,True
31,アレキサンダーマニア,,25000,False
32,セルリウムブルー,,80000,False
33,ピュアブルー,,80000,False
34,ゴールデンブルー,,80000,False
