#,Name,Example,Caster,Target,LogKind,Category,DisplayOrder,Preset
0,None,,65535,65535,0,0,0,0
1,Say,Squall Leonhart : こんにちは！,65535,65535,10,1,1,1
2,Shout,Butz Klauser : こんにちは！,65535,65535,11,1,3,1
3,Tell,">> Cloud Strife : こんにちは！
Tifa Lockhart >> こんにちは！",65535,65535,12,1,4,1
4,Party,(Cecil Harvey) こんにちは！,65535,65535,14,1,5,1
5,感情表現/エモート,Rinoa Heartillyはアピールしてみせた。,65535,65535,29,1,30,1
6,オリジナルの感情表現,Celes Chereは自分の顔をバシッとたたいた。,65535,65535,28,1,31,1
7,フリーカンパニー,[FC]<Tina Branford> こんにちは！,65535,65535,24,1,7,1
8,Linkshell[1],[1]<Rosa Farrell> こんにちは！,65535,65535,16,1,20,1
9,Linkshell[2],[2]<Kain Highwind> こんにちは！,65535,65535,17,1,21,1
10,Linkshell[3],[3]<Lenna Tycoon> こんにちは！,65535,65535,18,1,22,1
11,Linkshell[4],[4]<Faris Scherwiz> こんにちは！,65535,65535,19,1,23,1
12,Linkshell[5],[5]<Vivi Ornitier> こんにちは！,65535,65535,20,1,24,1
13,Linkshell[6],[6]<Serah Farron> こんにちは！,65535,65535,21,1,25,1
14,Linkshell[7],[7]<Semih Lafihna> こんにちは！,65535,65535,22,1,26,1
15,Linkshell[8],[8]<Nanaa Mihgo> こんにちは！,65535,65535,23,1,27,1
16,Yell,Lock Cole : こんにちは！,65535,65535,30,1,2,1
17,アライアンス,((Snow Villiers)) こんにちは！,65535,65535,15,1,6,1
18,ビギナーチャンネル,[BEGINNER]Aerith Gainsborough : 困ったことはありませんか？,65535,65535,27,1,28,1
19,PvPチーム,[PvP]<Aranea Highwind> こんにちは！,65535,65535,36,1,8,1
20,クロスワールドリンクシェル：チャンネル1,[CWLS1]<Yuffie Kisaragi> こんにちは！,65535,65535,37,1,10,1
21,システムメッセージ,Playerをパーティに誘いました。,65535,65535,57,2,1,1
22,,,0,0,0,0,0,0
23,採集に関するシステムメッセージ,この地域に採掘場、岩場は存在しないようだ。,65535,65535,59,2,4,1
24,エラーメッセージ,PlayerへのTellの送信に失敗しました。,65535,65535,60,2,5,1
25,/echoで出力するテキスト,エコー,65535,65535,56,2,6,1
26,NPC会話,NPC SAMPLE : こんにちは！,65535,65535,61,2,16,4
27,戦利品の通知,Playerは「＜アイテム＞」を手に入れた。,65535,65535,62,2,20,1
28,自分の成長/修得情報,レベルアップ！ Playerは、レベル50になった。,258,65535,64,2,25,1
29,他人の成長/修得情報,レベルアップ！ Other Playerは、レベル50になった。,2289,65535,64,2,27,1
30,自分のロットイン情報,Playerは「＜アイテム＞」にNEEDのダイスで50を出した。,2,65535,65,2,30,1
31,他人のロットイン情報,Other Playerは「＜アイテム＞」にNEEDのダイスで50を出した。,65532,65535,65,2,31,1
32,自分の製作過程/結果,Playerは「＜アイテム＞」を完成させた！,2,65535,66,2,35,1
33,他人の製作結果,Other Playerは「＜アイテム＞」を完成させた！,28,65535,66,2,36,1
34,交流帳の新着メッセージ,フリーカンパニーハウスの交流帳に新着メッセージがあります。,65535,65535,79,2,49,1
35,自分の採集過程/結果,Playerは採掘を開始した。,3,65535,67,2,40,1
36,他人の釣果,Other Playerは**ロミンサンアンチョビ**（3.3イルム）を釣り上げた。,252,65535,67,2,41,0
37,自分の戦闘に関するシステムメッセージ,Playerは、Enemyを倒した。,1807,65535,58,2,2,2
