#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
0,レザーサドル,,レザーサドル,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,ロミンサン・サドル,,ロミンサン・サドル,0,0,0,1,0,0,65538,65541,65538,58549,58553,58551,1,1
2,ロミンサン・ハーフバード,,ロミンサン・ハーフバード,0,0,0,1,0,0,65542,65542,65542,58501,58502,58503,1,2
3,ロミンサン・バード,,ロミンサン・バード,0,0,0,1,0,0,131078,131078,131078,58504,58505,58506,1,3
4,ロミンサン・クレステッドバード,,ロミンサン・クレステッドバード,0,0,0,1,0,0,196614,196614,196614,58507,58508,58509,1,4
5,グリダニアン・サドル,,グリダニアン・サドル,0,0,0,1,0,0,65538,131077,65538,58549,58556,58551,2,5
6,グリダニアン・ハーフバード,,グリダニアン・ハーフバード,0,0,0,1,0,0,65543,65543,65543,58510,58511,58512,2,6
7,グリダニアン・バード,,グリダニアン・バード,0,0,0,1,0,0,131079,131079,131079,58513,58514,58515,2,7
8,グリダニアン・クレステッドバード,,グリダニアン・クレステッドバード,0,0,0,1,0,0,196615,196615,196615,58516,58517,58518,2,8
9,ウルダハン・サドル,,ウルダハン・サドル,0,0,0,1,0,0,65538,196613,65538,58549,58559,58551,3,9
10,ウルダハン・ハーフバード,,ウルダハン・ハーフバード,0,0,0,1,0,0,65544,65544,65544,58519,58520,58521,3,10
11,ウルダハン・バード,,ウルダハン・バード,0,0,0,1,0,0,131080,131080,131080,58522,58523,58524,3,11
12,ウルダハン・クレステッドバード,,ウルダハン・クレステッドバード,0,0,0,1,0,0,196616,196616,196616,58525,58526,58527,3,12
13,パラディン・バード,,パラディン・バード,0,0,0,1,0,0,65546,65546,65546,58528,58529,58530,0,13
14,ドラグーン・バード,,ドラグーン・バード,0,0,0,1,0,0,65547,65547,65547,58531,58532,58533,0,14
15,ホワイトメイジ・バード,,ホワイトメイジ・バード,0,0,0,1,0,0,65549,65549,65549,58534,58535,58536,0,15
16,スレイプニル・バード,,スレイプニル・バード,0,0,0,1,0,0,65550,65550,65550,58537,58538,58539,0,171
17,ベヒーモス・バード,,ベヒーモス・バード,0,0,0,1,0,0,65551,65551,65551,58540,58541,58542,0,172
18,フライヤー・バード,,フライヤー・バード,0,0,0,1,0,0,65555,0,0,58543,0,0,0,51
19,ブラックメイジ・バード,,ブラックメイジ・バード,0,0,0,1,0,0,65548,65548,65548,58546,58547,58548,0,21
20,チョコキング・バード,,チョコキング・バード,0,0,0,1,0,0,65553,0,0,58561,0,0,0,52
