#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
0,コスモミッションを1回達成しよう,1,0,50,0,1
1,コスモミッションを3種類達成しよう,3,0,75,1,1
2,コスモミッションでゴールドグレードを1回獲得しよう,1,0,75,2,1
3,緊急ミッションを1回達成しよう,1,0,50,3,1
4,メカオペレーションを1回達成しよう,1,0,100,4,1
5,コスモフォーチュンを1回引こう,1,0,50,5,1
6,月面のコスモミッションを10回達成する,10,1,300,6,2
7,月面のコスモミッションを50回達成する,50,1,450,7,2
8,月面のコスモミッションを100回達成する,100,1,900,8,2
9,月面のコスモミッションを500回達成する,500,1,1500,9,2
10,月面のコスモミッションを10種類達成する,10,1,300,10,2
11,月面のコスモミッションを50種類達成する,50,1,900,11,2
12,月面のコスモミッションを100種類達成する,100,1,2400,12,2
13,月面の10種類のコスモミッションでゴールドグレードを獲得する,10,1,300,13,2
14,月面の50種類のコスモミッションでゴールドグレードを獲得する,50,1,900,14,2
15,月面の100種類のコスモミッションでゴールドグレードを獲得する,100,1,2400,15,2
16,月面の緊急ミッションを1回達成する,1,2,500,16,2
17,月面の緊急ミッションを10回達成する,10,2,1000,17,2
18,月面の緊急ミッションを30回達成する,30,2,3000,18,2
19,パイロットとして月面のメカオペレーションに参加し、1回達成する,1,1,1500,22,2
20,パイロットとして月面のメカオペレーションに参加し、5回達成する,5,1,3000,23,2
21,パイロットとして月面のメカオペレーションに参加し、10回達成する,10,1,4500,24,2
22,サポーターとして月面のメカオペレーションに参加し、5回達成する,5,1,300,25,2
23,サポーターとして月面のメカオペレーションに参加し、20回達成する,20,1,900,26,2
24,サポーターとして月面のメカオペレーションに参加し、50回達成する,50,1,2100,27,2
25,月面にて、木工師のDクラス・ミッションを3種類達成する,3,3,50,28,2
26,月面にて、木工師のCクラス・ミッションを4種類達成する,4,3,100,29,2
27,"月面にて、木工師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,3,200,30,2
28,月面にて、鍛冶師のDクラス・ミッションを3種類達成する,3,7,50,31,2
29,月面にて、鍛冶師のCクラス・ミッションを4種類達成する,4,7,100,32,2
30,"月面にて、鍛冶師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,7,200,33,2
31,月面にて、甲冑師のDクラス・ミッションを3種類達成する,3,11,50,34,2
32,月面にて、甲冑師のCクラス・ミッションを4種類達成する,4,11,100,35,2
33,"月面にて、甲冑師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,11,200,36,2
34,月面にて、彫金師のDクラス・ミッションを3種類達成する,3,15,50,37,2
35,月面にて、彫金師のCクラス・ミッションを4種類達成する,4,15,100,38,2
36,"月面にて、彫金師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,15,200,39,2
37,月面にて、革細工師のDクラス・ミッションを3種類達成する,3,19,50,40,2
38,月面にて、革細工師のCクラス・ミッションを4種類達成する,4,19,100,41,2
39,"月面にて、革細工師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,19,200,42,2
40,月面にて、裁縫師のDクラス・ミッションを3種類達成する,3,23,50,43,2
41,月面にて、裁縫師のCクラス・ミッションを4種類達成する,4,23,100,44,2
42,"月面にて、裁縫師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,23,200,45,2
43,月面にて、錬金術師のDクラス・ミッションを3種類達成する,3,27,50,46,2
44,月面にて、錬金術師のCクラス・ミッションを4種類達成する,4,27,100,47,2
45,"月面にて、錬金術師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,27,200,48,2
46,月面にて、調理師のDクラス・ミッションを3種類達成する,3,31,50,49,2
47,月面にて、調理師のCクラス・ミッションを4種類達成する,4,31,100,50,2
48,"月面にて、調理師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,31,200,51,2
49,月面にて、園芸師のDクラス・ミッションを3種類達成する,3,39,50,55,2
50,月面にて、園芸師のCクラス・ミッションを4種類達成する,4,39,100,56,2
51,"月面にて、園芸師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,39,200,57,2
52,月面にて、採掘師のDクラス・ミッションを3種類達成する,3,35,50,52,2
53,月面にて、採掘師のCクラス・ミッションを4種類達成する,4,35,100,53,2
54,"月面にて、採掘師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,35,200,54,2
55,月面にて、漁師のDクラス・ミッションを3種類達成する,3,43,50,58,2
56,月面にて、漁師のCクラス・ミッションを4種類達成する,4,43,100,59,2
57,"月面にて、漁師の3種類のBクラス・ミッションで
ゴールドグレードを獲得する",3,43,200,60,2
58,月面のコスモフォーチュンに5回挑戦する,5,1,300,61,2
59,月面のコスモフォーチュンに30回挑戦する,30,1,600,62,2
60,月面のコスモフォーチュンに100回挑戦する,100,1,900,63,2
61,月面の緊急ミッションを5種類達成する,5,2,1000,19,2
62,月面の緊急ミッションを15種類達成する,15,2,2000,20,2
63,月面の緊急ミッションを33種類達成する,33,2,3000,21,2
64,惑星パエンナのコスモミッションを10回達成する,10,1,500,6,2
65,惑星パエンナのコスモミッションを50回達成する,50,1,800,7,2
66,惑星パエンナのコスモミッションを100回達成する,100,1,1600,8,2
67,惑星パエンナのコスモミッションを500回達成する,500,1,2500,9,2
68,惑星パエンナのコスモミッションを10種類達成する,10,1,500,10,2
69,惑星パエンナのコスモミッションを50種類達成する,50,1,1500,11,2
70,惑星パエンナのコスモミッションを100種類達成する,100,1,4000,12,2
71,"惑星パエンナの10種類のコスモミッションで
ゴールドグレードを獲得する",10,1,500,13,2
72,"惑星パエンナの50種類のコスモミッションで
ゴールドグレードを獲得する",50,1,1500,14,2
73,"惑星パエンナの100種類のコスモミッションで
ゴールドグレードを獲得する",100,1,4000,15,2
74,惑星パエンナの緊急ミッションを1回達成する,1,47,500,16,2
75,惑星パエンナの緊急ミッションを10回達成する,10,47,1000,17,2
76,惑星パエンナの緊急ミッションを30回達成する,30,47,3000,18,2
77,"パイロットとして惑星パエンナのメカオペレーションに参加し
1回達成する",1,1,1500,22,2
78,"パイロットとして惑星パエンナのメカオペレーションに参加し
5回達成する",5,1,3000,23,2
79,"パイロットとして惑星パエンナのメカオペレーションに参加し
10回達成する",10,1,4500,24,2
80,"サポーターとして惑星パエンナのメカオペレーションに参加し
5回達成する",5,1,300,25,2
81,"サポーターとして惑星パエンナのメカオペレーションに参加し
20回達成する",20,1,900,26,2
82,"サポーターとして惑星パエンナのメカオペレーションに参加し
50回達成する",50,1,2100,27,2
83,惑星パエンナにて、木工師のミッションを5種類達成する,5,3,75,28,2
84,惑星パエンナにて、木工師のミッションを10種類達成する,10,3,150,29,2
85,惑星パエンナにて、木工師のミッションを15種類達成する,15,3,300,30,2
86,惑星パエンナにて、鍛冶師のミッションを5種類達成する,5,7,75,31,2
87,惑星パエンナにて、鍛冶師のミッションを10種類達成する,10,7,150,32,2
88,惑星パエンナにて、鍛冶師のミッションを15種類達成する,15,7,300,33,2
89,惑星パエンナにて、甲冑師のミッションを5種類達成する,5,11,75,34,2
90,惑星パエンナにて、甲冑師のミッションを10種類達成する,10,11,150,35,2
91,惑星パエンナにて、甲冑師のミッションを15種類達成する,15,11,300,36,2
92,惑星パエンナにて、彫金師のミッションを5種類達成する,5,15,75,37,2
93,惑星パエンナにて、彫金師のミッションを10種類達成する,10,15,150,38,2
94,惑星パエンナにて、彫金師のミッションを15種類達成する,15,15,300,39,2
95,惑星パエンナにて、革細工師のミッションを5種類達成する,5,19,75,40,2
96,惑星パエンナにて、革細工師のミッションを10種類達成する,10,19,150,41,2
97,惑星パエンナにて、革細工師のミッションを15種類達成する,15,19,300,42,2
98,惑星パエンナにて、裁縫師のミッションを5種類達成する,5,23,75,43,2
99,惑星パエンナにて、裁縫師のミッションを10種類達成する,10,23,150,44,2
100,惑星パエンナにて、裁縫師のミッションを15種類達成する,15,23,300,45,2
101,惑星パエンナにて、錬金術師のミッションを5種類達成する,5,27,75,46,2
102,惑星パエンナにて、錬金術師のミッションを10種類達成する,10,27,150,47,2
103,惑星パエンナにて、錬金術師のミッションを15種類達成する,15,27,300,48,2
104,惑星パエンナにて、調理師のミッションを5種類達成する,5,31,75,49,2
105,惑星パエンナにて、調理師のミッションを10種類達成する,10,31,150,50,2
106,惑星パエンナにて、調理師のミッションを15種類達成する,15,31,300,51,2
107,惑星パエンナにて、園芸師のミッションを5種類達成する,5,39,75,55,2
108,惑星パエンナにて、園芸師のミッションを10種類達成する,10,39,150,56,2
109,惑星パエンナにて、園芸師のミッションを15種類達成する,15,39,300,57,2
110,惑星パエンナにて、採掘師のミッションを5種類達成する,5,35,75,52,2
111,惑星パエンナにて、採掘師のミッションを10種類達成する,10,35,150,53,2
112,惑星パエンナにて、採掘師のミッションを15種類達成する,15,35,300,54,2
113,惑星パエンナにて、漁師のミッションを5種類達成する,5,43,75,58,2
114,惑星パエンナにて、漁師のミッションを10種類達成する,10,43,150,59,2
115,惑星パエンナにて、漁師のミッションを15種類達成する,15,43,300,60,2
116,惑星パエンナのコスモフォーチュンに5回挑戦する,5,1,500,61,2
117,惑星パエンナのコスモフォーチュンに30回挑戦する,30,1,1000,62,2
118,惑星パエンナのコスモフォーチュンに100回挑戦する,100,1,1500,63,2
119,惑星パエンナの緊急ミッションを5種類達成する,5,47,1000,19,2
120,惑星パエンナの緊急ミッションを15種類達成する,15,47,2000,20,2
121,惑星パエンナの緊急ミッションを33種類達成する,33,47,3000,21,2
122,惑星オイジュスのコスモミッションを10回達成する,10,1,500,6,2
123,惑星オイジュスのコスモミッションを50回達成する,50,1,800,7,2
124,惑星オイジュスのコスモミッションを100回達成する,100,1,1600,8,2
125,惑星オイジュスのコスモミッションを500回達成する,500,1,2500,9,2
126,惑星オイジュスのコスモミッションを10種類達成する,10,1,500,10,2
127,惑星オイジュスのコスモミッションを50種類達成する,50,1,1500,11,2
128,惑星オイジュスのコスモミッションを100種類達成する,100,1,4000,12,2
129,"惑星オイジュスの10種類のコスモミッションで
ゴールドグレードを獲得する",10,1,500,13,2
130,"惑星オイジュスの50種類のコスモミッションで
ゴールドグレードを獲得する",50,1,1500,14,2
131,"惑星オイジュスの100種類のコスモミッションで
ゴールドグレードを獲得する",100,1,4000,15,2
132,惑星オイジュスの緊急ミッションを1回達成する,1,48,500,16,2
133,惑星オイジュスの緊急ミッションを10回達成する,10,48,1000,17,2
134,惑星オイジュスの緊急ミッションを30回達成する,30,48,3000,18,2
135,"パイロットとして惑星オイジュスのメカオペレーションに参加し
1回達成する",1,1,1500,22,2
136,"パイロットとして惑星オイジュスのメカオペレーションに参加し
5回達成する",5,1,3000,23,2
