#,Name,TextString,Unknown0,Unknown1,Unknown2,Unknown3,Color,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
0,,,-1,-1,0,0,0,0,0,1,1,True
1,,,0,0,0,0,0,0,0,0,0,False
2,,,0,0,0,0,0,0,0,0,0,False
3,偏属性エーテル,ContentGaugeMax_negative,80,-1,0,0,4,2,0,1,1,True
4,エーテル充填率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
5,土の契約,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
6,懐事情,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
7,魅惑の抱擁,ContentGaugeMax_negative,-1,-1,0,0,4,0,0,1,1,True
8,統制者ハシュマリムの魔力,ContentGaugeMax_negative,-1,-1,0,0,3,0,0,1,1,True
9,バハムートエーテル,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
10,虚無,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
11,フォルドラのエーテル,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
12,マティウスエーテル,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
13,エーテル加速度,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
14,玄武の霊気,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
15,絆の力,,60,90,0,0,2,3,1,1,1,False
16,ダウンゲージ,ContentGaugeMax_positive,30,-1,0,0,3,2,0,-1,1,False
17,怨念,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,True
18,セイテンタイセイの妖力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
19,アルテマエーテル,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
20,鬼龍ヤズマットの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
21,魔人ベリアスの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
22,神器の妖力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
23,朱の旋律,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
24,ミドガルズオルムエーテル,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
25,メテオ落着まで,ContentGaugeMax_negative,80,-1,0,0,3,2,0,1,1,True
26,黒水晶の魔力,ContentGaugeMax_negative,50,80,0,0,1,3,2,1,1,False
27,雷力集中度,ContentGaugeMax_negative,-1,-1,0,0,1,0,0,1,1,True
28,聖剣技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
29,青龍の神通力,ContentGaugeMax_negative,60,80,0,0,1,3,2,1,1,True
30,魔法障壁耐久度,,30,50,0,0,2,3,1,1,1,False
31,エーテル充填率,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
32,全剣技,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
33,ティターニアの魔力,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
34,イノセンスの威光,ContentGaugeMax_negative,-1,-1,0,0,2,0,0,1,1,True
35,古代人の祈り,ContentGaugeMax_negative,100,-1,0,0,1,2,0,1,1,True
