#,Image,MaxTotalStats,MaxEachStat,BaseParam[0],BaseParam[1],BaseParam[2],BaseParam[3],Unknown0
0,0,0,0,0,0,0,0,0
32669,80812,331,144,19,27,44,45,0
32670,80813,462,202,22,27,44,45,0
32671,80814,462,202,19,27,44,45,0
32672,80815,462,202,22,27,44,45,0
32673,80816,462,202,22,27,44,45,0
32674,80821,462,202,22,27,44,45,0
32675,80823,462,202,19,27,44,45,0
32676,80822,462,202,22,27,44,45,0
32677,80817,462,202,6,27,44,46,0
32678,80818,462,202,22,27,44,46,0
32679,80819,462,202,22,27,44,46,0
32680,80820,462,202,6,27,44,46,0
32681,80824,462,202,6,27,44,46,0
32682,80825,462,202,22,27,44,45,0
32683,80826,462,202,22,27,44,46,0
32684,80827,462,202,19,27,44,45,0
32685,80828,462,202,22,27,44,45,0
32686,80811,131,58,19,27,44,45,0
33462,80832,334,150,19,27,44,45,1
33463,80833,468,210,22,27,44,45,1
33464,80834,468,210,19,27,44,45,1
33465,80835,468,210,22,27,44,45,1
33466,80836,468,210,22,27,44,45,1
33467,80841,468,210,22,27,44,45,1
33468,80843,468,210,19,27,44,45,1
33469,80842,468,210,22,27,44,45,1
33470,80837,468,210,6,27,44,46,1
33471,80838,468,210,22,27,44,46,1
33472,80839,468,210,22,27,44,46,1
33473,80840,468,210,6,27,44,46,1
33474,80844,468,210,6,27,44,46,1
33475,80845,468,210,22,27,44,45,1
33476,80846,468,210,22,27,44,46,1
33477,80847,468,210,19,27,44,45,1
33478,80848,468,210,22,27,44,45,1
33479,80831,134,60,19,27,44,45,0
