#,Name,Image,Icon,UnlockCondition,Unknown_70_1,Unknown_70_2,Unknown0,SortKey,Category
0,なし,0,82092,0,0,0,0,0,0
1,なし,191001,82092,1,0,0,0,1,1
2,フェード：ブラック,191002,82092,1,0,0,0,3,1
3,フェード：ホワイト,191003,82092,1,0,0,0,2,1
4,シンプルフレーム：ホワイト,191004,82092,1,0,0,0,7,1
5,メタルフレーム：シルバー,191005,82092,1,0,0,0,5,1
6,メタルフレーム：ゴールド,191006,82092,1,0,0,0,4,1
7,ジャーナル,191007,82092,1,0,0,0,10,1
8,シンプルフレーム：ブラウン,191008,82092,1,0,0,0,8,1
9,シンプルフレーム：ソリッド,191009,82092,1,0,0,0,9,1
10,アンティーク,191010,82092,1,0,0,0,20,1
11,隅飾り,191011,82092,1,0,0,0,21,1
12,ナイト,191301,82092,124,0,0,0,2150,2
13,戦士,191302,82092,125,0,0,0,2151,2
14,暗黒騎士,191303,82092,126,0,0,0,2152,2
15,ガンブレイカー,191304,82092,127,0,0,0,2153,2
16,白魔道士,191305,82092,128,0,0,0,2154,2
17,学者,191306,82092,129,0,0,0,2155,2
18,占星術師,191307,82092,130,0,0,0,2156,2
19,賢者,191308,82092,131,0,0,0,2157,2
20,モンク,191309,82092,132,0,0,0,2158,2
21,竜騎士,191310,82092,133,0,0,0,2159,2
22,忍者,191311,82092,134,0,0,0,2160,2
23,侍,191312,82092,135,0,0,0,2161,2
24,リーパー,191313,82092,136,0,0,0,2162,2
25,吟遊詩人,191314,82092,137,0,0,0,2164,2
26,機工士,191315,82092,138,0,0,0,2165,2
27,踊り子,191316,82092,139,0,0,0,2166,2
28,黒魔道士,191317,82092,140,0,0,0,2167,2
29,召喚士,191318,82092,141,0,0,0,2168,2
30,赤魔道士,191319,82092,142,0,0,0,2169,2
31,チーム・アストラ,191401,82092,143,0,0,0,3000,10
32,チーム・アンブラ,191402,82092,144,0,0,0,3001,10
33,クリスタルコンフリクト：王者S1,191403,82092,145,0,0,0,3200,5
34,クリスタルコンフリクト：勇者S1,191404,82092,146,0,0,0,3201,5
35,クリスタルコンフリクト：入賞者S1,191405,82092,147,0,0,0,3202,5
36,クリスタルコンフリクト：ブロンズS1,191406,82092,148,0,0,0,3208,5
37,クリスタルコンフリクト：シルバーS1,191407,82092,149,0,0,0,3207,5
38,クリスタルコンフリクト：ゴールドS1,191408,82092,150,0,0,0,3206,5
39,クリスタルコンフリクト：プラチナS1,191409,82092,151,0,0,0,3205,5
40,クリスタルコンフリクト：ダイヤモンドS1,191410,82092,152,0,0,0,3204,5
41,クリスタルコンフリクト：クリスタルS1,191411,82092,153,0,0,0,3203,5
42,コンパニオン特典1,191901,82092,154,1032,1034,1036,4000,7
43,コンパニオン特典2,191902,82092,155,1033,1035,1037,4001,7
44,絶バハムート討滅戦,191701,82092,319,0,0,0,2500,4
45,絶アルテマウェポン破壊作戦,191702,82092,320,0,0,0,2501,4
46,絶アレキサンダー討滅戦,191703,82092,321,0,0,0,2502,4
47,絶竜詩戦争,191704,82092,322,0,0,0,2503,4
