#,Stats,Description,Icon,RequiredForQuest,PreviousQuest,Location,Number,LocationKey,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
0,,,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,"**攻撃タイプ：**魔法
**攻撃属性：**風
**ランク：**★★★★
","テュポーン先生の秘技。
猛烈な鼻息を噴射することで、正面にいる敵を攻撃する青魔法。嵐のような突風にさらされることに加え、微妙な精神的苦痛を与えることができる。",72201,0,0,81,25,4,True,False,False,False,False,False,False,False,False,False,False,False
2,"**攻撃タイプ：**物理・打
**攻撃属性：**無
**ランク：**★★★★
","オルトロスの得意技。
幻の重しを空中に創り出し、それを落下させて下にいる敵を押しつぶす。実際に重量が4トンズあるかどうかは、定かではない。",72202,0,0,81,26,4,True,False,False,False,False,False,False,False,False,False,True,False
3,"**攻撃タイプ：**魔法
**攻撃属性：**水
**ランク：**★
","クラーケンからラーニングした青魔法。
圧縮した水を放つことで、敵に衝撃を与える。水属性のエーテルを練ることで空気中の水分を凝縮するため、一見すると水のない場所でも使用可能である。",72203,0,0,0,1,3,True,False,False,False,False,False,False,False,False,False,False,False
4,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","セイレーンが得意とする青魔法。
歌声に害意のある魔力を乗せることで、聞く者の精神を汚染。これにより、敵に一種の幻痛を引き起こし、肉体的ダメージを与えるのだ。",72204,0,0,17,9,4,True,False,False,False,False,False,False,False,False,False,False,False
5,"**攻撃タイプ：**魔法
**攻撃属性：**雷
**ランク：**★★★★
","アラグ帝国が開発した機械化魔法。
機械に魔法を詠唱させる試みの過程で編み出されたもので、雷属性のエーテルを操作し、圧力を高めた電流を周囲に放射する。",72205,0,0,93,6,4,True,False,False,False,True,False,False,False,False,False,False,False
6,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★
","主にモルボルが使用する青魔法。
風属性と土属性のエーテルを操作して霊極性に寄せることにより、口から吐く息に毒素を乗せて広範囲に放射する。もっとも臭い青魔法と呼ばれる。",72206,0,0,54,28,1,True,False,True,False,True,True,True,False,False,False,True,False
7,"**攻撃タイプ：**物理・打
**攻撃属性：**無
**ランク：**★★★
","ズーが使用する青魔法。
自分自身の精神を魔法的に操作することで、脳内の怒りの感情を増幅させて恐怖心を取り払い、肉体的な枷を外して全力で敵に飛びかかる。",72207,0,0,17,4,4,True,False,False,False,False,False,False,False,False,False,False,False
8,"**攻撃タイプ：**魔法
**攻撃属性：**水
**ランク：**★★★★
","水属性を操作する青魔法の代表格。
強力な魔力によって周囲の水分を操作し、大量の水泡を現出させ敵を包み込む。さらに有毒成分を織り交ぜることで、浴びた敵の肉体を蝕むのだ。",72208,0,0,81,3,4,True,False,False,False,False,False,False,False,False,False,False,False
9,"**攻撃タイプ：**魔法
**攻撃属性：**土
**ランク：**★★
","土属性の魔法生物が用いる青魔法。
魔法的なエーテル操作によって、局所的な地震を引き起こす。魔力に優れた者が使用すると、地盤が隆起したように見えるという。",72209,0,0,18,11,4,True,False,False,False,False,False,False,False,False,False,False,False
10,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★
","トレントなどの草木綱の魔物が使用する青魔法。
どんぐり状の魔力塊をバラ撒いて連鎖的に爆発させつつ、催眠効果のある成分を散布する。樹液を狙う百蟲綱の魔物から身を護るために編み出されたようだ。",72210,0,0,57,18,1,True,False,False,False,False,False,False,False,True,False,False,False
11,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","野生生物が持つ闘争本能。
怒りの感情によって魔力を増幅し、通常よりも戦闘能力を高めるもの。これを青魔道士が応用すれば、魔法攻撃の威力を高めることができるだろう。",72211,0,0,55,12,1,False,True,False,False,False,False,False,False,False,False,False,False
12,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★
","主にソウルフレアが用いる精神攻撃魔法。
対象に身体を斬り刻まれたと錯覚させ、ときに麻痺を伴う肉体的ダメージを与える。妨害行為に長けた忍術兵ブラスターも使用するらしい。",72212,68731,68730,2,41,4,True,False,False,False,True,False,False,False,False,False,False,False
13,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★
","バットやチゴーが用いる青魔法。
血液を通じて対象の生命力たるエーテルを吸収し、自身の魔力を充填する。当初は、養分とするための吸血行為が長い時をかけて進化したものと推測される。",72213,68730,68729,31,17,1,True,True,False,False,False,False,False,False,False,False,False,False
14,"**攻撃タイプ：**魔法
**攻撃属性：**火
**ランク：**★★
","ゴブリン族の爆弾投げを模した青魔法。
彼らの爆弾は火薬に魔力を添加することで、爆発力を高めているらしい。これを青魔法的に模倣することで、幻影の爆弾で燃焼攻撃を行う。",72214,0,0,30,19,1,True,False,False,False,False,False,False,True,False,False,False,False
15,"**攻撃タイプ：**物理・突
**攻撃属性：**無
**ランク：**★★★★
","サボテンダーが得意とする針を放射する攻撃。
ただし、実際に針を飛ばしているのではなく、細かな魔力塊を勢いよく放射することで、針に刺されたような痛みを与えるだけである。",72215,68733,68732,45,36,1,True,False,False,False,False,False,False,False,False,False,False,False
16,"**攻撃タイプ：**物理・突
**攻撃属性：**無
**ランク：**★★
","魔導兵器の攻撃手段を模した青魔法。
魔力の奔流に回転力を与えることで、おそるべき貫通力を実現する。元が削岩機を応用した兵器だけに、石化した相手には高い効果が期待できるだろう。",72216,0,0,46,5,1,True,False,False,False,False,False,False,False,False,False,False,False
17,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","ダハーカなどの妖異が用いる攻撃手段。
眼球を魔法陣に見立てて魔力を凝縮し、悪意と共に練り上げて放射する。したがって、敵から多くの敵意を集めることになるだろう。",72217,0,0,14,27,4,True,False,False,False,False,False,False,False,False,False,False,False
18,"**攻撃タイプ：**物理・斬
**攻撃属性：**無
**ランク：**★★★★
","トンベリが使用する青魔法。
恨みつらみの感情を魔力によって束ねることで、武器の切断力を高めて斬りつける。身動きがとれない相手は、その一撃に恐怖するはずだ。",72218,0,0,10,15,4,True,False,False,False,False,False,False,False,False,False,False,False
19,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★
","転移魔法の一種。
自身の魔力を場に流すことで簡易的な地脈を創り出し、それを利用して転移を行う。極めて短距離しか移動できないが、緊急回避などに役立つ。",72219,0,0,46,7,1,False,False,False,False,False,False,False,False,False,False,False,False
20,"**攻撃タイプ：**魔法
**攻撃属性：**火
**ランク：**★★★★
","火炎を自身の前方に放射する青魔法。
呪術ファイアと似た原理で、火属性のエーテルを放射して発火現象を引き出す。可燃性の高い液体を放射し、着火して似た現象を起こす兵器も存在する。",72220,0,0,20,2,4,True,False,False,False,False,False,False,False,False,False,False,False
21,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★
","キキルン族が得意とする青魔法。
獰猛な肉食獣から身を護るために編み出されたもので、魔力を貯めて手のひらを打つことで衝撃波を発生させ、相手をひるませることができる。",72221,68732,68731,32,23,1,True,False,False,False,False,False,False,True,False,False,False,False
22,"**攻撃タイプ：**魔法
**攻撃属性：**雷
**ランク：**★★★★
","サイクロプスが発する怪光線。
原理としては怪視線と似ており、眼球を魔法陣に見立てて魔法を発する。ただし、こちらの方が収束率が高く、雷に打たれたように敵を麻痺させることが可能。",72222,68734,68733,5,10,4,True,False,False,False,True,False,False,False,False,False,False,False
23,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★★
","誘導兵器「ミサイル」を模した青魔法。
エーテル操作により擬似的なミサイルを創り出して発射する。着弾時に衝撃を与えるため、頑強な敵ほど、大きなダメージを与えることが可能。",72223,0,0,85,35,4,True,False,False,False,False,False,False,False,False,False,False,True
24,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★
","原始的な治癒魔法。
清らかなエーテルを風に乗せて、周囲に放射する。自身のみならず周囲の者にも高い治癒効果を発揮するが、莫大な魔力を消耗してしまう。",72224,0,0,0,13,2,False,True,False,False,False,False,False,False,False,False,False,False
25,"**攻撃タイプ：**物理・突
**攻撃属性：**無
**ランク：**★★
","ヴェスパが用いる最期のひと刺し。
自身の生命力のすべてを魔力に変換することで、強力な毒素を生成し、敵の体内に注入する。死なばもろともの気概がなければ、使用してはならない。",72225,0,0,30,8,1,True,False,False,False,False,False,False,False,False,False,False,False
26,"**攻撃タイプ：**魔法
**攻撃属性：**火
**ランク：**★
","ボムの代名詞とも言うべき青魔法。
命を構成するエーテルを、すべて火属性の魔力に変換して大爆発を引き起こす。なお、脂まみれの状態で使えば、さらに高い火力を引き出せるだろう。",72226,0,0,42,21,1,True,False,False,False,False,False,False,False,False,False,False,False
27,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","新大陸の死霊が用いるという青魔法。
自己の生命力と魔力のすべてを他者に分け与え、命がけで相手を癒やす。我が身を犠牲にしなければならないが、仲間を全快させることができるだろう。",72227,0,0,0,22,2,False,True,False,False,False,False,False,False,False,False,False,False
28,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★
","ギガントードが用いる青魔法。
油分豊富な脂を塗りつけることで、敵の攻撃をヌラリヌラリと回避する。やや不快な技ではあるが、一部には熱烈な愛好者もいるらしい。",72228,0,0,42,32,1,False,True,False,False,False,False,False,False,False,False,False,False
29,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","新大陸の巨人種族が用いる青魔法。
原始的な呪いの一種であり、敵の精神を蝕むことで防御姿勢を崩させる。こうして無防備にさせた後、攻撃を続行すると効果的だろう。",72229,0,0,0,20,2,True,False,False,False,False,False,False,False,False,False,False,False
30,"**攻撃タイプ：**物理・打
**攻撃属性：**無
**ランク：**★★★★
","ギガントードが得意とする青魔法。
本来は粘着性の高い舌を伸ばし、離れた場所にいる獲物を絡め取り、捕食する技である。その能力を幻影の舌を創ることで模倣したのが、この青魔法だ。",72230,0,0,42,31,1,True,False,False,False,False,False,False,True,False,False,False,False
31,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★★
","カーラボスが用いる青魔法。
尾の先に魔力を凝縮してから、渦巻くエーテルの奔流を放ち、敵の生命力を蝕む。高度なエーテル操作力を求められるため、成功させるのは難しい。",72231,0,0,28,40,4,True,False,False,False,False,False,False,False,False,False,False,True
32,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","アーリマンなどの妖異が用いる呪詛。
ある特定の成長段階にある者を対象に、その心の隙を突いて精神を汚染し、生命活動を停止させる。ところで「レベル」とは何なのだろうか。",72232,0,0,6,14,4,True,False,False,True,False,False,False,False,False,False,False,False
33,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★
","新大陸の妖異が用いるという青魔法。
月を信仰する少数部族の「神」として君臨していたこの妖異は、信徒たちを支配するため、精神を高揚させる効果のある笛の音を利用していたとされている。",72233,0,0,0,39,2,False,True,False,False,False,False,False,False,False,False,False,False
34,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★★
","新大陸の妖異が用いるという青魔法。
強力な呪詛の一種であり、敵対者に対して命脈が間もなく尽きることを宣告し、暗示をかけて呪い殺す。ただし、命を左右する効果だけに成功率は低い。",72234,0,0,0,42,2,True,False,False,False,False,False,False,False,False,False,False,True
35,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★★
","新大陸の海洋生物が用いるという青魔法。
薄い皮膜を持つこの生物は、身を護るためにエーテル操作能力を発達させてきた。攻撃に用いるエーテルを防御に割き、自身を保護する魔法障壁を創り出すのである。",72235,0,0,0,30,2,False,True,False,False,False,False,False,False,False,False,False,False
36,"**攻撃タイプ：**魔法
**攻撃属性：**氷
**ランク：**★
","一部の妖異が用いる青魔法。
術者自身にかける呪詛であり、攻撃してきた者に対して、その敵意を氷属性のエーテルへと変換し、幻の氷柱として反射させる。",72236,0,0,54,16,1,False,True,True,False,False,False,False,False,False,False,False,False
37,"**攻撃タイプ：**魔法
**攻撃属性：**氷
**ランク：**★★
","キマイラが用いる青魔法。
合成に用いられた極北地域原産の山羊が、ブリザードから身を護るために発展させた氷属性のエーテル操作能力を、攻撃に転用したものらしい。",72237,0,0,12,33,4,True,False,False,True,False,False,False,False,False,False,False,False
38,"**攻撃タイプ：**魔法
**攻撃属性：**雷
**ランク：**★★
","キマイラが用いる青魔法。
雷属性のエーテル操作を得意とするドラゴン族が、合成に用いられた結果、キマイラが獲得した能力らしい。周囲に激しい放電現象を引き起こす。",72238,0,0,12,34,4,True,False,False,False,True,False,False,False,False,False,False,False
39,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★
","サラマンダーが得意とする青魔法。
魔力放射に伴う発光現象を利用し、敵の視力を一時的に奪う。その際、害意を光に忍ばせて乱反射させることで、魔力に過敏な状態にしてしまうようだ。",72239,0,0,67,43,1,True,False,False,False,False,False,False,False,False,False,False,False
40,"**攻撃タイプ：**魔法
**攻撃属性：**無
**ランク：**★★★
","クラーケンが用いる青魔法。
青魔法「水鉄砲」を発展させたもので、魔力で束ねた水分に不純物を取り込むことで、魔法のスミを創り出して放射。敵の視界を奪うことができる。",72240,0,0,28,37,4,True,False,False,False,False,False,True,False,False,False,False,False
41,"**攻撃タイプ：**物理・突
**攻撃属性：**無
**ランク：**★
","アプカルが得意とする青魔法。
一度、捕食して呑み込んだ魚を勢いよく射出し、敵にぶつけてひるませる。これを魔力によって再現し、幻の魚を打ち付け、衝撃を与えると同時に動揺を誘う。",72241,0,0,32,24,1,True,False,False,False,False,True,False,False,False,False,False,False
