#,Unknown0,Unknown1,Unknown2
0,ホットバー 1,Hotbar1,hot1
1,ホットバー 2,Hotbar2,hot2
2,ホットバー 3,Hotbar3,hot3
3,ホットバー 4,Hotbar4,hot4
4,ホットバー 5,Hotbar5,hot5
5,ホットバー 6,Hotbar6,hot6
6,ホットバー 7,Hotbar7,hot7
7,ホットバー 8,Hotbar8,hot8
8,ホットバー 9,Hotbar9,hot9
9,ホットバー 10,Hotbar10,hot10
10,EXホットバー,HotbarEx,hotex
11,クロスホットバー,CrossHotbar,cross
12,キャストバー,CastBar,cast
13,ターゲット情報,TargetInfo,target
14,フォーカスターゲット情報,FocusTarget,focus
15,パーティリスト,PartyList,party
16,敵対リスト,EnemyList,enemy
17,キャラクターパラメータ,MyParam,param
18,通知,Notification,Notices
19,ナビマップ,NaviMap,navi
20,メインコマンド,MainCommand,main
21,基本情報,GeneralInfo,dtr
22,所持金,CurrencyStatus,gil
23,装備・所持品サイン,ItemSign,bag
24,目的リスト/コンテンツ情報,ToDoList,todo
25,アイテム詳細,ItemHelp,item
26,アクション詳細,ActionHelp,action
27,リミットゲージ,LimitGauge,limit
28,経験値バー,ExpBar,exp
29,バフ・デバフステータス情報,BuffDebuffStatus,buff
30,アライアンスリスト1,AllianceList1,alist1
31,アライアンスリスト2,AllianceList2,alist2
32,目的リスト,DutyList,dlist
33,コンテンツ情報,ContentsInfo,cinfo
34,,,
35,,,
36,,,
37,,,
38,ダブルクロスホットバー：左,,
39,ダブルクロスホットバー：右,,
40,オウスゲージ,,
41,疾風迅雷シンボル,,
42,ビーストゲージ,,
43,竜血ゲージ,,
44,戦歌ゲージ,,
45,ヒーリングケーン,,
46,エレメンタルゲージ,,
47,エーテルフローシンボル,,
48,エーテルフローシンボル,,
49,トランスゲージ,,
50,エーテルゲージ,,
51,忍気ゲージ,,
52,エンジニアゲージ,,
53,,,
54,ブラッドゲージ,,
55,アルカナシンボル,,
56,剣気ゲージ,,
57,雪月花シンボル,,
58,バランスゲージ,,
59,コンテンツゲージ,,
60,コンテンツアクション,,
61,闘気シンボル,,
62,風纏シンボル,,
63,メインクエストガイド,ScenarioGuide,
64,ライバルウィングズ：タワー・コアゲージ,RivalWings:Gauge,
65,ライバルウィングズ：アライアンスリスト,RivalWings:Alliance,
66,ライバルウィングズ：チーム情報,RivalWings:TeamInfo,
67,ステータス情報：バフ,Status:Buff,
68,ステータス情報：デバフ,Status:Debuff,
69,ステータス情報：その他バフ,Status:Other,
70,ターゲット情報：バフ・デバフ,TargetInfo:Status,
71,ターゲット情報：キャストバー,TargetInfo:CastBar,
72,ターゲット情報：HPバー,TargetInfo:HP,
73,ザ・フィースト：スコア,TheFeast:Score,
74,ザ・フィースト：味方チーム情報,TheFeast:AllyInfo,
75,ザ・フィースト：敵チーム情報,TheFeast:EnemyInfo,
76,ライバルウィングズ：ステーション情報,RivalWings:Station,
77,ライバルウィングズ：ゴブリン・マーシナリー情報,RivalWings:Mercenary,
78,ダークサイドシンボル,,
79,ソイルシンボル,,
80,ステップシンボル,,
81,幻扇シンボル,,
82,フロントライン：戦意ゲージ,Frontline:BattleGauge,
83,つよくてニューゲームガイド,NG+,
84,高圧エーテル,CompressedAether,
85,オーシャンフィッシング：ミッション,OceanFishing:Missions,
86,ステータス情報：トリガー,Status:trigger,
87,ソウルゲージ,,
88,レムールシンボル,,
89,エウクラシアシンボル,,
90,アダーゲージ,,
91,象形拳シンボル,,
92,クリスタルコンフリクト：プログレスゲージ,CConflict:Progress,
93,クリスタルコンフリクト：味方チーム情報,CConflict:Ally,
94,,,
95,クリスタルコンフリクト：敵チーム情報,CConflict:Enemy,
96,PvP：バトルログ,PvP:Log,
97,クリスタルコンフリクト：マップ,CConflict:Map,
98,フロントライン：スコア情報,Frontline:Score,
99,ブランダーヴィル：ゴール目標,Blunder:Objective,
100,ブランダーヴィル：達成数,Blunder:Score,
101,ブランダーヴィル：ステージ状況,Blunder:Status,
102,ブランダーヴィル：ショーログ,Blunder:ShowLog,
103,アストラルシンボル,,
104,ヴァイパーシンボル,,
105,霊力ゲージ,,
106,キャンバスシンボル,,
107,パレットゲージ,,
108,フロントライン：戦況情報,Frontline:CampaignInfo,
109,コスモエクスプローラー：惑星情報,CosmoExplorer:Info,
110,,,
