#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
0,,,,,,0,0,0,1,0,0,0,0,0
1,体力のベルト,,体力のベルト,最大ＨＰ＋20％,最大ＨＰアップ,0,0,0,1,0,0,243001,98,1
2,身代わりの指輪,,身代わりの指輪,特殊効果：戦闘不能になったとき、ペットが犠牲となりプレイヤーは生き返る。ペットを召喚していなかった場合は効果が発動しない。,戦闘不能時にペットが犠牲となり蘇生,0,0,0,1,0,0,243002,35,1
3,癒やしの指輪,,癒やしの指輪,特殊効果：戦闘イベント終了時にプレイヤーのＨＰを25％回復する。,戦闘イベント終了時にＨＰ回復,0,0,0,1,0,0,243003,175,1
4,薬師のカバン,,薬師のカバン,特殊効果：テントイベント時にランダムな「ビーストポーション」を1つ得る。,テントイベント時にビーストポーション入手,0,0,0,1,0,0,243004,35,1
5,まじないの帽子,,まじないの帽子,魔法被ダメージ－10％,被魔法ダメージ軽減,0,0,0,1,0,0,243005,56,1
6,鋼鉄の鎧,,鋼鉄の鎧,物理被ダメージ－15％,被物理ダメージ軽減,0,0,0,1,0,0,243006,63,1
7,野生の冠,,野生の冠,"物理与ダメージ＋10％
クリティカル発動率＋3％
特殊効果：このビーストギアの性能は召喚中のペットにも影響を与える。",物理ダメージ上昇、クリティカル発動率、ペットにも影響,0,0,0,1,0,0,243007,190,1
8,理性の杖,,理性の杖,"魔法与ダメージ＋20％
特殊効果：このビーストギアの性能は召喚中のペットにも影響を与える。",魔法ダメージ上昇、ペットにも影響,0,0,0,1,0,0,243008,190,1
9,パワーリスト,,パワーリスト,"物理与ダメージ＋12％
回避率＋3％",物理ダメージ上昇、回避率アップ,0,0,0,1,0,0,243009,174,1
10,ねじりはちまき,,ねじりはちまき,"物理与ダメージ＋5％
物理被ダメージ－5％",物理ダメージ上昇、被物理ダメージ軽減,0,0,0,1,0,0,243010,84,1
11,グリーンベレー,,グリーンベレー,"クリティカル攻撃力＋35
与ダメージ＋3％
最大ＨＰ＋7％",クリティカル攻撃力、ダメージ上昇、最大ＨＰアップ,0,0,0,1,0,0,243011,174,1
12,神秘の靴,,神秘の靴,"回避率＋8％
移動速度＋50％
特殊効果：自身が使用するアクションおよびクルーシブルアイテムのＨＰ回復効果が15％上昇する。",回避率アップ、移動速度アップ、回復量アップ,0,0,0,1,0,0,243012,91,1
13,堅守の指輪,,堅守の指輪,"被ダメージ－10％
最大ＨＰ＋7％",被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243013,104,1
14,アイスシールド,,アイスシールド,"被ダメージ－30％
スロウ＋10％
特殊効果：30％の確率で氷属性ダメージを無効化し、吸収する。",氷属性吸収、被ダメージ軽減、スロウ,0,0,0,1,0,0,243014,140,1
15,アースシールド,,アースシールド,"特殊効果：30％の確率で土属性ダメージを無効化し、吸収する。
特殊効果：盾ブロック発生時、10％の確率で自身に「ストンスキン」を付与する。
ストンスキン効果：最大ＨＰの15％分のダメージを軽減する。
ストンスキン効果時間：60秒",土属性吸収、盾ブロック時にストンスキン,0,0,0,1,0,0,243015,266,1
16,ウォーターシールド,,ウォーターシールド,"ブロック性能＋50％
特殊効果：30％の確率で水属性ダメージを無効化し、吸収する。
特殊効果：盾ブロック発生時、10％の確率で自身に「リフレク」を付与する。
リフレク効果：一部を除くすべての魔法攻撃を反射する。
効果時間：60秒",水属性吸収、ブロック性能、盾ブロック時にリフレク,0,0,0,1,0,0,243016,214,1
17,フォースシールド,,フォースシールド,"ブロック性能＋75％
魔法被ダメージ－10％",ブロック性能アップ、被魔法ダメージ軽減,0,0,0,1,0,0,243017,82,1
18,クリムゾンリボン,,クリムゾンリボン,"石化耐性＋100％
暗闇耐性＋100％
麻痺耐性＋100％",石化耐性、暗闇耐性、麻痺耐性,0,0,0,1,0,0,243018,84,1
19,源氏の小手,,源氏の小手,"与ダメージ＋12％
麻痺耐性＋100％
特殊効果：自身のウェポンスキル実行時に獣心技連携に成功すると、10％の確率で消費したＴＰの一部が回復する。",ダメージ上昇、麻痺耐性、獣心技連携成功時にＴＰ回復,0,0,0,1,0,0,243019,238,1
20,源氏の盾,,源氏の盾,"ブロック性能＋30％
回避率＋10％",ブロック性能アップ、回避率アップ,0,0,0,1,0,0,243020,94,1
21,源氏の鎧,,源氏の鎧,"移動速度－20％
被ダメージ－20％
最大ＨＰ＋30％",移動速度ダウン、被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243021,226,1
22,銀縁眼鏡,,銀縁眼鏡,"クリティカル発動率＋15％
暗闇耐性＋100％",クリティカル発動率、暗闇耐性,0,0,0,1,0,0,243022,112,1
23,天使の白衣,,天使の白衣,"被ダメージ－7％
毒耐性＋100％
特殊効果：ダメージを受けたとき、5％の確率で自身に「徐々にＨＰ回復」を1スタック付与する。
徐々にＨＰ回復効果：一定時間ごとにＨＰを最大ＨＰの3％分回復する。
徐々にＨＰ回復効果時間：12秒
最大スタック8",被ダメージ軽減、毒耐性、被ダメージ時にＨＰ回復,0,0,0,1,0,0,243023,189,1
24,マスターシールド,,マスターシールド,"ブロック性能＋125％
被ダメージ－25％
最大ＨＰ＋35％",ブロック性能、被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243024,390,1
25,神秘のヴェール,,神秘のヴェール,"魔法与ダメージ＋18％
魔法被ダメージ－15％
特殊効果：自身が使用するアクションおよびクルーシブルアイテムのＨＰ回復効果が15％上昇する。",魔法ダメージ上昇、被魔法ダメージ軽減、回復量アップ,0,0,0,1,0,0,243025,220,1
26,黒頭巾,,黒頭巾,"最大ＨＰ＋6％
回避率＋8％
睡眠耐性＋100％",最大ＨＰアップ、回避率アップ、睡眠耐性,0,0,0,1,0,0,243026,122,1
27,英雄の王冠,,英雄の王冠,"最大ＨＰ＋30％
与ダメージ＋18％
特殊効果：自身のウェポンスキル実行時に獣心技連携に成功すると、自身に「エクセレンス」を付与する。
エクセレンス効果：一部を除くすべての攻撃を無効化し、かつ与ダメージが10％増加する。
エクセレンス効果時間：9秒",最大ＨＰアップ、ダメージ上昇、獣心技連携成功時にエクセレンス,0,0,0,1,0,0,243027,420,1
28,ミラージュベスト,,ミラージュベスト,"特殊効果：ダメージを受けたとき、20％の確率で自身に「ブリンク」を1スタック付与する。
ブリンク効果：一部を除くすべての物理攻撃を無効化する。無効化するとスタックを1消費する。
ブリンク効果時間：120秒",被ダメージ時にブリンク,0,0,0,1,0,0,243028,150,1
29,死神の鎧,,死神の鎧,"最大ＨＰ＋10％
被ダメージ－5％
死の宣告耐性＋100％",最大ＨＰアップ、被ダメージ軽減、死の宣告耐性,0,0,0,1,0,0,243029,99,1
30,いばらの鎧,,いばらの鎧,"特殊効果：物理攻撃を受けたときに相手に反撃魔法無属性ダメージを与える。反撃ダメージは他のビーストギアなどのアイテムやアビリティによる魔法与ダメージアップの影響を受ける。
反撃ダメージの威力：360",被物理ダメージ時に反撃,0,0,0,1,0,0,243030,168,1
31,臆病者のナイフ,,臆病者のナイフ,"与ダメージ＋1％
特殊効果：エネミーイベントの開始直前に35％の確率で逃走するかどうか選択することができる。逃走した場合は戦利品は得られないがバトルを回避できる。
エリートおよびボスからは逃走できない。
追加効果：逃走したとき、自身に「ヒット＆アウェイ」を1スタック付与する。
ヒット＆アウェイ効果：与ダメージ＋18％、回避率＋4％
ヒット＆アウェイ効果時間：永続",ダメージ上昇、エネミーイベントから逃走,0,0,0,1,0,0,243031,90,1
32,霊極の胴衣,,霊極の胴衣,"最大ＨＰ＋12％
特殊効果：自身のウェポンスキル実行時に獣心技連携に成功すると、25％の確率で消費したＴＰの一部が回復する。",最大ＨＰアップ、獣心技連携成功時にＴＰ回復,0,0,0,1,0,0,243032,167,1
33,霊極の指輪,,霊極の指輪,"物理被ダメージ－9％
特殊効果：自身のウェポンスキル実行時に獣心技連携に成功すると、10％の確率で消費したＴＰの一部が回復する。",被物理ダメージ軽減、獣心技連携成功時にＴＰ回復,0,0,0,1,0,0,243033,81,1
34,霊極の腕輪,,霊極の腕輪,"魔法被ダメージ－15％
最大ＨＰ＋5％
スタン耐性＋100％",被魔法ダメージ軽減、最大ＨＰアップ、スタン耐性,0,0,0,1,0,0,243034,112,1
35,星極の胴衣,,星極の胴衣,"ファストリキャスト＋25％
被ダメージ－7％
最大ＨＰ＋15％",ファストリキャスト、被ダメージ軽減、最大ＨＰアップ,0,0,0,1,0,0,243035,190,1
36,星極の指輪,,星極の指輪,"ファストリキャスト＋15％
物理被ダメージ－8％",ファストリキャスト、被物理ダメージ軽減,0,0,0,1,0,0,243036,74,1
