#,Text,LogKind,DisplayFlags,Unknown1,Duration,Unknown2
0,,0,0,0,0,False
1,をパーティに誘いました。,57,1,0,0,False
2,からのパーティ勧誘がキャンセルされました。,57,1,0,0,False
3,からパーティに誘われました。,57,33,0,0,False
4,パーティから離脱しました。,57,1,0,0,False
5,パーティを解散しました。,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8,をブラックリストに登録しました。,57,1,0,0,False
9,ブラックリストからの登録を解除しました。,57,1,0,0,False
10,へフレンド申請をしました。,57,33,0,0,False
11,からフレンド申請されました。,57,33,0,0,False
12,をフレンドから解除しました。,57,1,0,0,False
13,をリンクシェル「」に誘いました。,57,1,0,0,False
14,からリンクシェル「」に誘われました。,57,33,0,0,False
15,をリンクシェル「」のリーダーに設定しました。,57,1,0,0,False
16,のリンクシェル「」リーダー設定を解除しました。,57,1,0,0,False
17,リンクシェル「」を脱退しました。,57,1,0,0,False
18,リンクシェル「」は解散しました。,57,33,0,0,False
19,リンクシェル「」からを除名しました。,57,1,0,0,False
20,リンクシェル「」から除名されました。,57,1,0,0,False
21,リンクシェル「」のマスター権限をに委譲しました。,57,1,0,0,False
22,リンクシェル「」のマスター権限がに委譲されました。,57,33,0,0,False
23,リンクシェル「」のリーダーに設定されました。,57,33,0,0,False
24,リンクシェル「」のリーダー設定が解除されました。,57,1,0,0,False
25,にレターを送信しました。,57,33,0,0,False
26,レターを削除しました。,57,1,0,0,False
27,レターから×UNKNOWNを受け取りました。,57,1,0,0,False
28,レターから0ギルを受け取りました。,57,1,0,0,False
29,フレンドレターに添付されたアイテムが未受領のままのため、フレンドからはこれ以上アイテムが添付されたレターを受信できません。,60,9,0,0,False
30,は今トレードできません。,60,8,0,0,False
31,他人に受け渡しができないアイテムです。,60,8,0,0,False
32,にトレードを申し込みました。,57,1,0,0,False
33,の内容確認を待っています。,57,1,0,0,False
34,からトレードを申し込まれました。,57,1,0,0,False
35,トレードが開始されました。,57,1,0,0,False
36,トレードがキャンセルされました。,57,1,0,0,False
37,トレード内容が変更されました。,57,1,0,0,False
38,トレードが完了しました。,57,33,0,0,False
39,所持品がいっぱいでアイテムを受け取れません。トレードできません。,60,8,0,0,False
40,の所持品がいっぱいでアイテムをトレードできません。,60,8,0,0,False
41,耐久度が100％アイテムのみトレード可能です。,60,8,0,0,False
42,一つしか持てないアイテムをすでに持っているため、トレードできません。,60,8,0,0,False
43,が一つしか持てないアイテムをすでに持っているため、トレードできません。,60,8,0,0,False
44,トレード相手と離れるとトレードはキャンセルされます。,57,8,0,0,False
45,入力可能な文字数の上限をこえています。,60,8,0,0,False
46,所持金がいっぱいでアイテムを受け取れません。トレードできません。,60,8,0,0,False
47,の所持金がいっぱいでアイテムをトレードできません。,60,8,0,0,False
48,「取り込み中」のためトレードを申し込みできませんでした。,60,8,0,0,False
49,UNKNOWNは「取り込み中」のためTellを送信できませんでした。,60,1,0,0,False
50,UNKNOWNへのTellの送信に失敗しました。,60,1,0,0,False
51,ターゲット対象のPCが見つかりません。,60,8,0,0,False
52,の追尾を開始します。,57,33,0,0,False
53,自動追尾がキャンセルされました。,57,33,0,0,False
54,トレードの実行ができませんでした。,60,8,0,0,False
55,ブラックリスト登録したキャラクターです。Tellをできません。,60,8,0,0,False
56,ブラックリスト登録したキャラクターです。トレードを申し込めません。,60,8,0,0,False
57,ブラックリスト登録したキャラクターです。パーティに誘えません。,60,8,0,0,False
58,ブラックリスト登録したキャラクターです。リンクシェルに勧誘できません。,60,8,0,0,False
59,所持品の空きが残りUNKNOWN枠です。,60,8,0,0,False
60,がパーティに参加しました。,57,33,1,0,False
61,のパーティに参加しました。,57,33,1,0,False
62,はパーティ参加を辞退しました。,57,1,0,0,False
63,のパーティへの参加を辞退しました。,57,1,0,0,False
64,へパーティリーダーを委譲しました。,57,1,1,0,False
65,からパーティリーダーを委譲されました。,57,33,1,0,False
66,が新しいパーティリーダーになりました。,57,33,1,0,False
67,をパーティから離脱させました。,57,1,1,0,False
68,のパーティから離脱しました。,57,1,1,0,False
69,がパーティから離脱しました。,57,33,1,0,False
70,自分がリーダーのパーティから離脱しました。,57,33,1,0,False
71,がパーティから離脱したため、が新しいパーティリーダーとなりました。,57,33,1,0,False
72,パーティを解散しました。,57,33,1,0,False
73,パーティが解散されました。,57,33,1,0,False
74,リンクシェル「」に正式加入しました。,57,33,0,0,False
75,がリンクシェル「」に正式加入しました。,57,33,1,0,False
76,リンクシェル「」への正式加入を辞退しました。,57,1,0,0,False
77,がリンクシェル「」から脱退しました。,57,33,1,0,False
78,がフレンドになりました。,57,33,1,0,False
79,のフレンド申請を断りました。,57,1,0,0,False
80,サーチ情報を更新しました。,57,32,0,0,False
81,設定された条件によるPCサーチ結果を反映しました。,57,32,0,0,False
82,へのフレンド申請を取り消しました。,57,1,0,0,False
83,からのフレンド申請が取り消されました。,57,1,1,0,False
84,がオフラインになりました。,57,33,1,0,False
85,がパーティに復帰しました。,57,33,1,0,False
86,ブラックリスト登録したキャラクターです。マテリア装着依頼はできません。,60,8,0,0,False
87,クラフターではないため、マテリア装着依頼はできません。,60,8,0,0,False
88,未知の土地に足を踏み入れた！,57,33,1,0,False
89,キャラクターリストの取得に失敗しました。別のDATA CENTERを利用するかしばらくお待ちください。,60,8,0,0,False
90,がリンクシェル「」への正式加入を辞退しました。,57,1,1,0,False
91,のリンクシェル「」への勧誘を取りやめました。,57,33,0,0,False
92,リンクシェル「」への勧誘が取りやめられました。,57,33,1,0,False
93,レターの処理中です。終了までお待ちください。,60,8,0,0,False
94,現在パーティ募集はUNKNOWN件、うち詳細検索の条件に見合った募集はありません。,72,1,0,0,False
95,すべてのパーティ勧誘を取りやめました。,57,1,1,0,False
96,美容師専用の髪型・フェイスペイントは使用できませんので、初期値を適用します。,60,8,0,0,False
97,一定時間操作が行われなかったため、離席状態になりました。,57,1,0,0,False
98,離席状態を解除しました。,57,1,0,0,False
99,ブラックリスト登録した募集者です。パーティに参加できません。,60,8,0,0,False
100,はにおどろいた。,29,1,0,0,False
101,はに不満を表した。,29,1,0,0,False
102,はに怒った。,29,1,0,0,False
103,はに照れてみせた。,29,1,0,0,False
104,はにお辞儀した。,29,1,0,0,False
105,はを応援した。,29,1,0,0,False
106,はに拍手した。,29,1,0,0,False
107,はに手まねきした。,29,1,0,0,False
108,はをなぐさめた。,29,1,0,0,False
