#,Name,Icon,OrderMinor,OrderMajor
0,,0,0,0
1,格闘武器,60101,6,1
2,片手剣,60102,0,1
3,両手斧,60103,1,1
4,弓,60105,10,1
5,両手槍,60104,4,1
6,片手呪具,60108,13,1
7,両手呪具,60108,14,1
8,片手幻具,60107,19,1
9,両手幻具,60107,20,1
10,魔道書,60109,15,1
11,盾,60110,0,3
12,木工道具(主道具),60112,0,2
13,木工道具(副道具),60112,1,2
14,鍛冶道具(主道具),60113,2,2
15,鍛冶道具(副道具),60113,3,2
16,甲冑道具(主道具),60114,4,2
17,甲冑道具(副道具),60114,5,2
18,彫金道具(主道具),60115,6,2
19,彫金道具(副道具),60115,7,2
20,革細工道具(主道具),60116,8,2
21,革細工道具(副道具),60116,9,2
22,裁縫道具(主道具),60117,10,2
23,裁縫道具(副道具),60117,11,2
24,錬金道具(主道具),60118,12,2
25,錬金道具(副道具),60118,13,2
26,調理道具(主道具),60119,14,2
27,調理道具(副道具),60119,15,2
28,採掘道具(主道具),60120,16,2
29,採掘道具(副道具),60120,17,2
30,園芸道具(主道具),60121,18,2
31,園芸道具(副道具),60121,19,2
32,漁道具(主道具),60122,20,2
33,釣り餌,60123,29,7
34,頭防具,60124,1,3
35,胴防具,60126,2,3
36,脚防具,60128,5,3
37,手防具,60129,3,3
38,足防具,60130,6,3
39,排出停止アイテム,60131,254,7
40,首飾り,60132,1,4
41,耳飾り,60133,0,4
42,腕輪,60134,2,4
43,指輪,60135,3,4
44,薬品,60136,0,5
45,食材,60137,0,6
46,調理品,60146,1,5
47,水産物,60138,1,6
48,石材,60139,2,6
49,金属材,60140,3,6
50,木材,60141,4,6
51,布材,60142,5,6
52,皮革材,60143,6,6
53,骨材,60144,7,6
54,錬金術材,60145,8,6
55,染料,60147,10,6
56,部品,60148,9,6
57,調度品,60164,20,7
58,マテリア,60150,0,7
59,クリスタル,60151,1,7
60,触媒,60152,2,7
61,雑貨,60153,3,7
62,ソウルクリスタル,60157,4,4
63,その他,60159,6,7
64,建築物権利証書,60160,7,7
65,外装建材(屋根),60160,8,7
66,外装建材(外壁),60160,9,7
67,外装建材(窓),60160,10,7
68,外装建材(扉),60160,11,7
69,外装建材(屋根装飾),60160,12,7
70,外装建材(外壁装飾),60160,13,7
71,外装建材(看板),60160,14,7
72,外装建材(塀),60160,15,7
73,内装建材(内壁),60161,16,7
74,内装建材(床),60161,17,7
75,内装建材(天井照明),60161,18,7
76,庭具,60168,19,7
77,調度品(台座),60162,21,7
78,調度品(卓上),60163,22,7
79,調度品(壁掛),60166,23,7
80,調度品(敷物),60167,24,7
81,ミニオン,60155,5,7
82,栽培用品,60153,25,7
83,デミマテリア,60150,26,7
84,双剣,60106,8,1
85,雑貨(シーズナル),60154,4,7
86,トリプルトライアドカード,60156,27,7
87,両手剣,60170,2,1
88,銃,60172,11,1
89,天球儀,60171,22,1
90,飛空艇部品(船体),60169,11,6
91,飛空艇部品(艤装),60169,12,6
92,飛空艇部品(船尾),60169,14,6
93,飛空艇部品(船首),60169,13,6
94,オーケストリオン譜,60173,28,7
95,絵画,60175,29,7
96,刀,60177,7,1
97,細剣,60176,16,1
98,魔道書(学者専用),60178,21,1
99,漁道具(副道具),60122,21,2
100,通貨,60179,255,7
101,潜水艦パーツ(艦体),60169,15,6
102,潜水艦パーツ(艦尾),60169,16,6
103,潜水艦パーツ(艦首),60169,17,6
104,潜水艦パーツ(艦橋),60169,18,6
105,青魔器,60180,18,1
106,ガンブレード,60181,3,1
107,投擲武器,60182,12,1
108,両手鎌,60183,5,1
109,賢具,60184,23,1
110,二刀流武器,60187,9,1
111,筆,60188,17,1
112,装備一式,60159,253,7
