#,Territory,AetherCurrents[0],AetherCurrents[1],AetherCurrents[2],AetherCurrents[3],AetherCurrents[4],AetherCurrents[5],AetherCurrents[6],AetherCurrents[7],AetherCurrents[8],AetherCurrents[9],AetherCurrents[10],AetherCurrents[11],AetherCurrents[12],AetherCurrents[13],AetherCurrents[14]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,397,2818048,2818049,2818050,2818051,2818052,2818053,0,2818055,0,2818057,2818058,0,0,0,0
2,398,2818063,2818064,2818065,2818066,2818067,2818068,0,2818070,0,0,0,2818074,0,0,2818077
3,399,2818078,2818079,2818080,2818081,2818082,2818083,0,0,2818086,0,2818088,0,0,0,2818092
4,400,2818093,2818094,2818095,2818096,2818097,0,2818099,2818100,2818101,0,0,0,0,0,2818107
5,401,2818108,2818109,2818110,2818111,2818112,0,0,0,2818116,2818117,0,2818119,0,0,2818122
6,402,2818123,2818124,2818125,2818126,2818127,0,0,0,0,0,0,0,0,0,0
7,612,2818128,2818129,2818130,2818131,2818132,2818133,0,2818135,0,0,0,2818139,2818140,0,0
8,613,2818173,2818174,2818175,2818176,2818177,2818178,0,0,0,2818182,0,0,2818185,0,2818187
9,620,2818143,2818144,2818145,2818146,2818147,0,2818149,0,2818151,0,0,2818154,0,0,2818157
10,614,2818188,2818189,2818190,2818191,2818192,0,0,2818195,2818196,0,0,2818199,0,2818201,0
11,621,2818158,2818159,2818160,2818161,2818162,0,0,2818165,0,0,0,0,2818170,2818171,2818172
12,622,2818203,2818204,2818205,2818206,2818207,2818208,0,2818210,0,2818212,0,0,2818215,0,0
13,813,2818218,2818219,2818220,2818221,2818222,2818223,0,0,0,2818227,0,0,2818230,2818231,0
14,815,2818248,2818249,2818250,2818251,2818252,2818253,0,0,2818256,0,0,2818259,0,2818261,0
15,816,2818263,2818264,2818265,2818266,2818267,0,0,2818270,0,0,2818273,0,0,2818276,2818277
16,814,2818233,2818234,2818235,2818236,2818237,2818238,0,0,0,2818242,0,0,2818245,2818246,0
17,817,2818278,2818279,2818280,2818281,2818282,2818283,0,2818285,0,0,2818288,0,0,0,2818292
18,818,2818293,2818294,2818295,2818296,2818297,2818298,0,2818300,0,0,2818303,0,0,0,2818307
19,156,2818308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,956,2818309,2818310,2818311,2818312,2818313,2818314,2818315,2818316,2818317,0,0,0,0,0,0
21,957,2818324,2818325,2818326,2818327,2818328,2818329,2818330,2818331,2818332,0,0,0,0,0,0
22,958,2818339,2818340,2818341,2818342,2818343,2818344,2818345,0,0,0,2818349,2818350,0,0,0
23,959,2818354,2818355,2818356,2818357,2818358,2818359,2818360,2818361,2818362,0,0,0,0,0,0
24,961,2818369,2818370,2818371,2818372,2818373,2818374,2818375,0,0,0,2818379,2818380,0,0,0
25,960,2818384,2818385,2818386,2818387,2818388,2818389,2818390,2818391,2818392,0,0,0,0,0,0
26,1187,2818399,2818400,2818401,2818402,2818403,2818404,2818405,2818406,2818407,2818408,2818409,2818410,2818411,2818412,2818413
27,1188,2818414,2818415,2818416,2818417,2818418,2818419,2818420,2818421,2818422,2818423,2818424,2818425,2818426,2818427,2818428
28,1189,2818429,2818430,2818431,2818432,2818433,2818434,2818435,2818436,2818437,2818438,2818439,2818440,2818441,2818442,2818443
29,1190,2818444,2818445,2818446,2818447,2818448,2818449,2818450,2818451,2818452,2818453,2818454,2818455,2818456,2818457,2818458
30,1191,2818459,2818460,2818461,2818462,2818463,2818464,2818465,2818466,2818467,2818468,2818469,2818470,2818471,2818472,2818473
31,1192,2818474,2818475,2818476,2818477,2818478,2818479,2818480,2818481,2818482,2818483,2818484,2818485,2818486,2818487,2818488
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
