#,Text,Unknown0,Type,Unknown1,Unknown2
0,,0,0,0,False
1,,0,0,0,False
2,,0,0,0,False
3,,0,0,0,False
4,,0,0,0,False
5,,0,1,0,True
6,,0,1,0,True
7,,0,1,0,True
8,,0,1,0,True
9,,0,1,0,True
10,,0,1,0,True
11,,0,1,0,True
12,名も無き者たちの広場：第一期整備計画,1,2,1,True
13,求ム！ 復興共同作業への参加！,2,2,1,False
14,名も無き者たちの広場：第二期整備計画,3,2,4,True
15,ふたたびの復興共同作業！,4,2,4,False
16,名も無き者たちの広場：第三期整備計画,5,2,7,True
17,リズベスの計画に協力してくれ！,6,2,7,False
18,名も無き者たちの広場：整備完了,7,2,10,True
19,製作物の納品について,2,3,1,True
20,復興共同作業について,3,3,1,True
21,「イシュガルド復興」とは,1,3,1,True
22,,0,1,0,True
23,,0,1,0,True
24,,0,1,0,True
25,,0,1,0,True
26,十字鍬通り整備計画,1,2,11,True
27,復興作業の、新たな一歩だ！,2,2,11,False
28,十字鍬通りの復興共同作業、進んでるっす！,3,2,14,False
29,十字鍬通りの整備をお願いします！,4,2,16,False
30,噴水建設のための復興共同作業だ！,5,2,19,False
31,聖ロエル広場整備計画,6,2,21,True
32,新たな通りに着手するぞ！,7,2,21,False
33,皆さんの麗しい作業姿、拝見していますよ。,8,2,24,False
34,求ム！　舗装作業員！,9,2,26,False
35,復興共同作業で、職人の技を見せてくれ！,10,2,29,False
36,ニューネスト居住区整備計画,11,2,30,True
37,いよいよ、居住区予定地での復興共同作業だ！,12,2,30,False
38,復興共同作業、順調に進んでいますっ！,13,2,33,False
39,引き続き、ガレキの撤去作業をお願いします！,14,2,35,False
40,長らくの瓦礫撤去作業、ご苦労だった！,15,2,37,False
41,いよいよ住居の建設だ！,16,2,40,False
42,住居の建設、どんどん進んでます～！,17,2,43,False
43,今期最後の復興共同作業だ！,18,2,46,False
44,ニューネスト居住区：整備完了,19,2,48,True
45,クポフォーチュンについて,4,3,11,True
46,ディアデム諸島について,5,3,11,True
47,,0,1,0,True
48,,0,1,0,True
49,,0,1,0,True
50,,0,1,0,True
51,フェザーフォール商業区整備計画,1,2,49,True
52,力自慢の協力を待っているぞ！,2,2,50,False
53,瓦礫の撤去をお願いします！,3,2,52,False
54,日々のご協力に感謝いたします。,4,2,54,False
55,人手が必要です～！,5,2,56,False
56,大規模施設の建造だ！,6,2,59,False
57,建築の復興共同作業をお願いします！,7,2,62,False
58,住居の建設、進んでるっす！,8,2,65,False
59,アバカス通り整備計画,9,2,67,True
60,新しい大通りを整備するぞ！,10,2,68,False
61,アバカス通りの舗装作業ですー！,11,2,70,False
62,アバカス通りに美しい彫像を。,12,2,73,False
63,ホアフロスト官舎整備計画,13,2,74,True
64,巨大施設の建造だ！,14,2,75,False
65,フェザーフォール商業区：整備完了,15,2,79,True
66,,0,1,0,True
67,,0,1,0,True
68,,0,1,0,True
69,,0,1,0,True
70,,0,1,0,True
71,リズンソング文化区西整備計画,1,2,80,True
72,リズンソング文化区西の瓦礫撤去だ！,2,2,81,False
73,清掃と舗装をお願いいたしますね,3,2,83,False
74,文化区西の住居建設を行うぞ！,4,2,86,False
75,復興共同作業のお時間です！,5,2,89,False
76,文化区西の整備、あと一押しです！,6,2,92,False
77,詩伯門整備計画,7,2,94,True
78,詩伯門の修繕中っすよ！,8,2,95,False
79,リズンソング文化区東整備計画,9,2,97,False
80,最後の瓦礫撤去作業だ！,10,2,98,False
81,清掃と舗装の作業も最後ですよ～！,11,2,100,False
82,新たな住居の建設が始まっています,12,2,103,True
83,住居の建設も大詰めですっ！,13,2,106,False
84,スノーソーク浴場整備計画,14,2,108,True
85,スノーソーク浴場の建設中です～,15,2,109,False
86,特別な碑の建造に協力願いたい！,16,2,111,False
87,蒼天街の復興が完了しました,17,2,112,True
88,,0,1,0,True
89,蒼天街復興祝祭が開催されます！,1,2,113,True
90,「Fête」について,6,3,112,True
