#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
0,,,0,0,0,0,0,0,0,0
1,ポンポンファイア,"モーグリの前方にいる敵1体にUNKNOWNダメージを与える。
消費MP：UNKNOWN　リキャストターン：UNKNOWN",20,0,15,30,3,1,1,1
2,ポンポンプチメテオ,"モーグリからUNKNOWNマス前方の1マスとその周囲の敵にUNKNOWNダメージを与える。
消費MP：UNKNOWN　リキャストターン：UNKNOWN",10,8,25,40,4,3,3,2
3,ポンポンメテオ,"すべての敵にUNKNOWNダメージを与える。
消費MP：UNKNOWN　リキャストターン：UNKNOWN",15,0,50,80,10,0,0,3
4,ポンポンケアル,"モーグリのHPをUNKNOWN回復する。
消費MP：UNKNOWN　リキャストターン：UNKNOWN",50,0,0,10,1,0,0,4
5,ポンポンエスナ,"モーグリにかかった死の宣告以外の弱体効果をすべて解除する。
消費MP：UNKNOWN　リキャストターン：UNKNOWN",0,0,0,20,3,0,0,5
6,ポンポンバリア,"モーグリを対象として、ダメージを防ぐバリアを張る。
効果ターン：UNKNOWN
消費MP：UNKNOWN　リキャストターン：UNKNOWN",0,0,0,30,3,0,0,6
7,ポンポンレビテト,"モーグリが浮遊し、床の影響を受けなくなる。
効果ターン：UNKNOWN
消費MP：UNKNOWN　リキャストターン：UNKNOWN",0,0,0,20,3,0,0,7
8,ポンポンリレイズ,"効果中に戦闘不能になると自動的に蘇生する。
効果ターン：永続
消費MP：UNKNOWN　リキャストターン：UNKNOWN",0,0,0,50,99,0,0,8
9,,,100,0,0,0,0,0,0,0
10,,,100,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,100,0,0,0,0,0,7,0
14,,,10,2,0,0,0,0,1,0
15,,,100,0,0,0,0,0,1,0
16,,,0,0,0,0,0,0,0,0
17,,,0,0,0,0,0,0,0,0
18,,,9999,0,0,0,0,0,0,0
