#,Name,Description,NameJP,Quest,Unknown0,Icon,Image,Number,Unknown1,Link,Rarity
0,,,,0,0,0,0,0,0,0,0
1,Bajsaljen Ulgasch,"54歳。ロスガル族。旧ボズヤ王都ボズヤ出身。
ボズヤ・レジスタンスのリーダー。

ガレマール帝国からボズヤ管区を解放し独立国家の樹立を目指している。

医学生を経て帝国軍に徴用される。軍医として従軍。様々な勲功を上げ、帝国の名誉市民として市民権を得た。結婚し子をもうけるが、反乱鎮圧のための遠征中にシタデル・ボズヤ蒸発事変が発生、妻子を失う。
事変後、帝国を見限り仲間と共に軍を脱走。地下での潜伏活動中にレジスタンスに参加した。

従軍していた際は、自分の人生について、これはこれで悪くないという印象を持っていたが、事変後、それは真逆となった。帝国に対する恨みと憎しみは誰よりも強い。
だが、知性派でもあるバイシャーエンはそうした負の感情を極力押さえ込もうとしている。感情だけでは負の連鎖が収まらないことを歴史から学んでいたためだ。

グンヒルドの剣（レジスタンス・ウェポン）を復刻し、女王の親衛隊を新生したバイシャーエンはついに第IV軍団をボズヤから追い出すために反撃の火蓋を切った……。
",バイシャーエン・ウルガッシュ,69478,0,72556,72501,1,0,0,1
2,Marsak Apella,"42歳。ロスガル族。ボズヤ管区シタデル・ボズヤ出身。
ボズヤ・レジスタンスの一員。

バイシャーエンの片腕として活躍。
徴用兵として帝国軍に従軍中にシタデル・ボズヤ蒸発事変が発生。親兄弟を失う。事変後、軍を離れレジスタンスに参加した。
バイシャーエンを師と仰ぐ一方、レジスタンスでは資金や物資の調達、人材の育成などに従事している。特に外部の協力者とのやりとり、例えばドマ国のヒエンや東アルデナード商会などとの渉外役としてその才を発揮。温厚な性格もあり、窓口として信頼されているようだ。

帝国に対して恨みはあるものの、属州民として育ったこともあり、まずは国家と人を切り分けて接することをモットーとしている。ある意味、お人好しともいえるが、その柔和な口調が他者の警戒心を解きほぐすようだ。
戦士としての評価も高い。それもそのはず、ロスティック直伝のガンブレイカーでもある。温厚で頼れる盾役、それがマルシャークだ。
",マルシャーク・アペッラ,69478,0,72557,72502,2,0,0,1
3,Xeven Svanasch,"47歳。ロスガル族。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

その出自は不明。ボズヤ人と思われるがゼヴェンの過去を知る者はひとりもいない。本人も好んで過去を語ることはないが、わずかに知り得た情報によると、曰く、魔術を極めるために各地を放浪していたらしい。南はサベネア、東はひんがしの国、北はガレマール帝国の帝都ガレマルドまで足を伸ばしたことがあるようだ。
魔術を志したきっかけはエオルゼアの地を訪れた時のことだ。不治の病に冒された母を助けようと父と二人でグリダニアを目指し旅していた。だが、残念ながら治癒法を見つけることはできず、母は旅の途中で亡くなった。その病はガレマール帝国によるボズヤ侵攻が原因であり、母を失った哀しみは幼心に帝国に対する憎悪と復讐心を芽生えさせるには十分だった。
旅の途中、様々な魔術を目にしたゼヴェンはその知識をボズヤに持ち帰ろうと考えた。独学で身につけたその魔術をボズヤ解放に役立てようというのだ。
各地で学んだ魔術はゼヴェン独自の魔術体系としてひとつの学問になり得ていたが、ゼヴェンはそれを他者に教示しようとはしなかった。なぜなら、それは破壊を主とした魔術であり、利用者の目的次第ではただの「災い」となるからである。
気がつけばゼヴェンは唯一無二の魔術士として、兵士から畏怖の念を抱かれ、軍神として崇められる存在となっていた。
ゼヴェンは戦場での死を恐れていなかった。むしろ死を望んでいた。それはかつてダルマスカの大迷宮を訪れた際、遭遇した異国の怪しげな魔道士にされた予言である。異国の言葉を聞き取ることはできなかったが、その意味を理解することはできた。いつかボズヤで解放の狼煙が上がるときこそ、ゼヴェンの死が訪れる時であると。今、この南方ボズヤ戦線がその死地ではないのか。だとしたら、自分はその死を恐れずに、ただ、ただ一振りの剣として、新生グンヒルドの剣として戦い死ねばよい。ゼヴェンは死を恐れてはいないのだ。
そんなゼヴェンに対する予言が成就しようとしていた……。
",ゼヴェン・スヴァナシュ,69478,0,72558,72503,3,0,0,1
4,Isolde Covey,"26歳。ヒューラン族。ダルマスカ管区レアモンデ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

れっきとしたボズヤ人。両親はダルマスカへ逃れたボズヤ難民であり、ダルマスカが帝国の属州となった後、帝国が始めたボズヤ難民の帰国政策を拒否してレアモンデに移り住んだ。イソルデは帝国属州民として生まれ帝国式の教育も受けたが、彼女の興味はもっぱらボズヤに伝わる舞踏と歌であった。ボズヤの音楽の大きな特徴は速いテンポと激しい旋律の上下動である。歌詞も庶民の生活や自然をモチーフとしており、その大半が恋愛に関する楽曲であった。弦楽器と打楽器からなる演奏と共に踊り手が歌いながら激しいステップを踏む。イソルデは幼い頃からその踊り手に憧れ、いつしか次世代の踊り手として期待が集まるようになっていた。このボズヤ舞踏のもうひとつ大きい特徴が武器である弓を楽器として用いることである。弓の弦をもうひとつ別の弓で弾いて音色を作ったり、また弓の弦を指で弾いて打楽器のようにリズムを奏でることに使用する。これは狩猟をしながらボズヤの各地を転々とした祖先に対する敬いであり、踊り手は皆、弓矢の使い手でもあったのだ。
ボズヤに戻りレジスタンスに参加したイソルデはまたたくまに弓術士として活躍するようになった。

だが、彼女の心には庶民の生活と自然に対する深い理解と愛情が色濃く残っている。それはボズヤ人のみならず帝国人に対しても、同じである。「早く平和に、でもそれはボズヤも帝国も」それがイソルデの口癖であった。
",イソルデ・コヴィー,69478,0,72559,72504,4,0,0,2
5,Stanik Alubov,"36歳。ロスガル族。ボズヤ管区シタデル・ボズヤ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

スタニックは幼い頃から「英雄」に憧れていた。
属州民として暮らす多くのボズヤ人の生活はとても貧しく、スタニックの両親が営む雑貨屋もその日の食事代を賄うので精一杯。学校へ通わせるお金すらなかったが、貧困にあえぐボズヤ人にはけっして珍しい光景ではなかった。スタニックは少しでも金銭を得ようと子守から靴磨きまでなんでもやったが、スリや盗みなどの犯罪に手を染めることはなかった。両親からたとえ貧しくとも人の道に外れることをしてはならないと教育されていたからである。
15歳になったスタニックは帝国軍の徴兵検査を受け、兵となった。「英雄」になりたかったからではない。自分ひとりが「減る」ことで両親の負担を少しでも楽にしてやりたかったからだ。
わずかな給金からさらにほんのわずか、スタニックは両親に仕送りをしたこともあった。毎回ではなかったが、スタニックにとってそれが「自分的英雄行為」だと感じられたからだ。スタニックにとって両親からの手紙が唯一の安らぎであり、生きている証となった。

シタデル・ボズヤ蒸発事変が起きた時、スタニックはボズヤから遠く離れた地で任務にあたっていた。事変から5日後、両親からの手紙が彼の手元に届いたが、その日付は事変の前日であった……。
",スタニック・アルボフ,69478,0,72560,72505,5,0,0,1
6,Blaz Azetina,"25歳。ロスガル族。ドマ国ドマ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

拳術から剣術、柔術、槍術などあらゆる武術を網羅する武芸の高級百貨店こと「翠（みどり）の一門」直系のサムライ。
「翠の一門」はこれまで門徒に対してレジスタンスへの参加を認めてはいなかった。これは武術の精進は己の魂を磨くためであり、けっして争いの道具にしてはならないという教えがあるためだ。だが、ボズヤで反乱が起きる都度、帝国に対する不満と憎悪を抑えられない門徒がそれに参加。一門はそうした門徒を破門とし、帝国と直接事を構えることを避けてきた。
ブラズの父親は「翠の一門」宗家の末子だったが、やはり禁を破り反乱に参加。反乱は失敗に終わり、ボズヤを離れドマ国へ逃れた。ドマで母と出会い、ブラズが誕生した。ブラズは侍剣術の名門に弟子入りし、父親譲りの才能を開花。若くして免許皆伝の腕前となる。ヒエンの帰還後、ドマに対する恩を返そうとドマ解放戦争に参加し活躍した。ドマ奪還後、役目が終わったとばかりに出家するが、東方連合とボズヤ蜂起の噂を聞き、故郷へ戻ることを決意する。
丁度その頃、「翠の一門」の当主が交代し、ボズヤ再興のために力を尽くすと方針転換があった。「翠の一門」に戻ることを許されたブラズに対して当主は侍剣術の師範になるよう要請するが、ブラズはそれを断りレジスタンスに参加。すでに鬼籍に入った亡き父の遺志を継ぎボズヤの独立と再興を目指すと固く心に誓ったのである……。
",ブラズ・アゼティナ,69478,0,72561,72506,6,0,0,3
7,Velibor Azetina,"24歳。ロスガル族。ボズヤ管区ゼティナ庄出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

拳術から剣術、柔術、槍術などあらゆる武術を網羅する武芸の高級百貨店こと「翠（みどり）の一門」直系の騎士。ブラズの又従兄弟にあたる。

「翠の一門」は二百年以上の歴史を誇る武芸の名門である。ガレマール帝国の侵攻時、小国ボズヤを守るために多くの門徒が戦いに挑み、その命を散らしたという。その武芸の才を惜しんだ当時の第IV軍団バッシュ・ヴァン・ガブラス軍団長は、帝国への忠誠を誓うのであれば「翠の一門」を庇護すると約束した。当主は自らの首を差し出すことで一門皆殺し、その「血」を途絶えることを避けた。
当主代理となったヴェリボルの祖母はガブラスとの約束を頑なに守った。占領後もたびたび反乱が発生し、一部の門徒が参加したが、都度、それらを破門として一門に害が及ばぬよう尽力したのである。その祖母も鬼籍に入り、新たな当主となったヴェリボルの父に残した最期の言葉は「我はガブラスとの約束を生涯守った。それは我が伴侶の願いであり、我やぬしを守るための深い愛であったと思う。だが、ぬしは正直に生きろ。時代は変わる……」

一門に復帰した又従兄弟のブラズとはおおいに気が合った。初めて会った時を今でも覚えている。同じ志を持った同門の士、いや魂を分けてこの世に生まれた真の兄弟であるとヴェリボルは感じた。短い期間ではあったが互いに切磋琢磨することができ新たな技を生み出すことにも成功したという。ボズヤ蜂起を受け、一門はレジスタンスに正式に参加。自らの役目を果たすため、今日もヴェリボルは大剣を振るう……。
",ヴェリボル・アゼティナ,69478,0,72562,72507,7,0,0,3
8,Aggie Glover,"17歳。ヒューラン族。ボズヤ管区マルタルヴェ出身。
ボズヤ・レジスタンスの一員。「新生グンヒルドの剣」のひとり。

拳術から剣術、柔術、槍術などあらゆる武術を網羅する武芸の高級百貨店こと「翠（みどり）の一門」の拳術士。

アギーは両親を知らないし、本当の名前もわからない。「アギー」と名付けたのは、寒い冬の日、凍死寸前のところを助けてくれた帝国福祉局の職員だった。
ボズヤの港湾都市マルタルヴェは人口20万人の古都であり、仕事を求めて地方から出稼ぎにくる労働者が多い雑多な街である。そうした街にはホームレスや孤児も多かった。戦争や病気、何かしらの事件により当局に逮捕されたボズヤ人を親に持つ子供……親を失った孤児の多くは下水が流れる地下施設で身を寄り添うように暮らしていた。アギーもそうした「マンホール・ベイビー」の一人であった。
保護された5歳までの記録はない。親と過ごしたであろう生活を思い出すこともできない。そもそもアギーは言葉を話すことすらできなかったという。
福祉局はそんなアギーを武芸の名門「翠の一門」に預けた。アギーはまたたくまに読み書きを覚え、兄弟子たちを相手にめきめきと実力を身につけていった。保護された当時、その瞳は死人のように暗く、生気をほとんど感じられない、まさに生きる屍だったアギー。今では明るく人なつこい性格で一門のムードメーカーとなった。
特に、ブラズとヴェリボルの二人と意気投合したアギーは、ふたりに負けぬよう拳術に励んだ。才能があったのか、それとも努力が実ったのか、16歳にして免許皆伝となった。
レジスタンスに参加後もなにかと沈みがち、荒れがちとなる場の雰囲気をアギーは明るく変えた。彼女は皆のアイドルとなった。そんなアギーが「新生グンヒルドの剣」に選ばれたことをブラズやヴェリボルは喜んだが、バイシャーエンの政治的配慮をアギーは感じていた。だが、それを表に出すような娘ではない。今も、傷を負った負傷兵のため彼女は元気づけようと明るく振る舞っている。
好物はゼフィール。マシュマロに似た甘い菓子である。アギーが唯一、マンホール・ベイビーとして覚えてる記憶がそのゼフィールの味であった……。
",アギー・グローヴァー,69478,0,72563,72508,8,0,0,1
9,Hernais pyr Longus,"24歳。ヒューラン族。ランディス州モンファルコーネ出身。
ガレマール帝国第IV軍団「魔獣大隊」所属の伝令長。

獣王ライアンに憧れ「魔獣大隊」に志願した若者。自分が立案した作戦を状況に応じてコロコロと変更するライアンの采配は、どれも奇抜なものであり、士官学校では絶対に学ぶことはない。それ故、中央の将たちはライアンを所詮辺境の者程度と軽んじている。実際、将らしからぬ粗暴な物言いやその姿、人間よりも魔獣を可愛がるその姿勢はまさに「蛮族の将」である。
エルネイスも入隊直後はそうした感想を抱いたものだ。だが、4年前のダルマスカ管区の反乱鎮圧でその感想は真逆のものとなった。たしかに口は悪いが、部下ひとりひとりの名を覚え、その弱点を的確に指摘する。戦場では誰よりも真っ先に敵と対峙し、危険に身を置くことを厭わない。「死ぬ奴は弱いだけ」と口癖のように語るライアンのいうとおり、戦場で死ぬのは腕の立たない臆病者ばかり。彼が人間よりも魔獣を可愛がるのは、兵を死なせぬために魔獣を盾とする……その用兵法があるため、魔獣の方が死ぬ確率が高い。それ故、死に近い位置にいる魔獣を彼は愛しい恋人のように可愛がるのだ。そう気付いた時、エルネイスはライアンを師と仰ぎ、「魔獣大隊」の所属となった。

以下、モンファルコーネのタウン誌「キュリオス」に掲載されたエルネイスの記事より抜粋。
（記者）あなたは第IV軍団の仲間から「忠犬」と呼ばれているそうですね。揶揄とは思いませんか？
（エルネイス）……連中は羨ましいのさ、このオレのことがね。
（記者）どうしてそう思うのですか？
（エルネイス）たいていの連中は面従腹背だ。大人しく上官の命令に従ってるフリして、内心、どこかで逆らっている。
（記者）軍人なら上官の命令は絶対ですが、彼らも人間ですからね。
（エルネイス）だが、オレは違う。心の底からライアン様を崇拝しているからな。魂の底から彼に寄り添う準備ができているんだ。言わせておけばいい……オレにとっては勲章だ、そう呼ばれることが何よりの幸せ……実に誇りに思う！

（記者）ライアン殿、このようにロングス伝令長は語っていましたが、あなたはどう思いますか？
（ライアン）いやぁ、マジ思い出せなかったのよ、でも今の話で思い出したわ。あの犬っころみたいなガキね。ああいう元気のイイ奴ぁ好きなンだがなぁ……早死にしちゃうんだよなぁ、ああいう奴ってサ。
（記者）…………。
",エルネイス・ピル・ロングス,69478,0,72565,72510,10,0,0,3
