#,Masculine,Feminine,IsPrefix,Order
0,,,False,0
1,the Insatiable,the Insatiable,False,1
2,the True,the True,False,2
3,Coeurlfist,Coeurlfist,True,3
4,Ironeater,Ironeater,True,4
5,of the Vengeful Lance,of the Vengeful Lance,False,5
6,the Godsbow,the Godsbow,False,6
7,the White,the White,False,7
8,Starcaller,Starcaller,True,8
9,Exterminator,Exterminator,True,50
10,Notorious Monster Hunter,Notorious Monster Hunter,True,60
11,Honest Adventurer,Honest Adventurer,True,80
12,Scavenger,Scavenger,True,80
13,Master Fighter,Master Fighter,True,100
14,Master Sorcerer,Master Sorcerer,True,101
15,Master Crafter,Master Crafter,True,102
16,Master Gatherer,Master Gatherer,True,103
17,of the Golden Saw,of the Golden Saw,False,150
18,of the Golden Anvil,of the Golden Anvil,False,151
19,of the Golden Hammer,of the Golden Hammer,False,152
20,of the Golden Leaf,of the Golden Leaf,False,153
21,of the Golden Hide,of the Golden Hide,False,154
22,of the Golden Needle,of the Golden Needle,False,155
23,of the Golden Lead,of the Golden Lead,False,156
24,of the Golden Ladle,of the Golden Ladle,False,157
25,La Noscea Digger,La Noscea Digger,True,200
26,Shroud Digger,Shroud Digger,True,201
27,Thanalan Digger,Thanalan Digger,True,202
28,La Noscea Crusher,La Noscea Crusher,True,203
29,Shroud Crusher,Shroud Crusher,True,204
30,Thanalan Crusher,Thanalan Crusher,True,205
31,La Noscea Logger,La Noscea Logger,True,206
32,Shroud Logger,Shroud Logger,True,207
33,Thanalan Logger,Thanalan Logger,True,208
34,La Noscea Harvester,La Noscea Harvester,True,209
35,Shroud Harvester,Shroud Harvester,True,210
36,Thanalan Harvester,Thanalan Harvester,True,211
37,La Noscea Angler,La Noscea Angler,True,212
38,Shroud Angler,Shroud Angler,True,213
39,Thanalan Angler,Thanalan Angler,True,214
40,La Noscea Harpooner,La Noscea Harpooner,True,215
41,Shroud Harpooner,Shroud Harpooner,True,216
42,Thanalan Harpooner,Thanalan Harpooner,True,217
43,Carrier of the Cauldron,Carrier of the Cauldron,True,250
44,the Materia Master,the Materia Master,False,251
45,Expert Fighter,Expert Fighter,True,300
46,Expert Sorcerer,Expert Sorcerer,True,301
47,Expert Crafter,Expert Crafter,True,302
48,Expert Gatherer,Expert Gatherer,True,303
49,the Helping Hand,the Helping Hand,False,350
50,Veteran Mercenary,Veteran Mercenary,True,351
51,Master Craftsman,Master Craftswoman,True,352
