#,Name,Unknown0,StampIcon,Unknown1,Category,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,未設定,0,0,0,0,0,0,10,False,False,False
1,Start,0,120021,2,10,0,200,10,False,False,False
2,Complete!,0,120022,2,10,0,201,10,False,False,False
3,,0,0,0,0,0,0,0,False,False,False
4,Restart,0,120024,2,10,0,203,10,False,False,False
5,Quest Accepted,0,120001,2,11,0,100,10,False,False,False
6,Quest Complete!,0,120002,2,11,0,101,10,False,False,False
7,F.A.T.E. Joined,0,120081,2,12,0,303,10,False,False,False
8,F.A.T.E. Complete!,0,120082,2,12,0,304,10,False,False,False
9,,0,0,0,0,0,0,0,False,False,False
10,Level Up!,0,120111,2,5,0,10,10,False,False,False
11,G.A.T.E. Joined,0,121561,2,13,0,400,10,False,False,False
12,G.A.T.E. Complete!,0,121562,2,13,0,401,10,False,False,False
13,,0,0,0,0,0,0,0,False,False,False
14,チョコボレース：Start,0,121551,2,13,0,403,10,False,False,False
15,チョコボレース：Goal,0,121552,2,13,0,404,10,False,False,False
16,チョコボレース：Challenge Complete!,0,121553,2,13,0,405,10,False,False,False
17,モンスタートス：Nice!!,0,121501,2,13,0,406,10,False,False,False
18,モンスタートス：Miss,0,121502,2,13,0,407,10,False,False,False
19,ミニゲーム：Excellent!!,0,121511,2,13,0,408,10,False,False,False
20,ミニゲーム：Great!!,0,121512,2,13,0,409,10,False,False,False
21,ミニゲーム：Good!,0,121513,2,13,0,410,10,False,False,False
22,,0,0,0,0,0,0,0,False,False,False
23,Light Party,0,120114,2,5,0,23,10,False,False,False
24,Full Party,0,120115,2,5,0,24,10,False,False,False
25,Level Down...,0,120119,2,5,0,11,10,False,False,False
26,FINAL FANTASY XIV ONLINE (White),0,230651,2,16,0,2,10,True,False,False
27,FINAL FANTASY XIV ONLINE (Black),0,230652,2,16,0,1,10,True,False,False
28,,0,0,0,0,0,0,0,False,False,False
29,国旗：アレクサンドリア,70495,230715,1,6,0,15,1,True,False,False
30,トリプルトライアド：★,0,230111,1,4,0,1,10,True,False,False
31,トリプルトライアド：★★,0,230112,1,4,0,2,10,True,False,False
32,トリプルトライアド：★★★,0,230113,1,4,0,3,10,True,False,False
33,トリプルトライアド：★★★★,0,230114,1,4,0,4,10,True,False,False
34,トリプルトライアド：★★★★★,0,230115,1,4,0,5,10,True,False,False
35,トリプルトライアド：1,0,230120,1,4,0,12,10,True,False,False
36,トリプルトライアド：2,0,230121,1,4,0,13,10,True,False,False
37,トリプルトライアド：3,0,230122,1,4,0,14,10,True,False,False
38,トリプルトライアド：4,0,230123,1,4,0,15,10,True,False,False
39,トリプルトライアド：5,0,230124,1,4,0,16,10,True,False,False
40,トリプルトライアド：6,0,230125,1,4,0,17,10,True,False,False
41,トリプルトライアド：7,0,230126,1,4,0,18,10,True,False,False
42,トリプルトライアド：8,0,230127,1,4,0,19,10,True,False,False
43,トリプルトライアド：9,0,230128,1,4,0,20,10,True,False,False
44,トリプルトライアド：A,0,230129,1,4,0,21,10,True,False,False
45,トリプルトライアド：0,0,230119,1,4,0,11,10,True,False,False
46,国旗：シャーレアン,0,230711,1,6,0,11,10,True,False,False
47,国旗：ラザハン,0,230713,1,6,0,12,10,True,False,False
48,国旗：ガレマール,0,230712,1,6,0,13,10,True,False,False
49,国旗：トライヨラ,0,230714,1,6,0,14,10,True,False,False
50,国旗：グリダニア,0,230701,1,6,0,2,10,True,False,False
51,国旗：リムサ・ロミンサ,0,230702,1,6,0,1,10,True,False,False
52,国旗：ウルダハ,0,230703,1,6,0,3,10,True,False,False
53,国旗：イシュガルド,0,230704,1,6,0,4,10,True,False,False
54,国旗：アラミゴ,0,230705,1,6,0,5,10,True,False,False
55,国旗：クガネ,0,230706,1,6,0,6,10,True,False,False
56,国旗：ドマ,0,230707,1,6,0,7,10,True,False,False
57,国旗：クリスタリウム,0,230708,1,6,0,8,10,True,False,False
58,国旗：ユールモア,0,230709,1,6,0,9,10,True,False,False
59,国旗：ボズヤ,0,230710,1,6,0,10,10,True,False,False
60,表情：素顔,0,230626,1,3,0,1,10,True,True,True
61,表情：微笑,0,230627,1,3,0,2,10,True,True,True
62,表情：笑顔,0,230628,1,3,0,3,10,True,True,True
63,表情：ウィンク,0,230629,1,3,0,4,10,True,True,True
64,,0,0,0,0,0,0,0,False,False,False
65,表情：自信,0,230631,1,3,0,5,10,True,True,True
66,表情：不敵,0,230632,1,3,0,6,10,True,True,True
67,表情：瞑目,0,230633,1,3,0,7,10,True,True,True
68,表情：呆然,0,230634,1,3,0,8,10,True,True,True
69,表情：感知,0,230635,1,3,0,9,10,True,True,True
70,表情：口をすぼめる,0,230636,1,3,0,10,10,True,True,True
71,表情：真剣,0,230637,1,3,0,11,10,True,True,True
72,表情：柔和,0,230638,1,3,0,12,10,True,True,True
73,表情：満足,0,230639,1,3,0,13,10,True,True,True
74,表情：破顔,0,230640,1,3,0,14,10,True,True,True
75,表情：熟考,0,230641,1,3,0,15,10,True,True,True
76,,0,0,0,0,0,0,0,False,False,False
77,,0,0,0,0,0,0,0,False,False,False
78,,0,0,0,0,0,0,0,False,False,False
79,,0,0,0,0,0,0,0,False,False,False
80,,0,0,0,0,0,0,0,False,False,False
81,,0,0,0,0,0,0,0,False,False,False
82,,0,0,0,0,0,0,0,False,False,False
83,,0,0,0,0,0,0,0,False,False,False
84,,0,0,0,0,0,0,0,False,False,False
85,,0,0,0,0,0,0,0,False,False,False
86,,0,0,0,0,0,0,0,False,False,False
87,,0,0,0,0,0,0,0,False,False,False
88,,0,0,0,0,0,0,0,False,False,False
89,,0,0,0,0,0,0,0,False,False,False
90,記号：感嘆符,0,230401,1,7,0,1,10,True,False,False
91,記号：疑問符,0,230402,1,7,0,2,10,True,False,False
92,記号：感嘆疑問符,0,230403,1,7,0,3,10,True,False,False
93,記号：疑問感嘆符,0,230404,1,7,0,4,10,True,False,False
94,記号：三点リーダー,0,230405,1,7,0,5,10,True,False,False
95,,0,0,0,0,0,0,0,False,False,False
96,,0,0,0,0,0,0,0,False,False,False
97,,0,0,0,0,0,0,0,False,False,False
98,,0,0,0,0,0,0,0,False,False,False
99,,0,0,0,0,0,0,0,False,False,False
100,Next Opponent!：1,70501,230791,2,10,0,204,1,True,False,False
101,Next Opponent!：2,70830,230792,2,10,0,205,1,True,False,False
102,Perfect Groove,70830,128404,2,10,0,206,1,False,False,False
103,Monster Hunter Wilds：Quest Accepted,70910,180186,2,29,0,207,1,False,False,False
104,Monster Hunter Wilds：Quest Start,70910,180187,2,29,0,208,1,False,False,False
105,Monster Hunter Wilds：Quest Cleared,70910,180188,2,29,0,209,1,False,False,False
106,,0,0,0,0,0,0,0,False,False,False
107,,0,0,0,0,0,0,0,False,False,False
108,,0,0,0,0,0,0,0,False,False,False
109,,0,0,0,0,0,0,0,False,False,False
110,吹き出し：標準,0,230101,1,2,0,1,10,True,True,True
111,吹き出し：思惑,0,230102,1,2,0,2,10,True,True,True
112,吹き出し：びっくり,0,230103,1,2,0,3,10,True,True,True
113,,0,0,0,0,0,0,0,False,False,False
114,,0,0,0,0,0,0,0,False,False,False
115,,0,0,0,0,0,0,0,False,False,False
116,,0,0,0,0,0,0,0,False,False,False
117,バースデー：0,0,230131,0,28,0,1,10,True,False,False
118,バースデー：1,0,230132,0,28,0,2,10,True,False,False
119,バースデー：2,0,230133,0,28,0,3,10,True,False,False
120,バースデー：3,0,230134,0,28,0,4,10,True,False,False
121,バースデー：4,0,230135,0,28,0,5,10,True,False,False
122,バースデー：5,0,230136,0,28,0,6,10,True,False,False
123,バースデー：6,0,230137,0,28,0,7,10,True,False,False
124,バースデー：7,0,230138,0,28,0,8,10,True,False,False
125,バースデー：8,0,230139,0,28,0,9,10,True,False,False
126,バースデー：9,0,230140,0,28,0,10,10,True,False,False
127,バースデー：モーグリ,0,230141,0,28,0,11,10,True,True,True
128,バースデー：クラウン,0,230142,0,28,0,12,10,True,True,True
129,バースデー：バルーン,0,230143,0,28,0,13,10,True,True,True
130,装飾：キラキラ1,0,230201,1,9,0,2,10,True,True,True
131,装飾：ハート,0,230202,1,9,0,43,10,True,True,True
132,装飾：フレア,0,230203,1,9,0,21,10,True,True,True
133,装飾：足あと,0,230204,1,9,0,61,10,True,True,True
134,装飾：キラキラ1,0,230301,1,9,0,1,10,True,True,True
135,装飾：サングラス,0,230302,1,9,0,110,10,True,True,True
136,装飾：ハート,0,230303,1,9,0,42,10,True,True,True
137,装飾：フレア,0,230304,1,9,0,20,10,True,True,True
138,装飾：口紅,0,230305,1,9,0,111,10,True,True,True
139,装飾：足あと,0,230306,1,9,0,60,10,True,True,True
140,装飾：矢印,0,230307,1,9,0,100,10,True,True,True
141,装飾：三角形,0,230210,1,9,0,31,10,True,True,True
142,装飾：四角形,0,230211,1,9,0,33,10,True,True,True
143,装飾：五角形,0,230209,1,9,0,35,10,True,True,True
144,装飾：フラワー,0,230205,1,9,0,45,10,True,True,True
145,装飾：丸ボケ,0,230208,1,9,0,41,10,True,True,True
146,装飾：音符1,0,230206,1,9,0,51,10,True,True,True
147,装飾：音符2,0,230207,1,9,0,52,10,True,True,True
148,装飾：音符,0,230309,1,9,0,50,10,True,True,True
149,装飾：三角形,0,230312,1,9,0,30,10,True,True,True
150,装飾：四角形,0,230313,1,9,0,32,10,True,True,True
151,装飾：五角形,0,230311,1,9,0,34,10,True,True,True
