#,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Name
1000000,0,0,0,0,0,0,
1000001,14854,14855,14856,0,0,0,東方殿方衣装セット
1000002,14857,14858,14859,0,0,0,東方姫君衣装セット
1000003,15639,15640,15641,0,0,0,東方警邏衣装セット
1000004,15642,15643,15644,0,0,0,東方女官衣装セット
1000005,17710,17711,17712,0,0,0,蒼天騎士団武器：両手槍セット
1000006,17707,17708,17709,0,0,0,蒼天騎士団武器：両手斧セット
1000007,17704,17705,17706,0,0,0,蒼天騎士団武器：片手剣セット
1000008,17713,17714,0,0,0,0,蒼天騎士団武器：両手幻具セット
1000009,15480,15481,0,0,0,0,風雅衣装セット
1000010,15482,15483,15484,15485,15486,0,東方貴人衣装セット
1000011,16588,16589,16590,16591,0,0,東方雅人衣装セット
1000012,16592,16593,16594,16595,0,0,東方麗人衣装セット
1000013,21027,21029,21031,0,0,0,カーバンクル・エメラルド・コスチュームセット
1000014,21028,21030,21032,0,0,0,カーバンクル・トパーズ・コスチュームセット
1000015,20479,20480,20481,20482,20483,0,ナタ殿方衣装セット
1000016,20484,20485,20486,20487,20488,0,ナタ姫君衣装セット
1000017,16578,16579,16580,16581,16582,0,エンジェルアタイア
1000018,16583,16584,16585,16586,16587,0,デモンアタイア
1000019,22367,22368,22369,22370,22371,0,プリンスアタイア
1000020,22372,22373,22374,22375,22376,0,プリンセスアタイア
1000021,23003,23004,23005,23006,23007,0,門客衣装セット
1000022,23008,23009,23010,23011,23012,0,辨天衣装セット
1000023,24602,24603,24604,0,0,0,東方女学生衣装セット
1000024,24599,24600,24601,0,0,0,東方書生衣装セット
1000025,24148,24149,24150,24151,24152,0,東方武官衣装セット
1000026,24153,24154,24155,24156,24157,0,東方美姫衣装セット
1000027,30058,30059,30060,30061,0,0,メグ・ヤカ・コスチュームセット
1000028,30274,30275,30276,0,0,0,カーバンクル・ルビー・コスチュームセット
1000029,28595,28596,28597,28598,28599,0,孔雀・コスチュームセット
1000030,31408,31409,31410,31411,31412,0,ベルクシュタイガー・コスチュームセット
1000031,31413,31414,31415,31416,31417,0,ディアンドル・コスチュームセット
1000032,32806,32807,32808,0,0,0,カレッジスラックス・コスチュームセット
1000033,32809,32810,32811,0,0,0,カレッジスカート・コスチュームセット
1000034,28600,28601,28602,28603,28604,0,東方粋人衣装セット
1000035,28605,28606,28607,28608,28609,0,東方美玉衣装セット
1000036,33663,33664,33665,33666,0,0,烈士衣装セット
1000037,13321,0,0,0,0,0,ミンフィリア・コスチュームセット
1000038,13324,13325,0,0,0,0,イダ・コスチュームセット
1000039,13696,13326,13697,13698,13699,0,パパリモ・コスチュームセット
1000040,13323,13693,13694,13695,0,0,サンクレッド・コスチュームセット
1000041,13327,13700,13701,13702,0,0,ウリエンジェ・コスチュームセット
1000042,13322,13691,13692,0,0,0,ヤ・シュトラ・コスチュームセット
1000043,14861,14862,0,0,0,0,シド・コスチュームセット
1000044,14863,14864,14865,14866,14867,0,ガーロンドアイアンワークス・コスチュームセット
1000045,15942,15943,15944,0,0,0,ニュー・ヤ・シュトラ・コスチュームセット
1000046,15938,15939,15940,15941,0,0,ニュー・サンクレッド・コスチュームセット
1000047,17596,17597,17598,17599,0,0,蒼天騎士団ファイター・コスチュームセット
1000048,17600,17601,17602,17603,0,0,蒼天騎士団ソーサラー・コスチュームセット
1000049,17473,17474,0,0,0,0,アイメリク・コスチュームセット
1000050,20633,20634,20635,20636,0,0,エッダ・コスチュームセット
1000051,21302,21303,21304,21305,21306,0,リセ・コスチュームセット
1000052,22452,22453,22454,22455,22456,0,ダメージド・マンダヴィル・コスチュームセット
1000053,23013,23014,23015,23016,0,0,ヒエン・コスチュームセット
1000054,24158,24159,24160,24161,24162,0,ゴウセツ・コスチュームセット
1000055,24999,25000,0,0,0,0,ニュー・ミンフィリア・コスチュームセット
1000056,27933,27934,27935,0,0,0,クルル・コスチュームセット
1000057,28553,28554,28555,0,0,0,アルマ・コスチュームセット
1000058,30062,30063,30064,30065,0,0,ファースト・ヤ・シュトラ・コスチュームセット
1000059,33751,33752,33753,0,0,0,リーン・コスチュームセット
1000060,36336,36338,0,0,0,0,オメガM・コスチュームセット
1000061,36337,36339,0,0,0,0,オメガF・コスチュームセット
1000062,6041,6042,6043,6044,0,0,ライトニング・コスチュームセット
1000063,6045,6046,6047,6048,0,0,スノウ・コスチュームセット
1000064,6971,6972,6974,6975,6977,0,ヴァレンティオンエプロンアタイア
1000065,6971,6973,6974,6976,6977,0,ヴァレンティオンエプロンドレスアタイア
