#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
0,,,,0,0,0
1,Start,,,0,0,0
2,Config,,,0,0,0
3,Demo,,,0,0,0
4,Credits,,,0,0,0
5,,,,0,0,0
6,"ゲームパッドのボタン設定を行いますか？
※システムコンフィグからいつでも変更可能です。",,,0,0,0
7,はい,,,0,0,0
8,いいえ,,,0,0,0
9,,,,0,0,0
10,Service Account,,,0,0,0
11,サービスアカウントを選択してください。,,,0,0,0
12,Game Version : UNKNOWN(UNKNOWN) - exUNKNOWN : UNKNOWN,,,0,0,0
13,"**注意** : 低解像度(480p/i 576p/i)モードで起動中。
本作は高解像度(720p)モード推奨です。",,,0,0,0
14,,,,0,0,0
15,OK,,,0,0,0
16,CANCEL,,,0,0,0
17,"変更したい項目を右の一覧から選んで編集してください。
???の項目はまだ未決定です。",,,0,0,0
18,"変更したい項目を右の一覧から選んで編集してください。
終了したら一番下のOKで決定すると変更が反映されます。",,,0,0,0
19,"変更したい項目を右の一覧から選んで編集してください。
???の項目はまだ未決定です。LOOKSを決定すると容姿作成を終了します。",,,0,0,0
20,キャラクターを削除,,,0,0,0
21,"「UNKNOWN」を削除しますか？
キャラクターを削除すると、所有するアイテムやギル・雇用中のリテイナーも削除されます。
もしフリーカンパニーのマスターだった場合、他に新マスターになれる条件を満たすメンバーがいないと、フリーカンパニーが解散となります。
カンパニーが所有するハウスやカンパニーチェストのアイテムなども無くなってしまいますので、ご注意ください。",,,0,0,0
22,はい。注意事項を了承し、削除します。,,,0,0,0
23,名前を変更,,,0,0,0
24,リテイナー名を変更,,,0,0,0
25,"「UNKNOWN」でログインします。
よろしいですか？",,,0,0,0
26,このキャラクターでログインするには名前の変更が必要です。新しい名前を決めてください。,,,0,0,0
27,キャラクターの情報を取得してから、名前を変更してください。,,,0,0,0
28,"名前を「UNKNOWN」に
変更します。よろしいですか？",,,0,0,0
29,"リテイナー名を「UNKNOWN」に
変更します。よろしいですか？",,,0,0,0
30,キャラクター作成,,,0,0,0
31,キャラクター作成を終了します。作成中のキャラクター情報は失われますがよろしいですか？,,,0,0,0
32,"作成したキャラクターでゲームを開始します。
よろしいですか？",,,0,0,0
33,新規にキャラクターを作成しますか？,,,0,0,0
34,,,,0,0,0
35,UNKNOWN/UNKNOWN,,,0,0,0
36,LOCATION,,,0,0,0
37,星1月 UNKNOWN日,,,0,0,0
38,（UNKNOWN月UNKNOWN日）,,,0,0,0
39,,,,0,0,0
40,星1月,,,0,0,0
41,霊1月,,,0,0,0
42,星2月,,,0,0,0
43,霊2月,,,0,0,0
44,星3月,,,0,0,0
45,霊3月,,,0,0,0
46,星4月,,,0,0,0
47,霊4月,,,0,0,0
48,星5月,,,0,0,0
49,霊5月,,,0,0,0
50,星6月,,,0,0,0
51,霊6月,,,0,0,0
52,,,,0,0,0
53,1st Sun of the 1st Astral Moon,,,0,0,0
54,星1月 UNKNOWN日,,,0,0,0
55,,,,0,0,0
56,UNKNOWN,,,0,0,0
57,ワールドリストを取得中です。,,,0,0,0
58,ワールドリストが取得できませんでした。,,,0,0,0
59,各ワールドの状況を最新状態にします。更新後UNKNOWN分空けないと再更新できません。,,,0,0,0
60,"所持可能なキャラクター数の上限に達しています。新規の作成には、すでに所持しているキャラクターを削除する必要があります。
削除したいキャラクターのサブコマンドから削除を選択してください。",,,0,0,0
61,"それぞれのワールドに所持できるキャラクター数の上限に達しているため、これ以上新規にキャラクターを作成できません。新規の作成には、いずれかのワールドにすでに所持しているキャラクターを削除する必要があります。
削除したいキャラクターのサブコマンドから削除を選択してください。",,,0,0,0
62,このワールドに所持可能なキャラクター数の上限に達しています。,,,0,0,0
63,このワールドは現在新規キャラクターの作成が制限されています。制限が解除されるのを待つか、別のワールドを選択してください。,,,0,0,0
64,現在ご契約いただいているサービスでは、このキャラクターを使用できません。,,,0,0,0
65,種族や性別・外見や名前を一度だけ変更することができます。,,,0,0,0
66,キャラクターの情報を取得してから、リテイナー名を変更してください。,,,0,0,0
67,種族や性別・外見を変更することができます。(あとUNKNOWN分),,,0,0,0
68,「」が必要なエリアにいるためログインできません。,,,0,0,0
69,「」が必要なエリアにいるため種族や性別・外見を変更することはできません。,,,0,0,0
70,このキャラクターはバージョン1.0からの引き継ぎキャラクターです。ログインしてゲームを始めるには、ゲーム開始時のバトルクラスを設定します。,,,0,0,0
71,OK,,,0,0,0
72,キャンセル,,,0,0,0
