#,Name,InclusionShopSeries,ClassJobCategory
0,,0,0
1,タンク装備,1,75
2,近接物理系DPS装備（竜騎士・リーパー）,2,76
3,近接物理系DPS装備（モンク・侍）,3,77
4,遠隔物理系DPS装備,4,78
5,近接物理系DPS装備（忍者・ヴァイパー）,5,104
6,ヒーラー装備,6,80
7,ソーサラー系DPS装備,7,79
8,バトル関連アイテム,8,0
9,クラフター装備,9,33
10,製作関連アイテム,10,0
11,ギャザラー装備,11,32
12,採集関連アイテム,12,0
13,タンク装備,13,75
14,近接物理系DPS装備（竜騎士・リーパー）,14,76
15,近接物理系DPS装備（モンク・侍）,15,77
16,遠隔物理系DPS装備,16,78
17,近接物理系DPS装備（忍者・ヴァイパー）,17,104
18,ヒーラー装備,18,80
19,ソーサラー系DPS装備,19,79
20,バトル関連アイテム,20,0
21,クラフター装備,21,33
22,製作関連アイテム,22,0
23,ギャザラー装備,23,32
24,採集関連アイテム,24,0
25,タンク装備,25,75
26,近接物理系DPS装備（竜騎士・リーパー）,26,76
27,近接物理系DPS装備（モンク・侍）,27,77
28,遠隔物理系DPS装備,28,78
29,近接物理系DPS装備（忍者・ヴァイパー）,29,104
30,ヒーラー装備,30,80
31,ソーサラー系DPS装備,31,79
32,バトル関連アイテム,32,0
33,クラフター装備,33,33
34,製作関連アイテム,34,0
35,ギャザラー装備,35,32
36,採集関連アイテム,36,0
37,タンク装備,37,75
38,近接物理系DPS装備（竜騎士・リーパー）,38,76
39,近接物理系DPS装備（モンク・侍）,39,77
40,遠隔物理系DPS装備,40,78
41,近接物理系DPS装備（忍者・ヴァイパー）,41,104
42,ヒーラー装備,42,80
43,ソーサラー系DPS装備,43,79
44,バトル関連アイテム,44,0
45,クラフター装備,45,33
46,製作関連アイテム,46,0
47,ギャザラー装備,47,32
48,採集関連アイテム,48,0
49,クラフタースクリップの取引：装備品,49,0
50,クラフタースクリップの取引：秘伝書・素材・雑貨,50,33
51,ギャザラースクリップの取引：装備品,51,0
52,ギャザラースクリップの取引：伝承録・素材・雑貨,52,32
53,クラフタースクリップの取引：マテリア,53,33
54,ギャザラースクリップの取引：マテリア,54,32
55,クラフタースクリップの取引：装備品,55,0
56,クラフタースクリップの取引：秘伝書・素材・雑貨,56,0
57,ギャザラースクリップの取引：装備品,57,0
58,ギャザラースクリップの取引：伝承録・素材・雑貨,58,0
59,クラフタースクリップの取引：装備品,59,0
60,クラフタースクリップの取引：秘伝書・素材・雑貨,60,0
61,ギャザラースクリップの取引：装備品,61,0
62,ギャザラースクリップの取引：伝承録・素材・雑貨,62,0
63,対人戦績の取引（ファイター用武器）,63,0
64,対人戦績の取引（ソーサラー用武器）,64,0
65,対人戦績の取引（ファイター用防具）,65,0
66,対人戦績の取引（ソーサラー用防具）,66,0
67,対人戦績の取引（その他）,67,1
68,,0,0
69,,0,0
70,クラフタースクリップの取引：装備品,70,0
71,クラフタースクリップの取引：秘伝書・素材・雑貨,71,0
72,ギャザラースクリップの取引：装備品,72,0
73,ギャザラースクリップの取引：伝承録・素材・雑貨,73,0
74,タンク装備,74,75
75,近接物理系DPS装備（竜騎士・リーパー）,75,76
76,近接物理系DPS装備（モンク・侍）,76,77
77,近接物理系DPS装備（忍者・ヴァイパー）,77,104
78,遠隔物理系DPS装備,78,78
79,ヒーラー装備,80,80
80,ソーサラー系DPS装備,79,79
81,バトル関連アイテム,81,0
82,クラフター装備,82,33
83,製作関連アイテム,83,0
84,ギャザラー装備,84,32
85,採集関連アイテム,85,0
86,,0,0
